unique_id,ds,GRU
Le Lis Casa,2025-01-01,20811.023
Le Lis Casa,2025-01-02,45083.14
Le Lis Casa,2025-01-03,135492.23
Le Lis Casa,2025-01-04,312229.9
Le Lis Casa,2025-01-05,143543.27
Le Lis Casa,2025-01-06,198833.08
Le Lis Casa,2025-01-07,155527.06
Le Lis Casa,2025-01-08,158819.27
Le Lis Casa,2025-01-09,178519.02
Le Lis Casa,2025-01-10,163361.45
Le Lis Casa,2025-01-11,148417.73
Le Lis Casa,2025-01-12,89317.164
Le Lis Casa,2025-01-13,146179.42
Le Lis Casa,2025-01-14,121631.875
Le Lis Casa,2025-01-15,114529.53
Le Lis Casa,2025-01-16,96508.87
Le Lis Casa,2025-01-17,111928.83
Le Lis Casa,2025-01-18,88277.5
Le Lis Casa,2025-01-19,49739.734
Le Lis Casa,2025-01-20,119446.39
Le Lis Casa,2025-01-21,104106.85
Le Lis Casa,2025-01-22,81101.26
Le Lis Casa,2025-01-23,89530.16
Le Lis Casa,2025-01-24,85139.48
Le Lis Casa,2025-01-25,81338.12
Le Lis Casa,2025-01-26,55154.336
Le Lis Casa,2025-01-27,88766.06
Le Lis Casa,2025-01-28,99452.875
Le Lis Casa,2025-01-29,82749.86
Le Lis Casa,2025-01-30,78370.39
Le Lis Casa,2025-01-31,78720.52
Le Lis Casa,2025-02-01,71863.83
Le Lis Casa,2025-02-02,43563.285
Le Lis Casa,2025-02-03,71730.71
Le Lis Casa,2025-02-04,68236.12
Le Lis Casa,2025-02-05,88116.28
Le Lis Casa,2025-02-06,78210.05
Le Lis Casa,2025-02-07,77083.73
Le Lis Casa,2025-02-08,51598.81
Le Lis Casa,2025-02-09,32242.652
Le Lis Casa,2025-02-10,67970.36
Le Lis Casa,2025-02-11,74386.19
Le Lis Casa,2025-02-12,76042.83
Le Lis Casa,2025-02-13,70902.54
Le Lis Casa,2025-02-14,86267.31
Le Lis Casa,2025-02-15,77362.04
Le Lis Casa,2025-02-16,28764.455
Le Lis Casa,2025-02-17,57233.383
Le Lis Casa,2025-02-18,51287.777
Le Lis Casa,2025-02-19,59185.363
Le Lis Casa,2025-02-20,64530.617
Le Lis Casa,2025-02-21,71971.29
Le Lis Casa,2025-02-22,69768.05
Le Lis Casa,2025-02-23,33790.664
Le Lis Casa,2025-02-24,53935.117
Le Lis Casa,2025-02-25,43656.492
Le Lis Casa,2025-02-26,52509.61
Le Lis Casa,2025-02-27,49374.94
Le Lis Casa,2025-02-28,54330.766
Le Lis Casa,2025-03-01,48271.566
Le Lis Casa,2025-03-02,21475.707
Le Lis Casa,2025-03-03,34125.14
Le Lis Casa,2025-03-04,33790.168
Le Lis Casa,2025-03-05,41401.914
Le Lis Casa,2025-03-06,43731.566
Le Lis Casa,2025-03-07,60251.402
Le Lis Casa,2025-03-08,61329.625
Le Lis Casa,2025-03-09,42528.18
Le Lis Casa,2025-03-10,51390.45
Le Lis Casa,2025-03-11,41772.812
Le Lis Casa,2025-03-12,57990.51
Le Lis Casa,2025-03-13,60725.906
Le Lis Casa,2025-03-14,56952.812
Le Lis Casa,2025-03-15,45922.613
Le Lis Casa,2025-03-16,20755.258
Le Lis Casa,2025-03-17,39025.9
Le Lis Casa,2025-03-18,46427.203
Le Lis Casa,2025-03-19,48456.973
Le Lis Casa,2025-03-20,47180.1
Le Lis Casa,2025-03-21,48379.805
Le Lis Casa,2025-03-22,50236.42
Le Lis Casa,2025-03-23,29759.06
Le Lis Casa,2025-03-24,45035.42
Le Lis Casa,2025-03-25,50586.656
Le Lis Casa,2025-03-26,47349.324
Le Lis Casa,2025-03-27,53359.965
Le Lis Casa,2025-03-28,63010.883
Le Lis Casa,2025-03-29,57278.41
Le Lis Casa,2025-03-30,36945.586
Le Lis Casa,2025-03-31,55781.32
Le Lis Casa,2025-04-01,42786.824
Le Lis Casa,2025-04-02,32912.523
Le Lis Casa,2025-04-03,28353.898
Le Lis Casa,2025-04-04,29575.12
Le Lis Casa,2025-04-05,34181.992
Le Lis Casa,2025-04-06,19788.527
