unique_id,ds,GRU
Le Lis Blanc Deux,2025-01-01,570049.2
Le Lis Blanc Deux,2025-01-02,1083024.6
Le Lis Blanc Deux,2025-01-03,2132073.5
Le Lis Blanc Deux,2025-01-04,2456001.0
Le Lis Blanc Deux,2025-01-05,1576544.5
Le Lis Blanc Deux,2025-01-06,2259598.0
Le Lis Blanc Deux,2025-01-07,2801927.2
Le Lis Blanc Deux,2025-01-08,3551387.8
Le Lis Blanc Deux,2025-01-09,2695394.0
Le Lis Blanc Deux,2025-01-10,2461749.0
Le Lis Blanc Deux,2025-01-11,2466274.8
Le Lis Blanc Deux,2025-01-12,1398299.8
Le Lis Blanc Deux,2025-01-13,1867372.2
Le Lis Blanc Deux,2025-01-14,2151940.8
Le Lis Blanc Deux,2025-01-15,2091609.5
Le Lis Blanc Deux,2025-01-16,1967592.9
Le Lis Blanc Deux,2025-01-17,2148563.5
Le Lis Blanc Deux,2025-01-18,2135714.2
Le Lis Blanc Deux,2025-01-19,1276255.0
Le Lis Blanc Deux,2025-01-20,1766171.4
Le Lis Blanc Deux,2025-01-21,1674646.4
Le Lis Blanc Deux,2025-01-22,1555912.9
Le Lis Blanc Deux,2025-01-23,1657379.4
Le Lis Blanc Deux,2025-01-24,1811420.8
Le Lis Blanc Deux,2025-01-25,2025360.2
Le Lis Blanc Deux,2025-01-26,1208570.2
Le Lis Blanc Deux,2025-01-27,1672676.0
Le Lis Blanc Deux,2025-01-28,1647251.5
Le Lis Blanc Deux,2025-01-29,1642705.9
Le Lis Blanc Deux,2025-01-30,1599683.5
Le Lis Blanc Deux,2025-01-31,1583309.0
Le Lis Blanc Deux,2025-02-01,1716789.5
Le Lis Blanc Deux,2025-02-02,1142812.4
Le Lis Blanc Deux,2025-02-03,1607154.9
Le Lis Blanc Deux,2025-02-04,1433701.9
Le Lis Blanc Deux,2025-02-05,1321616.0
Le Lis Blanc Deux,2025-02-06,1324769.0
Le Lis Blanc Deux,2025-02-07,1484768.2
Le Lis Blanc Deux,2025-02-08,1664752.5
Le Lis Blanc Deux,2025-02-09,1090225.0
Le Lis Blanc Deux,2025-02-10,1352989.5
Le Lis Blanc Deux,2025-02-11,1307788.8
Le Lis Blanc Deux,2025-02-12,1317403.1
Le Lis Blanc Deux,2025-02-13,1350121.9
Le Lis Blanc Deux,2025-02-14,1432651.8
Le Lis Blanc Deux,2025-02-15,1378424.0
Le Lis Blanc Deux,2025-02-16,701752.94
Le Lis Blanc Deux,2025-02-17,908639.25
Le Lis Blanc Deux,2025-02-18,778398.06
Le Lis Blanc Deux,2025-02-19,1067595.5
Le Lis Blanc Deux,2025-02-20,1426951.1
Le Lis Blanc Deux,2025-02-21,1595312.6
Le Lis Blanc Deux,2025-02-22,1798369.8
Le Lis Blanc Deux,2025-02-23,600736.56
Le Lis Blanc Deux,2025-02-24,904694.75
Le Lis Blanc Deux,2025-02-25,1109707.1
Le Lis Blanc Deux,2025-02-26,1260986.2
Le Lis Blanc Deux,2025-02-27,1497163.1
Le Lis Blanc Deux,2025-02-28,1848947.5
Le Lis Blanc Deux,2025-03-01,1108903.2
Le Lis Blanc Deux,2025-03-02,591673.3
Le Lis Blanc Deux,2025-03-03,852294.3
Le Lis Blanc Deux,2025-03-04,649506.0
Le Lis Blanc Deux,2025-03-05,1346465.6
Le Lis Blanc Deux,2025-03-06,1387191.6
Le Lis Blanc Deux,2025-03-07,2090509.5
Le Lis Blanc Deux,2025-03-08,2694787.5
Le Lis Blanc Deux,2025-03-09,1076206.8
Le Lis Blanc Deux,2025-03-10,1474749.5
Le Lis Blanc Deux,2025-03-11,1653648.9
Le Lis Blanc Deux,2025-03-12,1867214.9
Le Lis Blanc Deux,2025-03-13,1819013.2
Le Lis Blanc Deux,2025-03-14,2153007.8
Le Lis Blanc Deux,2025-03-15,2719789.0
Le Lis Blanc Deux,2025-03-16,1204066.8
Le Lis Blanc Deux,2025-03-17,1472320.5
Le Lis Blanc Deux,2025-03-18,1660351.0
Le Lis Blanc Deux,2025-03-19,1984729.9
Le Lis Blanc Deux,2025-03-20,2001445.0
Le Lis Blanc Deux,2025-03-21,2310873.8
Le Lis Blanc Deux,2025-03-22,2919484.0
Le Lis Blanc Deux,2025-03-23,1307698.1
Le Lis Blanc Deux,2025-03-24,1549699.5
Le Lis Blanc Deux,2025-03-25,1694514.6
Le Lis Blanc Deux,2025-03-26,1777181.9
Le Lis Blanc Deux,2025-03-27,1739899.5
Le Lis Blanc Deux,2025-03-28,2227834.8
Le Lis Blanc Deux,2025-03-29,2815553.5
Le Lis Blanc Deux,2025-03-30,1374318.4
Le Lis Blanc Deux,2025-03-31,1081339.0
Le Lis Blanc Deux,2025-04-01,1068371.9
Le Lis Blanc Deux,2025-04-02,961472.2
Le Lis Blanc Deux,2025-04-03,881781.6
Le Lis Blanc Deux,2025-04-04,1066463.6
Le Lis Blanc Deux,2025-04-05,1223655.8
Le Lis Blanc Deux,2025-04-06,557859.25
Le Lis Blanc Deux,2025-04-07,646369.06
Le Lis Blanc Deux,2025-04-08,702141.5
Le Lis Blanc Deux,2025-04-09,1213422.0
Le Lis Blanc Deux,2025-04-10,1874274.5
Le Lis Blanc Deux,2025-04-11,2064216.0
Le Lis Blanc Deux,2025-04-12,2687531.8
Le Lis Blanc Deux,2025-04-13,1011284.0
Le Lis Blanc Deux,2025-04-14,1227765.5
Le Lis Blanc Deux,2025-04-15,1387390.6
Le Lis Blanc Deux,2025-04-16,1544096.1
Le Lis Blanc Deux,2025-04-17,1532195.0
Le Lis Blanc Deux,2025-04-18,777967.4
Le Lis Blanc Deux,2025-04-19,1718805.4
Le Lis Blanc Deux,2025-04-20,719872.2
Le Lis Blanc Deux,2025-04-21,1108786.6
Le Lis Blanc Deux,2025-04-22,1190622.4
Le Lis Blanc Deux,2025-04-23,1373648.4
Le Lis Blanc Deux,2025-04-24,1764874.6
Le Lis Blanc Deux,2025-04-25,2026832.4
Le Lis Blanc Deux,2025-04-26,2041387.8
Le Lis Blanc Deux,2025-04-27,896225.8
Le Lis Blanc Deux,2025-04-28,1361801.8
Le Lis Blanc Deux,2025-04-29,1457790.5
Le Lis Blanc Deux,2025-04-30,1709953.1
Le Lis Blanc Deux,2025-05-01,1510555.2
Le Lis Blanc Deux,2025-05-02,2034625.5
Le Lis Blanc Deux,2025-05-03,1993769.9
Le Lis Blanc Deux,2025-05-04,1093689.2
Le Lis Blanc Deux,2025-05-05,1408986.5
Le Lis Blanc Deux,2025-05-06,1484130.5
Le Lis Blanc Deux,2025-05-07,2026193.1
Le Lis Blanc Deux,2025-05-08,2934114.8
Le Lis Blanc Deux,2025-05-09,3775351.5
Le Lis Blanc Deux,2025-05-10,4927144.0
Le Lis Blanc Deux,2025-05-11,645032.9
Le Lis Blanc Deux,2025-05-12,1340708.6
Le Lis Blanc Deux,2025-05-13,1499315.2
Le Lis Blanc Deux,2025-05-14,1482168.5
Le Lis Blanc Deux,2025-05-15,1545898.9
Le Lis Blanc Deux,2025-05-16,1707749.0
Le Lis Blanc Deux,2025-05-17,1715932.5
Le Lis Blanc Deux,2025-05-18,1014622.3
Le Lis Blanc Deux,2025-05-19,1319141.5
Le Lis Blanc Deux,2025-05-20,1361113.9
Le Lis Blanc Deux,2025-05-21,1776758.9
Le Lis Blanc Deux,2025-05-22,1917738.1
Le Lis Blanc Deux,2025-05-23,2135981.0
Le Lis Blanc Deux,2025-05-24,2649962.0
Le Lis Blanc Deux,2025-05-25,1117312.5
Le Lis Blanc Deux,2025-05-26,1720991.0
Le Lis Blanc Deux,2025-05-27,2127439.0
Le Lis Blanc Deux,2025-05-28,2214180.0
Le Lis Blanc Deux,2025-05-29,2059255.2
Le Lis Blanc Deux,2025-05-30,2110905.0
Le Lis Blanc Deux,2025-05-31,2447418.0
Le Lis Blanc Deux,2025-06-01,1036748.4
Le Lis Blanc Deux,2025-06-02,1531420.9
Le Lis Blanc Deux,2025-06-03,1605049.9
Le Lis Blanc Deux,2025-06-04,1685819.8
Le Lis Blanc Deux,2025-06-05,2028609.5
Le Lis Blanc Deux,2025-06-06,2936242.0
Le Lis Blanc Deux,2025-06-07,3164111.5
Le Lis Blanc Deux,2025-06-08,1176477.4
Le Lis Blanc Deux,2025-06-09,1666337.2
Le Lis Blanc Deux,2025-06-10,1979671.8
Le Lis Blanc Deux,2025-06-11,2294515.5
Le Lis Blanc Deux,2025-06-12,1776449.5
Le Lis Blanc Deux,2025-06-13,2342439.8
Le Lis Blanc Deux,2025-06-14,2120409.8
Le Lis Blanc Deux,2025-06-15,1051799.9
Le Lis Blanc Deux,2025-06-16,1688255.0
Le Lis Blanc Deux,2025-06-17,1806572.4
Le Lis Blanc Deux,2025-06-18,1430213.5
Le Lis Blanc Deux,2025-06-19,1121893.1
Le Lis Blanc Deux,2025-06-20,1195598.1
Le Lis Blanc Deux,2025-06-21,1400509.0
Le Lis Blanc Deux,2025-06-22,2234947.5
Le Lis Blanc Deux,2025-06-23,3201066.2
Le Lis Blanc Deux,2025-06-24,4422905.0
Le Lis Blanc Deux,2025-06-25,4232550.5
Le Lis Blanc Deux,2025-06-26,2986510.0
Le Lis Blanc Deux,2025-06-27,3170700.5
Le Lis Blanc Deux,2025-06-28,2988836.5
Le Lis Blanc Deux,2025-06-29,1454458.9
Le Lis Blanc Deux,2025-06-30,2249553.0
Le Lis Blanc Deux,2025-07-01,2149579.0
Le Lis Blanc Deux,2025-07-02,2002051.5
Le Lis Blanc Deux,2025-07-03,2321174.5
Le Lis Blanc Deux,2025-07-04,2928200.0
Le Lis Blanc Deux,2025-07-05,3082899.8
Le Lis Blanc Deux,2025-07-06,1472525.0
Le Lis Blanc Deux,2025-07-07,1754880.5
Le Lis Blanc Deux,2025-07-08,1724528.0
Le Lis Blanc Deux,2025-07-09,1717563.6
Le Lis Blanc Deux,2025-07-10,1696727.4
Le Lis Blanc Deux,2025-07-11,1745408.2
Le Lis Blanc Deux,2025-07-12,1768007.1
Le Lis Blanc Deux,2025-07-13,986814.4
Le Lis Blanc Deux,2025-07-14,1445210.9
Le Lis Blanc Deux,2025-07-15,1550075.5
Le Lis Blanc Deux,2025-07-16,1519008.0
Le Lis Blanc Deux,2025-07-17,1585118.6
Le Lis Blanc Deux,2025-07-18,1689394.0
Le Lis Blanc Deux,2025-07-19,1748499.8
Le Lis Blanc Deux,2025-07-20,1015634.0
Le Lis Blanc Deux,2025-07-21,1435367.2
Le Lis Blanc Deux,2025-07-22,1546745.9
Le Lis Blanc Deux,2025-07-23,1527920.9
Le Lis Blanc Deux,2025-07-24,1561251.2
Le Lis Blanc Deux,2025-07-25,1669003.4
Le Lis Blanc Deux,2025-07-26,1730448.4
Le Lis Blanc Deux,2025-07-27,1005118.2
Le Lis Blanc Deux,2025-07-28,1366368.1
Le Lis Blanc Deux,2025-07-29,1505586.1
Le Lis Blanc Deux,2025-07-30,1538072.0
Le Lis Blanc Deux,2025-07-31,1575177.5
Le Lis Blanc Deux,2025-08-01,1598562.2
Le Lis Blanc Deux,2025-08-02,1724172.5
Le Lis Blanc Deux,2025-08-03,938294.44
Le Lis Blanc Deux,2025-08-04,1370101.9
Le Lis Blanc Deux,2025-08-05,1577680.8
Le Lis Blanc Deux,2025-08-06,1579736.5
Le Lis Blanc Deux,2025-08-07,1645132.8
Le Lis Blanc Deux,2025-08-08,1708012.9
Le Lis Blanc Deux,2025-08-09,1750195.1
Le Lis Blanc Deux,2025-08-10,799972.94
Le Lis Blanc Deux,2025-08-11,1342794.2
Le Lis Blanc Deux,2025-08-12,1399950.2
Le Lis Blanc Deux,2025-08-13,1451725.1
Le Lis Blanc Deux,2025-08-14,1617216.4
Le Lis Blanc Deux,2025-08-15,1773731.5
Le Lis Blanc Deux,2025-08-16,1808258.0
Le Lis Blanc Deux,2025-08-17,1125526.0
Le Lis Blanc Deux,2025-08-18,1363677.6
Le Lis Blanc Deux,2025-08-19,1452651.5
Le Lis Blanc Deux,2025-08-20,1560847.6
Le Lis Blanc Deux,2025-08-21,1650359.2
Le Lis Blanc Deux,2025-08-22,1776344.6
Le Lis Blanc Deux,2025-08-23,1842289.0
Le Lis Blanc Deux,2025-08-24,965855.9
Le Lis Blanc Deux,2025-08-25,1262617.6
Le Lis Blanc Deux,2025-08-26,1463135.4
Le Lis Blanc Deux,2025-08-27,1642272.4
Le Lis Blanc Deux,2025-08-28,1780563.8
Le Lis Blanc Deux,2025-08-29,1934677.4
Le Lis Blanc Deux,2025-08-30,2103020.0
Le Lis Blanc Deux,2025-08-31,1047707.75
Le Lis Blanc Deux,2025-09-01,1369440.8
Le Lis Blanc Deux,2025-09-02,1447900.5
Le Lis Blanc Deux,2025-09-03,1560504.1
Le Lis Blanc Deux,2025-09-04,1635069.6
Le Lis Blanc Deux,2025-09-05,1838814.0
