unique_id,ds,GRU
Le Lis Blanc Deux,2025-01-01,540067.7
Le Lis Blanc Deux,2025-01-02,1042773.5
Le Lis Blanc Deux,2025-01-03,2273015.0
Le Lis Blanc Deux,2025-01-04,2617789.8
Le Lis Blanc Deux,2025-01-05,1674348.4
Le Lis Blanc Deux,2025-01-06,2254540.0
Le Lis Blanc Deux,2025-01-07,2599493.0
Le Lis Blanc Deux,2025-01-08,3333141.0
Le Lis Blanc Deux,2025-01-09,2676785.0
Le Lis Blanc Deux,2025-01-10,2498883.2
Le Lis Blanc Deux,2025-01-11,2583787.0
Le Lis Blanc Deux,2025-01-12,1468405.1
Le Lis Blanc Deux,2025-01-13,1854895.5
Le Lis Blanc Deux,2025-01-14,2098419.5
Le Lis Blanc Deux,2025-01-15,2033695.5
Le Lis Blanc Deux,2025-01-16,1944887.5
Le Lis Blanc Deux,2025-01-17,2162370.8
Le Lis Blanc Deux,2025-01-18,2168460.0
Le Lis Blanc Deux,2025-01-19,1299697.2
Le Lis Blanc Deux,2025-01-20,1789845.8
Le Lis Blanc Deux,2025-01-21,1683872.9
Le Lis Blanc Deux,2025-01-22,1561514.6
Le Lis Blanc Deux,2025-01-23,1679761.5
Le Lis Blanc Deux,2025-01-24,1857006.4
Le Lis Blanc Deux,2025-01-25,2092626.4
Le Lis Blanc Deux,2025-01-26,1269110.4
Le Lis Blanc Deux,2025-01-27,1661070.0
Le Lis Blanc Deux,2025-01-28,1657779.0
Le Lis Blanc Deux,2025-01-29,1642110.8
Le Lis Blanc Deux,2025-01-30,1607844.4
Le Lis Blanc Deux,2025-01-31,1587747.4
Le Lis Blanc Deux,2025-02-01,1789091.8
Le Lis Blanc Deux,2025-02-02,1165930.6
Le Lis Blanc Deux,2025-02-03,1602352.2
Le Lis Blanc Deux,2025-02-04,1440068.9
Le Lis Blanc Deux,2025-02-05,1266887.2
Le Lis Blanc Deux,2025-02-06,1275025.0
Le Lis Blanc Deux,2025-02-07,1463121.4
Le Lis Blanc Deux,2025-02-08,1598712.6
Le Lis Blanc Deux,2025-02-09,992749.1
Le Lis Blanc Deux,2025-02-10,1285744.2
Le Lis Blanc Deux,2025-02-11,1263665.8
Le Lis Blanc Deux,2025-02-12,1284992.5
Le Lis Blanc Deux,2025-02-13,1319724.2
Le Lis Blanc Deux,2025-02-14,1586510.5
Le Lis Blanc Deux,2025-02-15,1928148.4
Le Lis Blanc Deux,2025-02-16,847244.75
Le Lis Blanc Deux,2025-02-17,1142016.2
Le Lis Blanc Deux,2025-02-18,1340748.1
Le Lis Blanc Deux,2025-02-19,1310842.4
Le Lis Blanc Deux,2025-02-20,1448758.2
Le Lis Blanc Deux,2025-02-21,1657607.4
Le Lis Blanc Deux,2025-02-22,1929368.5
Le Lis Blanc Deux,2025-02-23,610003.4
Le Lis Blanc Deux,2025-02-24,869536.2
Le Lis Blanc Deux,2025-02-25,1111114.5
Le Lis Blanc Deux,2025-02-26,1284624.0
Le Lis Blanc Deux,2025-02-27,1506353.2
Le Lis Blanc Deux,2025-02-28,1954874.5
Le Lis Blanc Deux,2025-03-01,1182073.5
Le Lis Blanc Deux,2025-03-02,644376.25
Le Lis Blanc Deux,2025-03-03,868944.8
Le Lis Blanc Deux,2025-03-04,668802.9
Le Lis Blanc Deux,2025-03-05,1321042.9
Le Lis Blanc Deux,2025-03-06,1381584.8
Le Lis Blanc Deux,2025-03-07,2148670.0
