unique_id,ds,GRU
Bobô,2025-02-01,13510.09
Bobô,2025-02-02,2217.627
Bobô,2025-02-03,13170.83
Bobô,2025-02-04,11458.236
Bobô,2025-02-05,19879.652
Bobô,2025-02-06,16070.857
Bobô,2025-02-07,15988.717
Bobô,2025-02-08,32635.207
Bobô,2025-02-09,12432.0
Bobô,2025-02-10,10600.918
Bobô,2025-02-11,30643.836
Bobô,2025-02-12,21316.719
Bobô,2025-02-13,10641.953
Bobô,2025-02-14,10934.051
Bobô,2025-02-15,14161.629
Bobô,2025-02-16,4897.127
Bobô,2025-02-17,13303.954
Bobô,2025-02-18,6486.373
Bobô,2025-02-19,6130.328
Bobô,2025-02-20,25000.422
Bobô,2025-02-21,32904.395
Bobô,2025-02-22,17161.357
Bobô,2025-02-23,6094.6895
Bobô,2025-02-24,15916.919
Bobô,2025-02-25,19312.084
Bobô,2025-02-26,23197.555
Bobô,2025-02-27,23072.836
Bobô,2025-02-28,26566.246
Bobô,2025-03-01,32307.734
Bobô,2025-03-02,9532.664
Bobô,2025-03-03,14254.508
Bobô,2025-03-04,10853.625
Bobô,2025-03-05,15265.911
Bobô,2025-03-06,11861.998
Bobô,2025-03-07,24743.2
Bobô,2025-03-08,27251.133
Bobô,2025-03-09,10669.779
Bobô,2025-03-10,20148.406
Bobô,2025-03-11,17884.084
Bobô,2025-03-12,18338.324
Bobô,2025-03-13,25438.445
Bobô,2025-03-14,21289.703
Bobô,2025-03-15,33158.055
Bobô,2025-03-16,19650.924
Bobô,2025-03-17,43864.83
Bobô,2025-03-18,52825.21
Bobô,2025-03-19,60936.605
Bobô,2025-03-20,45382.125
Bobô,2025-03-21,43485.617
Bobô,2025-03-22,39029.758
Bobô,2025-03-23,19040.242
Bobô,2025-03-24,38266.742
Bobô,2025-03-25,26324.082
Bobô,2025-03-26,30475.664
Bobô,2025-03-27,36156.137
Bobô,2025-03-28,25696.982
Bobô,2025-03-29,17840.348
Bobô,2025-03-30,13079.651
Bobô,2025-03-31,26568.453
Bobô,2025-04-01,27591.809
Bobô,2025-04-02,35285.83
Bobô,2025-04-03,26470.73
Bobô,2025-04-04,24848.008
Bobô,2025-04-05,30098.336
Bobô,2025-04-06,9364.828
Bobô,2025-04-07,11956.246
Bobô,2025-04-08,21537.125
Bobô,2025-04-09,28367.523
Bobô,2025-04-10,21447.36
Bobô,2025-04-11,30104.951
Bobô,2025-04-12,37161.086
Bobô,2025-04-13,15606.381
Bobô,2025-04-14,43743.594
Bobô,2025-04-15,38433.71
Bobô,2025-04-16,40447.434
Bobô,2025-04-17,33576.125
Bobô,2025-04-18,10776.596
Bobô,2025-04-19,32881.09
Bobô,2025-04-20,13020.808
Bobô,2025-04-21,33964.36
Bobô,2025-04-22,28751.768
Bobô,2025-04-23,31119.498
Bobô,2025-04-24,24138.586
Bobô,2025-04-25,25793.754
Bobô,2025-04-26,31642.816
Bobô,2025-04-27,22693.3
Bobô,2025-04-28,47090.83
Bobô,2025-04-29,41911.883
Bobô,2025-04-30,46179.125
Bobô,2025-05-01,18681.266
Bobô,2025-05-02,34323.457
Bobô,2025-05-03,34805.336
Bobô,2025-05-04,26013.941
Bobô,2025-05-05,43644.047
Bobô,2025-05-06,53118.6
Bobô,2025-05-07,63199.32
Bobô,2025-05-08,58538.062
Bobô,2025-05-09,65003.746
Bobô,2025-05-10,38550.1
Bobô,2025-05-11,12189.747
Bobô,2025-05-12,35946.164
Bobô,2025-05-13,53273.5
Bobô,2025-05-14,33296.938
Bobô,2025-05-15,39777.42
Bobô,2025-05-16,32307.336
Bobô,2025-05-17,45338.65
Bobô,2025-05-18,18742.445
Bobô,2025-05-19,51676.71
Bobô,2025-05-20,35149.938
Bobô,2025-05-21,38985.656
Bobô,2025-05-22,33009.18
Bobô,2025-05-23,40384.28
Bobô,2025-05-24,31165.594
Bobô,2025-05-25,18750.227
Bobô,2025-05-26,48448.973
