unique_id,ds,GRU
Acessorio,2025-01-01,5736.952
Acessorio,2025-01-02,31121.625
Acessorio,2025-01-03,24412.205
Acessorio,2025-01-04,16323.844
Acessorio,2025-01-05,8016.369
Acessorio,2025-01-06,19309.756
Acessorio,2025-01-07,23819.941
Acessorio,2025-01-08,18943.396
Acessorio,2025-01-09,17021.812
Acessorio,2025-01-10,20930.555
Acessorio,2025-01-11,20113.707
Acessorio,2025-01-12,11930.494
Acessorio,2025-01-13,20567.984
Acessorio,2025-01-14,25539.725
Acessorio,2025-01-15,26637.094
Acessorio,2025-01-16,25946.238
Acessorio,2025-01-17,20917.023
Acessorio,2025-01-18,15245.353
Acessorio,2025-01-19,7937.2305
Acessorio,2025-01-20,16620.525
Acessorio,2025-01-21,19535.506
Acessorio,2025-01-22,23740.564
Acessorio,2025-01-23,18922.73
Acessorio,2025-01-24,14546.926
Acessorio,2025-01-25,16107.554
Acessorio,2025-01-26,9702.848
Acessorio,2025-01-27,12411.884
Acessorio,2025-01-28,16201.21
Acessorio,2025-01-29,17773.75
Acessorio,2025-01-30,15401.215
Acessorio,2025-01-31,10863.055
Acessorio,2025-02-01,8992.646
Acessorio,2025-02-02,6501.176
Acessorio,2025-02-03,11198.001
Acessorio,2025-02-04,13294.012
Acessorio,2025-02-05,12740.548
Acessorio,2025-02-06,16052.52
Acessorio,2025-02-07,11815.924
Acessorio,2025-02-08,20685.082
Acessorio,2025-02-09,15419.053
Acessorio,2025-02-10,12073.881
Acessorio,2025-02-11,20777.135
Acessorio,2025-02-12,17568.818
Acessorio,2025-02-13,19798.08
Acessorio,2025-02-14,17753.457
Acessorio,2025-02-15,28190.549
Acessorio,2025-02-16,9814.473
Acessorio,2025-02-17,18864.133
Acessorio,2025-02-18,14926.707
Acessorio,2025-02-19,17616.348
Acessorio,2025-02-20,20708.62
Acessorio,2025-02-21,23418.617
Acessorio,2025-02-22,11880.155
Acessorio,2025-02-23,3180.2803
Acessorio,2025-02-24,7337.6777
Acessorio,2025-02-25,8495.766
Acessorio,2025-02-26,11507.062
Acessorio,2025-02-27,14478.548
Acessorio,2025-02-28,17080.908
Acessorio,2025-03-01,15258.689
Acessorio,2025-03-02,12076.92
Acessorio,2025-03-03,10657.824
Acessorio,2025-03-04,4649.3613
Acessorio,2025-03-05,9239.7705
Acessorio,2025-03-06,13434.024
Acessorio,2025-03-07,20888.945
Acessorio,2025-03-08,12995.146
Acessorio,2025-03-09,5243.4062
Acessorio,2025-03-10,8902.922
Acessorio,2025-03-11,8499.182
Acessorio,2025-03-12,18867.959
Acessorio,2025-03-13,25418.2
Acessorio,2025-03-14,25419.602
Acessorio,2025-03-15,22449.94
Acessorio,2025-03-16,10433.621
Acessorio,2025-03-17,25087.496
Acessorio,2025-03-18,31623.582
Acessorio,2025-03-19,33999.48
Acessorio,2025-03-20,30998.512
Acessorio,2025-03-21,37315.816
Acessorio,2025-03-22,25361.875
Acessorio,2025-03-23,9974.139
Acessorio,2025-03-24,17654.29
Acessorio,2025-03-25,11890.479
Acessorio,2025-03-26,23414.95
Acessorio,2025-03-27,28187.559
Acessorio,2025-03-28,24905.988
Acessorio,2025-03-29,17281.809
Acessorio,2025-03-30,1710.8984
Acessorio,2025-03-31,16263.807
Acessorio,2025-04-01,19444.03
Acessorio,2025-04-02,27131.656
Acessorio,2025-04-03,25834.098
Acessorio,2025-04-04,23829.352
Acessorio,2025-04-05,26053.238
Acessorio,2025-04-06,9263.227
Acessorio,2025-04-07,14352.618
Acessorio,2025-04-08,31546.191
Acessorio,2025-04-09,32627.791
Acessorio,2025-04-10,32083.457
Acessorio,2025-04-11,42273.633
Acessorio,2025-04-12,33372.09
Acessorio,2025-04-13,11890.314
Acessorio,2025-04-14,25955.285
Acessorio,2025-04-15,17523.344
Acessorio,2025-04-16,28431.68
Acessorio,2025-04-17,30707.268
Acessorio,2025-04-18,9733.8125
Acessorio,2025-04-19,26796.035
Acessorio,2025-04-20,6744.2793
Acessorio,2025-04-21,17448.668
Acessorio,2025-04-22,13082.536
Acessorio,2025-04-23,27201.672
Acessorio,2025-04-24,23695.65
Acessorio,2025-04-25,32390.023
Acessorio,2025-04-26,25238.293
Acessorio,2025-04-27,15531.716
Acessorio,2025-04-28,38417.59
Acessorio,2025-04-29,43863.715
Acessorio,2025-04-30,38618.86
Acessorio,2025-05-01,14191.42
Acessorio,2025-05-02,35556.39
Acessorio,2025-05-03,37742.305
Acessorio,2025-05-04,18651.05
Acessorio,2025-05-05,38672.543
Acessorio,2025-05-06,42872.21
Acessorio,2025-05-07,56503.184
Acessorio,2025-05-08,45332.6
Acessorio,2025-05-09,52232.67
Acessorio,2025-05-10,34485.5
Acessorio,2025-05-11,13231.834
Acessorio,2025-05-12,26375.344
Acessorio,2025-05-13,41922.273
Acessorio,2025-05-14,36287.395
Acessorio,2025-05-15,21476.355
Acessorio,2025-05-16,22111.678
Acessorio,2025-05-17,28653.377
Acessorio,2025-05-18,11971.316
Acessorio,2025-05-19,44348.086
Acessorio,2025-05-20,37322.332
Acessorio,2025-05-21,42792.645
Acessorio,2025-05-22,32935.805
Acessorio,2025-05-23,42946.945
Acessorio,2025-05-24,30292.748
Acessorio,2025-05-25,16230.098
Acessorio,2025-05-26,33078.7
Acessorio,2025-05-27,43140.68
Acessorio,2025-05-28,48696.395
Acessorio,2025-05-29,42437.047
Acessorio,2025-05-30,36907.113
Acessorio,2025-05-31,31977.998
Acessorio,2025-06-01,28643.37
Acessorio,2025-06-02,18905.006
Acessorio,2025-06-03,23370.633
Acessorio,2025-06-04,33996.074
Acessorio,2025-06-05,38754.227
Acessorio,2025-06-06,42397.477
Acessorio,2025-06-07,45222.047
Acessorio,2025-06-08,24391.16
Acessorio,2025-06-09,44435.367
Acessorio,2025-06-10,39742.375
Acessorio,2025-06-11,42544.574
Acessorio,2025-06-12,35088.023
Acessorio,2025-06-13,39388.066
Acessorio,2025-06-14,16634.355
Acessorio,2025-06-15,8750.752
Acessorio,2025-06-16,26070.074
Acessorio,2025-06-17,35444.996
Acessorio,2025-06-18,41255.58
Acessorio,2025-06-19,36571.715
Acessorio,2025-06-20,42168.918
Acessorio,2025-06-21,33849.047
Acessorio,2025-06-22,13025.807
Acessorio,2025-06-23,21057.379
Acessorio,2025-06-24,22402.6
Acessorio,2025-06-25,33227.902
Acessorio,2025-06-26,33201.164
Acessorio,2025-06-27,28465.3
Acessorio,2025-06-28,30912.057
Acessorio,2025-06-29,21599.47
Acessorio,2025-06-30,24892.465
Acessorio,2025-07-01,14546.596
Acessorio,2025-07-02,23845.176
Acessorio,2025-07-03,24993.512
Acessorio,2025-07-04,27383.182
Acessorio,2025-07-05,23866.668
Acessorio,2025-07-06,9420.072
Acessorio,2025-07-07,12491.848
Acessorio,2025-07-08,13037.111
Acessorio,2025-07-09,11319.944
Acessorio,2025-07-10,19132.244
Acessorio,2025-07-11,21218.086
Acessorio,2025-07-12,13761.506
Acessorio,2025-07-13,11142.01
Acessorio,2025-07-14,21062.242
Acessorio,2025-07-15,28440.688
