unique_id,ds,GRU
Aroma,2025-01-01,534.0438
Aroma,2025-01-02,-188.66919
Aroma,2025-01-03,370.71686
Aroma,2025-01-04,487.90002
Aroma,2025-01-05,134.10468
Aroma,2025-01-06,460.4353
Aroma,2025-01-07,386.71124
Aroma,2025-01-08,380.6141
Aroma,2025-01-09,630.6924
Aroma,2025-01-10,233.47739
Aroma,2025-01-11,441.77704
Aroma,2025-01-12,168.81467
Aroma,2025-01-13,388.3645
Aroma,2025-01-14,252.55505
Aroma,2025-01-15,316.3086
Aroma,2025-01-16,427.87668
Aroma,2025-01-17,966.31287
Aroma,2025-01-18,698.3982
Aroma,2025-01-19,409.0033
Aroma,2025-01-20,569.76984
Aroma,2025-01-21,212.98361
Aroma,2025-01-22,284.19287
Aroma,2025-01-23,410.5702
Aroma,2025-01-24,857.5419
Aroma,2025-01-25,559.0373
Aroma,2025-01-26,381.6438
Aroma,2025-01-27,631.383
Aroma,2025-01-28,359.26727
Aroma,2025-01-29,141.98431
Aroma,2025-01-30,136.14725
Aroma,2025-01-31,280.78052
Aroma,2025-02-01,583.24023
Aroma,2025-02-02,418.70822
Aroma,2025-02-03,660.06055
Aroma,2025-02-04,308.43655
Aroma,2025-02-05,237.33194
Aroma,2025-02-06,221.326
Aroma,2025-02-07,525.7129
Aroma,2025-02-08,319.9726
Aroma,2025-02-09,339.21384
Aroma,2025-02-10,191.01825
Aroma,2025-02-11,287.04272
Aroma,2025-02-12,787.48096
Aroma,2025-02-13,469.253
Aroma,2025-02-14,533.07825
Aroma,2025-02-15,388.69336
Aroma,2025-02-16,90.95157
Aroma,2025-02-17,269.86804
Aroma,2025-02-18,336.1706
Aroma,2025-02-19,80.58679
Aroma,2025-02-20,258.65887
Aroma,2025-02-21,733.40295
Aroma,2025-02-22,425.65707
Aroma,2025-02-23,309.5641
Aroma,2025-02-24,397.4586
Aroma,2025-02-25,546.31506
Aroma,2025-02-26,209.36066
Aroma,2025-02-27,313.63898
Aroma,2025-02-28,476.57156
Aroma,2025-03-01,861.83636
Aroma,2025-03-02,215.4635
Aroma,2025-03-03,-90.18213
Aroma,2025-03-04,156.26663
Aroma,2025-03-05,279.86163
Aroma,2025-03-06,447.5838
Aroma,2025-03-07,682.02
Aroma,2025-03-08,550.7041
Aroma,2025-03-09,153.57175
Aroma,2025-03-10,116.175354
Aroma,2025-03-11,562.1525
Aroma,2025-03-12,87.59366
Aroma,2025-03-13,341.10803
Aroma,2025-03-14,611.6022
Aroma,2025-03-15,329.15472
Aroma,2025-03-16,134.5857
Aroma,2025-03-17,113.329285
Aroma,2025-03-18,558.6424
Aroma,2025-03-19,392.59814
Aroma,2025-03-20,381.94882
Aroma,2025-03-21,426.67026
Aroma,2025-03-22,335.0752
Aroma,2025-03-23,76.814514
Aroma,2025-03-24,144.9342
Aroma,2025-03-25,103.45206
Aroma,2025-03-26,77.350464
Aroma,2025-03-27,225.03662
Aroma,2025-03-28,872.19775
Aroma,2025-03-29,860.9031
Aroma,2025-03-30,165.51593
Aroma,2025-03-31,81.12262
Aroma,2025-04-01,439.02484
Aroma,2025-04-02,344.80884
Aroma,2025-04-03,270.6187
Aroma,2025-04-04,643.22076
Aroma,2025-04-05,132.77399
Aroma,2025-04-06,-117.36987
Aroma,2025-04-07,759.0393
Aroma,2025-04-08,265.7898
Aroma,2025-04-09,202.97485
Aroma,2025-04-10,274.25507
Aroma,2025-04-11,88.47598
Aroma,2025-04-12,203.07773
Aroma,2025-04-13,334.4154
Aroma,2025-04-14,542.51685
Aroma,2025-04-15,525.40985
Aroma,2025-04-16,289.49805
Aroma,2025-04-17,326.1396
Aroma,2025-04-18,-89.27307
Aroma,2025-04-19,28.555817
Aroma,2025-04-20,-77.13428
Aroma,2025-04-21,1155.3975
Aroma,2025-04-22,272.28253
Aroma,2025-04-23,370.93036
Aroma,2025-04-24,550.3911
Aroma,2025-04-25,240.10742
Aroma,2025-04-26,420.5925
Aroma,2025-04-27,482.99777
Aroma,2025-04-28,211.84396
Aroma,2025-04-29,924.76117
Aroma,2025-04-30,104.31732
Aroma,2025-05-01,241.11708
Aroma,2025-05-02,-2.0763245
Aroma,2025-05-03,152.91144
Aroma,2025-05-04,1109.2245
Aroma,2025-05-05,300.5794
Aroma,2025-05-06,586.9733
Aroma,2025-05-07,610.307
Aroma,2025-05-08,809.1664
Aroma,2025-05-09,590.08673
Aroma,2025-05-10,1161.938
Aroma,2025-05-11,430.35648
Aroma,2025-05-12,530.418
Aroma,2025-05-13,660.3974
Aroma,2025-05-14,486.53162
Aroma,2025-05-15,320.7257
Aroma,2025-05-16,945.0012
Aroma,2025-05-17,1134.6361
Aroma,2025-05-18,586.29364
Aroma,2025-05-19,281.3078
Aroma,2025-05-20,340.33136
Aroma,2025-05-21,159.80756
Aroma,2025-05-22,521.9323
Aroma,2025-05-23,351.1309
Aroma,2025-05-24,414.05847
Aroma,2025-05-25,244.64511
Aroma,2025-05-26,326.90704
Aroma,2025-05-27,437.00006
Aroma,2025-05-28,770.3911
Aroma,2025-05-29,1023.8521
Aroma,2025-05-30,1082.051
Aroma,2025-05-31,738.35767
Aroma,2025-06-01,665.5364
Aroma,2025-06-02,887.0037
Aroma,2025-06-03,116.02487
Aroma,2025-06-04,246.75262
Aroma,2025-06-05,316.45688
Aroma,2025-06-06,161.09674
Aroma,2025-06-07,69.78116
Aroma,2025-06-08,69.73941
Aroma,2025-06-09,153.47775
Aroma,2025-06-10,27.981506
Aroma,2025-06-11,448.88464
Aroma,2025-06-12,740.60535
Aroma,2025-06-13,416.05655
Aroma,2025-06-14,209.89755
Aroma,2025-06-15,321.22192
Aroma,2025-06-16,571.857
Aroma,2025-06-17,410.57565
Aroma,2025-06-18,426.04852
Aroma,2025-06-19,-76.296326
Aroma,2025-06-20,58.51071
Aroma,2025-06-21,170.52853
Aroma,2025-06-22,212.56006
Aroma,2025-06-23,480.48688
Aroma,2025-06-24,157.10199
Aroma,2025-06-25,710.0918
Aroma,2025-06-26,350.84573
Aroma,2025-06-27,1068.6963
Aroma,2025-06-28,1155.1516
Aroma,2025-06-29,443.90802
Aroma,2025-06-30,131.48566
Aroma,2025-07-01,79.70657
Aroma,2025-07-02,534.28937
Aroma,2025-07-03,456.73477
Aroma,2025-07-04,693.5772
Aroma,2025-07-05,460.385
Aroma,2025-07-06,395.66043
Aroma,2025-07-07,291.28708
Aroma,2025-07-08,1411.7239
Aroma,2025-07-09,205.6915
Aroma,2025-07-10,790.26337
Aroma,2025-07-11,763.08295
Aroma,2025-07-12,473.95517
Aroma,2025-07-13,-106.85455
Aroma,2025-07-14,427.41052
Aroma,2025-07-15,507.4106
Aroma,2025-07-16,510.24
Aroma,2025-07-17,593.99536
Aroma,2025-07-18,733.84045
Aroma,2025-07-19,341.3255
Aroma,2025-07-20,381.06
Aroma,2025-07-21,553.6011
Aroma,2025-07-22,515.74445
Aroma,2025-07-23,831.39465
Aroma,2025-07-24,103.9202
Aroma,2025-07-25,530.25696
Aroma,2025-07-26,143.59277
Aroma,2025-07-27,223.26294
Aroma,2025-07-28,2.944519
Aroma,2025-07-29,47.785736
Aroma,2025-07-30,254.08572
Aroma,2025-07-31,-146.93561
Aroma,2025-08-01,421.58545
Aroma,2025-08-02,149.83401
Aroma,2025-08-03,47.348114
Aroma,2025-08-04,375.59848
Aroma,2025-08-05,167.06345
Aroma,2025-08-06,191.08624
Aroma,2025-08-07,949.12537
Aroma,2025-08-08,160.14685
Aroma,2025-08-09,990.54
Aroma,2025-08-10,306.03778
Aroma,2025-08-11,623.6763
Aroma,2025-08-12,418.4367
Aroma,2025-08-13,925.808
Aroma,2025-08-14,479.66925
Aroma,2025-08-15,2090.7876
Aroma,2025-08-16,1358.3633
Aroma,2025-08-17,677.3778
Aroma,2025-08-18,389.469
Aroma,2025-08-19,-136.61725
Aroma,2025-08-20,218.13431
Aroma,2025-08-21,189.86853
Aroma,2025-08-22,23.870514
Aroma,2025-08-23,83.74579
Aroma,2025-08-24,635.8067
Aroma,2025-08-25,677.6987
Aroma,2025-08-26,255.64005
Aroma,2025-08-27,591.51855
Aroma,2025-08-28,357.8271
Aroma,2025-08-29,1297.9082
Aroma,2025-08-30,1002.69836
Aroma,2025-08-31,288.22955
Aroma,2025-09-01,366.6478
Aroma,2025-09-02,42.63379
Aroma,2025-09-03,438.1995
Aroma,2025-09-04,257.54303
Aroma,2025-09-05,69.07019
Aroma,2025-09-06,319.83493
Aroma,2025-09-07,322.2808
Aroma,2025-09-08,1232.1024
Aroma,2025-09-09,2051.6328
Aroma,2025-09-10,246.20216
Aroma,2025-09-11,480.87775
Aroma,2025-09-12,-14.179077
Aroma,2025-09-13,436.869
Aroma,2025-09-14,198.51859
Aroma,2025-09-15,660.3134
Aroma,2025-09-16,355.3713
Aroma,2025-09-17,395.7726
Aroma,2025-09-18,943.47
Aroma,2025-09-19,701.14984
Aroma,2025-09-20,673.7456
Aroma,2025-09-21,704.93677
Aroma,2025-09-22,-28.695526
Aroma,2025-09-23,137.62866
Aroma,2025-09-24,912.7611
Aroma,2025-09-25,934.7002
Aroma,2025-09-26,691.327
Aroma,2025-09-27,937.2018
Aroma,2025-09-28,-12.23468
Aroma,2025-09-29,30.509369
Aroma,2025-09-30,411.7375
Aroma,2025-10-01,523.6771
Aroma,2025-10-02,141.60641
Aroma,2025-10-03,522.67944
Aroma,2025-10-04,1341.6411
Aroma,2025-10-05,154.48532
Aroma,2025-10-06,625.6202
Aroma,2025-10-07,284.0692
Aroma,2025-10-08,371.83618
Aroma,2025-10-09,83.44418
Aroma,2025-10-10,161.90213
Aroma,2025-10-11,656.6221
Aroma,2025-10-12,549.70935
Aroma,2025-10-13,207.03763
Aroma,2025-10-14,326.74722
Aroma,2025-10-15,337.27362
Aroma,2025-10-16,395.46298
Aroma,2025-10-17,308.70145
Aroma,2025-10-18,441.29413
Aroma,2025-10-19,72.528534
Aroma,2025-10-20,423.52023
Aroma,2025-10-21,147.89511
Aroma,2025-10-22,297.0777
Aroma,2025-10-23,95.11743
Aroma,2025-10-24,650.3387
Aroma,2025-10-25,799.42676
Aroma,2025-10-26,550.65186
Aroma,2025-10-27,356.41278
Aroma,2025-10-28,147.00336
Aroma,2025-10-29,86.49371
Aroma,2025-10-30,1027.6616
Aroma,2025-10-31,236.11478
Aroma,2025-11-01,-111.41785
Aroma,2025-11-02,-137.00928
Aroma,2025-11-03,496.6827
Aroma,2025-11-04,472.77985
Aroma,2025-11-05,602.9411
Aroma,2025-11-06,1058.2826
Aroma,2025-11-07,6.1644897
Aroma,2025-11-08,48.5726
Aroma,2025-11-09,476.00528
Aroma,2025-11-10,111.115906
Aroma,2025-11-11,664.8546
Aroma,2025-11-12,952.66425
Aroma,2025-11-13,1003.3421
Aroma,2025-11-14,781.6217
Aroma,2025-11-15,549.87463
Aroma,2025-11-16,166.88892
Aroma,2025-11-17,308.80695
Aroma,2025-11-18,1015.75385
Aroma,2025-11-19,1244.8977
Aroma,2025-11-20,1140.6805
Aroma,2025-11-21,693.8313
Aroma,2025-11-22,263.21332
Aroma,2025-11-23,98.10416
Aroma,2025-11-24,344.4841
Aroma,2025-11-25,253.16672
Aroma,2025-11-26,160.46347
Aroma,2025-11-27,226.7386
Aroma,2025-11-28,485.2614
Aroma,2025-11-29,471.66714
Aroma,2025-11-30,-530.0957
Aroma,2025-12-01,-51.19702
Aroma,2025-12-02,99.62457
Aroma,2025-12-03,858.15906
Aroma,2025-12-04,923.548
Aroma,2025-12-05,865.5179
Aroma,2025-12-06,202.28848
Aroma,2025-12-07,-230.90283
Aroma,2025-12-08,429.585
Aroma,2025-12-09,470.81223
Aroma,2025-12-10,800.5159
Aroma,2025-12-11,569.78326
Aroma,2025-12-12,727.37274
Aroma,2025-12-13,1016.6783
Aroma,2025-12-14,494.99
Aroma,2025-12-15,621.0599
Aroma,2025-12-16,617.3695
Aroma,2025-12-17,864.7502
Aroma,2025-12-18,1689.3495
Aroma,2025-12-19,1578.2073
Aroma,2025-12-20,756.31494
Aroma,2025-12-21,1009.7311
Aroma,2025-12-22,2023.5905
Aroma,2025-12-23,514.345
Aroma,2025-12-24,1856.9846
Aroma,2025-12-25,950.13586
Aroma,2025-12-26,372.8091
Aroma,2025-12-27,292.15573
Aroma,2025-12-28,334.6106
Aroma,2025-12-29,513.3813
Aroma,2025-12-30,190.94604
Aroma,2025-12-31,1334.9004
