unique_id,ds,GRU
Casual,2025-01-01,28637.59
Casual,2025-01-02,136341.55
Casual,2025-01-03,104120.61
Casual,2025-01-04,54135.88
Casual,2025-01-05,36826.11
Casual,2025-01-06,46518.938
Casual,2025-01-07,54253.78
Casual,2025-01-08,59864.42
Casual,2025-01-09,49117.945
Casual,2025-01-10,72646.28
Casual,2025-01-11,68542.78
Casual,2025-01-12,42763.688
Casual,2025-01-13,67884.78
Casual,2025-01-14,82755.06
Casual,2025-01-15,73617.0
Casual,2025-01-16,67790.61
Casual,2025-01-17,66981.984
Casual,2025-01-18,82956.766
Casual,2025-01-19,50190.86
Casual,2025-01-20,71142.74
Casual,2025-01-21,77143.8
Casual,2025-01-22,80689.875
Casual,2025-01-23,62334.566
Casual,2025-01-24,54211.33
Casual,2025-01-25,52555.496
Casual,2025-01-26,36541.188
Casual,2025-01-27,59922.242
Casual,2025-01-28,80562.3
Casual,2025-01-29,82230.7
Casual,2025-01-30,76905.0
Casual,2025-01-31,73241.42
Casual,2025-02-01,68202.04
Casual,2025-02-02,23047.742
Casual,2025-02-03,59671.484
Casual,2025-02-04,61595.164
Casual,2025-02-05,61861.742
Casual,2025-02-06,67877.04
Casual,2025-02-07,66191.78
Casual,2025-02-08,84371.47
Casual,2025-02-09,53613.125
Casual,2025-02-10,59414.82
Casual,2025-02-11,68326.25
Casual,2025-02-12,66489.34
Casual,2025-02-13,60201.113
Casual,2025-02-14,90420.1
Casual,2025-02-15,73926.22
Casual,2025-02-16,41101.785
Casual,2025-02-17,51775.113
Casual,2025-02-18,52561.992
Casual,2025-02-19,54627.348
Casual,2025-02-20,59821.156
Casual,2025-02-21,71464.2
Casual,2025-02-22,71293.95
Casual,2025-02-23,41236.992
Casual,2025-02-24,43335.965
Casual,2025-02-25,54290.1
Casual,2025-02-26,49660.816
Casual,2025-02-27,55231.473
Casual,2025-02-28,63224.39
Casual,2025-03-01,68483.41
Casual,2025-03-02,37055.023
Casual,2025-03-03,41016.836
Casual,2025-03-04,25445.418
Casual,2025-03-05,37964.14
Casual,2025-03-06,40169.29
Casual,2025-03-07,42069.918
Casual,2025-03-08,44842.56
Casual,2025-03-09,32464.506
Casual,2025-03-10,48419.87
Casual,2025-03-11,61966.375
Casual,2025-03-12,60468.09
Casual,2025-03-13,55274.684
Casual,2025-03-14,61215.734
Casual,2025-03-15,66457.26
Casual,2025-03-16,26665.848
Casual,2025-03-17,49434.094
Casual,2025-03-18,60052.777
Casual,2025-03-19,75590.36
Casual,2025-03-20,87476.34
Casual,2025-03-21,113624.19
Casual,2025-03-22,90433.82
Casual,2025-03-23,16103.375
Casual,2025-03-24,31837.617
Casual,2025-03-25,51068.71
Casual,2025-03-26,52005.5
Casual,2025-03-27,68644.305
Casual,2025-03-28,82431.19
Casual,2025-03-29,57611.254
Casual,2025-03-30,36776.793
Casual,2025-03-31,47860.85
Casual,2025-04-01,70091.19
Casual,2025-04-02,60161.87
Casual,2025-04-03,68083.68
Casual,2025-04-04,101779.42
Casual,2025-04-05,76338.17
Casual,2025-04-06,27228.793
Casual,2025-04-07,46922.332
Casual,2025-04-08,52808.88
Casual,2025-04-09,62901.39
Casual,2025-04-10,60978.215
Casual,2025-04-11,54119.36
Casual,2025-04-12,51554.758
Casual,2025-04-13,40493.664
Casual,2025-04-14,62937.145
Casual,2025-04-15,72739.1
Casual,2025-04-16,58843.83
Casual,2025-04-17,58347.77
Casual,2025-04-18,22781.21
Casual,2025-04-19,61805.562
Casual,2025-04-20,27392.89
Casual,2025-04-21,50076.953
Casual,2025-04-22,72682.44
Casual,2025-04-23,80325.89
Casual,2025-04-24,89343.21
Casual,2025-04-25,104069.5
Casual,2025-04-26,120547.83
Casual,2025-04-27,31885.799
Casual,2025-04-28,82210.25
Casual,2025-04-29,81559.445
Casual,2025-04-30,115339.3
Casual,2025-05-01,69987.54
Casual,2025-05-02,120507.375
Casual,2025-05-03,122875.72
Casual,2025-05-04,82952.305
Casual,2025-05-05,65771.45
Casual,2025-05-06,77002.71
Casual,2025-05-07,83470.77
Casual,2025-05-08,83874.39
Casual,2025-05-09,118747.41
Casual,2025-05-10,130266.625
Casual,2025-05-11,18195.367
Casual,2025-05-12,53871.08
Casual,2025-05-13,70026.875
Casual,2025-05-14,81624.25
Casual,2025-05-15,78489.195
Casual,2025-05-16,81063.55
Casual,2025-05-17,80541.83
Casual,2025-05-18,16192.176
Casual,2025-05-19,36872.832
Casual,2025-05-20,86156.55
Casual,2025-05-21,94354.45
Casual,2025-05-22,93561.97
Casual,2025-05-23,111558.47
Casual,2025-05-24,98083.61
Casual,2025-05-25,35064.258
Casual,2025-05-26,76621.83
Casual,2025-05-27,66247.445
Casual,2025-05-28,66880.734
Casual,2025-05-29,72068.375
Casual,2025-05-30,86368.37
Casual,2025-05-31,67333.91
Casual,2025-06-01,18217.504
Casual,2025-06-02,82351.74
Casual,2025-06-03,70155.05
Casual,2025-06-04,70064.33
Casual,2025-06-05,88875.65
Casual,2025-06-06,117605.11
Casual,2025-06-07,103759.94
Casual,2025-06-08,36476.03
Casual,2025-06-09,52836.32
Casual,2025-06-10,99599.42
Casual,2025-06-11,95381.39
Casual,2025-06-12,76648.17
Casual,2025-06-13,109458.0
Casual,2025-06-14,62695.484
Casual,2025-06-15,37735.992
Casual,2025-06-16,96150.85
Casual,2025-06-17,62237.633
Casual,2025-06-18,49310.49
Casual,2025-06-19,55141.83
Casual,2025-06-20,47822.92
Casual,2025-06-21,45050.45
Casual,2025-06-22,32534.05
Casual,2025-06-23,65934.32
Casual,2025-06-24,93339.49
