unique_id,ds,GRU
Alfaiataria,2025-01-01,18158.082
Alfaiataria,2025-01-02,26417.346
Alfaiataria,2025-01-03,31608.393
Alfaiataria,2025-01-04,110727.05
Alfaiataria,2025-01-05,51800.902
Alfaiataria,2025-01-06,33387.895
Alfaiataria,2025-01-07,37253.29
Alfaiataria,2025-01-08,38504.29
Alfaiataria,2025-01-09,43143.492
Alfaiataria,2025-01-10,42045.402
Alfaiataria,2025-01-11,39063.69
Alfaiataria,2025-01-12,30906.557
Alfaiataria,2025-01-13,32479.42
Alfaiataria,2025-01-14,30770.047
Alfaiataria,2025-01-15,36357.117
Alfaiataria,2025-01-16,33468.41
Alfaiataria,2025-01-17,37354.92
Alfaiataria,2025-01-18,60332.535
Alfaiataria,2025-01-19,8392.752
Alfaiataria,2025-01-20,32039.58
Alfaiataria,2025-01-21,27552.627
Alfaiataria,2025-01-22,32886.695
Alfaiataria,2025-01-23,29828.24
Alfaiataria,2025-01-24,24069.678
Alfaiataria,2025-01-25,46684.844
Alfaiataria,2025-01-26,11133.315
Alfaiataria,2025-01-27,30139.36
Alfaiataria,2025-01-28,22073.21
Alfaiataria,2025-01-29,23494.504
Alfaiataria,2025-01-30,21177.14
Alfaiataria,2025-01-31,28873.963
Alfaiataria,2025-02-01,33243.97
Alfaiataria,2025-02-02,8066.8125
Alfaiataria,2025-02-03,28940.697
Alfaiataria,2025-02-04,13736.198
Alfaiataria,2025-02-05,17146.75
Alfaiataria,2025-02-06,21057.121
Alfaiataria,2025-02-07,21602.543
Alfaiataria,2025-02-08,26649.506
Alfaiataria,2025-02-09,20041.066
Alfaiataria,2025-02-10,30736.822
Alfaiataria,2025-02-11,27134.508
Alfaiataria,2025-02-12,31624.668
Alfaiataria,2025-02-13,36839.008
Alfaiataria,2025-02-14,23595.305
Alfaiataria,2025-02-15,61364.26
Alfaiataria,2025-02-16,-4958.959
Alfaiataria,2025-02-17,15371.017
Alfaiataria,2025-02-18,1824.1191
Alfaiataria,2025-02-19,200.21289
Alfaiataria,2025-02-20,21973.426
Alfaiataria,2025-02-21,48976.344
Alfaiataria,2025-02-22,77592.67
Alfaiataria,2025-02-23,30612.053
Alfaiataria,2025-02-24,35218.086
Alfaiataria,2025-02-25,24264.588
Alfaiataria,2025-02-26,25745.477
Alfaiataria,2025-02-27,36454.336
Alfaiataria,2025-02-28,33447.23
Alfaiataria,2025-03-01,31570.082
Alfaiataria,2025-03-02,12657.74
Alfaiataria,2025-03-03,28083.39
Alfaiataria,2025-03-04,16980.008
Alfaiataria,2025-03-05,23450.352
Alfaiataria,2025-03-06,36988.86
Alfaiataria,2025-03-07,38268.316
Alfaiataria,2025-03-08,43395.316
Alfaiataria,2025-03-09,29951.125
Alfaiataria,2025-03-10,31863.223
Alfaiataria,2025-03-11,27630.023
Alfaiataria,2025-03-12,53701.477
Alfaiataria,2025-03-13,56314.867
Alfaiataria,2025-03-14,43547.742
Alfaiataria,2025-03-15,74574.414
Alfaiataria,2025-03-16,36128.004
Alfaiataria,2025-03-17,37719.492
Alfaiataria,2025-03-18,37295.91
Alfaiataria,2025-03-19,45351.28
Alfaiataria,2025-03-20,37472.02
Alfaiataria,2025-03-21,34950.18
Alfaiataria,2025-03-22,58345.586
Alfaiataria,2025-03-23,29008.475
Alfaiataria,2025-03-24,32868.484
Alfaiataria,2025-03-25,31058.793
Alfaiataria,2025-03-26,29185.938
Alfaiataria,2025-03-27,31755.336
Alfaiataria,2025-03-28,33396.336
Alfaiataria,2025-03-29,59570.086
Alfaiataria,2025-03-30,35227.336
Alfaiataria,2025-03-31,53247.133
Alfaiataria,2025-04-01,37409.54
Alfaiataria,2025-04-02,36433.69
Alfaiataria,2025-04-03,35985.996
Alfaiataria,2025-04-04,45089.453
Alfaiataria,2025-04-05,96310.08
Alfaiataria,2025-04-06,50045.77
Alfaiataria,2025-04-07,48549.016
Alfaiataria,2025-04-08,53482.4
Alfaiataria,2025-04-09,66067.34
Alfaiataria,2025-04-10,63387.434
Alfaiataria,2025-04-11,66623.03
Alfaiataria,2025-04-12,101034.44
Alfaiataria,2025-04-13,57356.598
Alfaiataria,2025-04-14,79398.875
Alfaiataria,2025-04-15,77162.414
Alfaiataria,2025-04-16,63894.12
Alfaiataria,2025-04-17,60712.875
Alfaiataria,2025-04-18,67025.86
Alfaiataria,2025-04-19,122341.96
Alfaiataria,2025-04-20,42647.9
Alfaiataria,2025-04-21,77733.97
Alfaiataria,2025-04-22,53836.727
Alfaiataria,2025-04-23,62293.79
Alfaiataria,2025-04-24,44092.77
Alfaiataria,2025-04-25,78254.53
Alfaiataria,2025-04-26,92739.586
Alfaiataria,2025-04-27,63035.945
Alfaiataria,2025-04-28,59533.164
Alfaiataria,2025-04-29,70516.68
Alfaiataria,2025-04-30,68091.68
Alfaiataria,2025-05-01,55390.164
