unique_id,ds,GRU
Jeans e Sarja,2025-01-01,13493.648
Jeans e Sarja,2025-01-02,21810.11
Jeans e Sarja,2025-01-03,54190.0
Jeans e Sarja,2025-01-04,70022.06
Jeans e Sarja,2025-01-05,37715.758
Jeans e Sarja,2025-01-06,35907.836
Jeans e Sarja,2025-01-07,39540.188
Jeans e Sarja,2025-01-08,36492.53
Jeans e Sarja,2025-01-09,34786.375
Jeans e Sarja,2025-01-10,38045.6
Jeans e Sarja,2025-01-11,55730.07
Jeans e Sarja,2025-01-12,24122.27
Jeans e Sarja,2025-01-13,28649.17
Jeans e Sarja,2025-01-14,29686.373
Jeans e Sarja,2025-01-15,30289.047
Jeans e Sarja,2025-01-16,31180.627
Jeans e Sarja,2025-01-17,38218.65
Jeans e Sarja,2025-01-18,69258.08
Jeans e Sarja,2025-01-19,54081.055
Jeans e Sarja,2025-01-20,41383.5
Jeans e Sarja,2025-01-21,38578.633
Jeans e Sarja,2025-01-22,33603.375
Jeans e Sarja,2025-01-23,36311.617
Jeans e Sarja,2025-01-24,45488.086
Jeans e Sarja,2025-01-25,69685.29
Jeans e Sarja,2025-01-26,44462.227
Jeans e Sarja,2025-01-27,48997.77
Jeans e Sarja,2025-01-28,49793.79
Jeans e Sarja,2025-01-29,46429.094
Jeans e Sarja,2025-01-30,57504.844
Jeans e Sarja,2025-01-31,54872.516
Jeans e Sarja,2025-02-01,85919.94
Jeans e Sarja,2025-02-02,61987.312
Jeans e Sarja,2025-02-03,44229.1
Jeans e Sarja,2025-02-04,49295.34
Jeans e Sarja,2025-02-05,46033.953
Jeans e Sarja,2025-02-06,51532.04
Jeans e Sarja,2025-02-07,67654.09
Jeans e Sarja,2025-02-08,108543.36
Jeans e Sarja,2025-02-09,39190.914
Jeans e Sarja,2025-02-10,28435.012
Jeans e Sarja,2025-02-11,24084.482
Jeans e Sarja,2025-02-12,19297.115
Jeans e Sarja,2025-02-13,16906.416
Jeans e Sarja,2025-02-14,40208.656
Jeans e Sarja,2025-02-15,23427.84
Jeans e Sarja,2025-02-16,12329.42
Jeans e Sarja,2025-02-17,13005.515
Jeans e Sarja,2025-02-18,14433.803
Jeans e Sarja,2025-02-19,15330.465
Jeans e Sarja,2025-02-20,19984.996
Jeans e Sarja,2025-02-21,20136.861
Jeans e Sarja,2025-02-22,20056.252
Jeans e Sarja,2025-02-23,18192.752
Jeans e Sarja,2025-02-24,18556.703
Jeans e Sarja,2025-02-25,19010.674
Jeans e Sarja,2025-02-26,19053.547
Jeans e Sarja,2025-02-27,18581.719
Jeans e Sarja,2025-02-28,18791.164
Jeans e Sarja,2025-03-01,15616.586
Jeans e Sarja,2025-03-02,9261.868
Jeans e Sarja,2025-03-03,10898.003
Jeans e Sarja,2025-03-04,9828.668
Jeans e Sarja,2025-03-05,9130.804
Jeans e Sarja,2025-03-06,9060.096
Jeans e Sarja,2025-03-07,15787.823
Jeans e Sarja,2025-03-08,17287.652
Jeans e Sarja,2025-03-09,13216.287
Jeans e Sarja,2025-03-10,14329.187
Jeans e Sarja,2025-03-11,12736.832
Jeans e Sarja,2025-03-12,12593.127
Jeans e Sarja,2025-03-13,12821.768
Jeans e Sarja,2025-03-14,15391.955
Jeans e Sarja,2025-03-15,20351.715
Jeans e Sarja,2025-03-16,13115.739
Jeans e Sarja,2025-03-17,13575.594
Jeans e Sarja,2025-03-18,12117.502
Jeans e Sarja,2025-03-19,11340.557
Jeans e Sarja,2025-03-20,11592.911
Jeans e Sarja,2025-03-21,14117.108
Jeans e Sarja,2025-03-22,18488.352
Jeans e Sarja,2025-03-23,10978.624
Jeans e Sarja,2025-03-24,11243.177
Jeans e Sarja,2025-03-25,10566.308
Jeans e Sarja,2025-03-26,10500.02
Jeans e Sarja,2025-03-27,11775.101
Jeans e Sarja,2025-03-28,15883.357
Jeans e Sarja,2025-03-29,33091.195
Jeans e Sarja,2025-03-30,12766.081
Jeans e Sarja,2025-03-31,23969.812
Jeans e Sarja,2025-04-01,12967.843
Jeans e Sarja,2025-04-02,11482.904
Jeans e Sarja,2025-04-03,11634.035
Jeans e Sarja,2025-04-04,13517.084
Jeans e Sarja,2025-04-05,28920.533
Jeans e Sarja,2025-04-06,19809.088
Jeans e Sarja,2025-04-07,12286.424
Jeans e Sarja,2025-04-08,13594.75
Jeans e Sarja,2025-04-09,14449.342
Jeans e Sarja,2025-04-10,14758.326
Jeans e Sarja,2025-04-11,14743.8125
Jeans e Sarja,2025-04-12,15196.029
Jeans e Sarja,2025-04-13,11098.096
Jeans e Sarja,2025-04-14,14329.752
Jeans e Sarja,2025-04-15,13633.574
Jeans e Sarja,2025-04-16,12419.889
Jeans e Sarja,2025-04-17,11844.1875
Jeans e Sarja,2025-04-18,9936.828
Jeans e Sarja,2025-04-19,19774.072
Jeans e Sarja,2025-04-20,10415.168
Jeans e Sarja,2025-04-21,10807.7705
Jeans e Sarja,2025-04-22,11044.042
Jeans e Sarja,2025-04-23,10923.095
Jeans e Sarja,2025-04-24,14050.298
Jeans e Sarja,2025-04-25,25400.316
Jeans e Sarja,2025-04-26,29954.855
Jeans e Sarja,2025-04-27,16922.488
Jeans e Sarja,2025-04-28,12975.505
Jeans e Sarja,2025-04-29,14324.666
Jeans e Sarja,2025-04-30,14595.293
Jeans e Sarja,2025-05-01,64348.508
Jeans e Sarja,2025-05-02,18833.99
Jeans e Sarja,2025-05-03,18452.795
Jeans e Sarja,2025-05-04,18604.506
Jeans e Sarja,2025-05-05,14968.846
Jeans e Sarja,2025-05-06,18886.525
Jeans e Sarja,2025-05-07,21695.16
Jeans e Sarja,2025-05-08,25113.773
Jeans e Sarja,2025-05-09,29434.367
Jeans e Sarja,2025-05-10,31390.18
Jeans e Sarja,2025-05-11,15646.34
Jeans e Sarja,2025-05-12,8676.616
Jeans e Sarja,2025-05-13,9886.938
Jeans e Sarja,2025-05-14,8013.925
Jeans e Sarja,2025-05-15,8586.053
Jeans e Sarja,2025-05-16,10847.265
Jeans e Sarja,2025-05-17,19055.02
Jeans e Sarja,2025-05-18,12484.894
Jeans e Sarja,2025-05-19,8754.214
Jeans e Sarja,2025-05-20,10838.013
Jeans e Sarja,2025-05-21,11687.578
Jeans e Sarja,2025-05-22,13458.94
Jeans e Sarja,2025-05-23,22534.533
Jeans e Sarja,2025-05-24,24460.547
Jeans e Sarja,2025-05-25,11611.255
Jeans e Sarja,2025-05-26,12324.688
Jeans e Sarja,2025-05-27,12671.802
Jeans e Sarja,2025-05-28,12778.331
Jeans e Sarja,2025-05-29,13942.054
Jeans e Sarja,2025-05-30,15266.773
Jeans e Sarja,2025-05-31,16815.598
Jeans e Sarja,2025-06-01,5816.449
Jeans e Sarja,2025-06-02,6489.707
Jeans e Sarja,2025-06-03,4654.1836
Jeans e Sarja,2025-06-04,4003.4062
Jeans e Sarja,2025-06-05,10440.851
Jeans e Sarja,2025-06-06,11565.753
Jeans e Sarja,2025-06-07,11824.417
Jeans e Sarja,2025-06-08,12548.698
Jeans e Sarja,2025-06-09,13520.6455
Jeans e Sarja,2025-06-10,15182.4795
Jeans e Sarja,2025-06-11,22881.635
Jeans e Sarja,2025-06-12,29275.14
Jeans e Sarja,2025-06-13,22802.604
