unique_id,ds,GRU
Malha,2025-01-01,7570.6753
Malha,2025-01-02,29714.805
Malha,2025-01-03,48226.805
Malha,2025-01-04,56707.656
Malha,2025-01-05,39980.742
Malha,2025-01-06,38849.477
Malha,2025-01-07,38160.79
Malha,2025-01-08,30280.855
Malha,2025-01-09,30838.512
Malha,2025-01-10,28274.309
Malha,2025-01-11,34325.312
Malha,2025-01-12,13492.318
Malha,2025-01-13,23123.32
Malha,2025-01-14,28458.844
Malha,2025-01-15,24505.316
Malha,2025-01-16,25040.633
Malha,2025-01-17,25801.348
Malha,2025-01-18,31811.266
Malha,2025-01-19,9358.441
Malha,2025-01-20,17243.42
Malha,2025-01-21,17056.31
Malha,2025-01-22,15599.584
Malha,2025-01-23,14644.439
Malha,2025-01-24,17129.93
Malha,2025-01-25,15836.427
Malha,2025-01-26,12696.288
Malha,2025-01-27,21728.602
Malha,2025-01-28,16697.045
Malha,2025-01-29,14475.594
Malha,2025-01-30,19547.168
Malha,2025-01-31,22723.922
Malha,2025-02-01,23788.36
Malha,2025-02-02,12789.422
Malha,2025-02-03,17788.83
Malha,2025-02-04,15584.984
Malha,2025-02-05,15135.97
Malha,2025-02-06,19688.682
Malha,2025-02-07,20753.984
Malha,2025-02-08,19430.477
Malha,2025-02-09,5625.287
Malha,2025-02-10,13467.419
Malha,2025-02-11,16223.463
Malha,2025-02-12,12060.297
Malha,2025-02-13,12564.593
Malha,2025-02-14,15600.232
Malha,2025-02-15,19144.918
Malha,2025-02-16,8049.94
Malha,2025-02-17,11556.074
Malha,2025-02-18,10474.957
Malha,2025-02-19,7424.1934
Malha,2025-02-20,15627.258
Malha,2025-02-21,16857.111
Malha,2025-02-22,18100.729
Malha,2025-02-23,11218.879
Malha,2025-02-24,16056.308
Malha,2025-02-25,11712.727
Malha,2025-02-26,16267.35
Malha,2025-02-27,18107.732
Malha,2025-02-28,22588.803
Malha,2025-03-01,25397.176
Malha,2025-03-02,14407.403
Malha,2025-03-03,23786.133
Malha,2025-03-04,22649.281
Malha,2025-03-05,17219.13
Malha,2025-03-06,22011.436
Malha,2025-03-07,15417.35
Malha,2025-03-08,21148.312
Malha,2025-03-09,8566.961
Malha,2025-03-10,15710.512
Malha,2025-03-11,11332.232
Malha,2025-03-12,13473.77
Malha,2025-03-13,12032.937
Malha,2025-03-14,19865.047
Malha,2025-03-15,21157.764
Malha,2025-03-16,17252.414
Malha,2025-03-17,17830.086
Malha,2025-03-18,12717.889
Malha,2025-03-19,17733.645
Malha,2025-03-20,14713.904
Malha,2025-03-21,13331.356
Malha,2025-03-22,16605.764
Malha,2025-03-23,9877.438
Malha,2025-03-24,11527.433
Malha,2025-03-25,14947.765
Malha,2025-03-26,10550.025
Malha,2025-03-27,12464.226
Malha,2025-03-28,18224.016
Malha,2025-03-29,19541.264
Malha,2025-03-30,14584.674
Malha,2025-03-31,14932.548
Malha,2025-04-01,15085.564
Malha,2025-04-02,14802.764
Malha,2025-04-03,11716.477
