unique_id,ds,GRU
Outros,2025-01-01,14101.533
Outros,2025-01-02,32193.25
Outros,2025-01-03,75443.03
Outros,2025-01-04,59401.266
Outros,2025-01-05,44792.39
Outros,2025-01-06,45399.773
Outros,2025-01-07,40841.75
Outros,2025-01-08,39367.383
Outros,2025-01-09,43960.754
Outros,2025-01-10,47535.492
Outros,2025-01-11,42764.98
Outros,2025-01-12,24634.305
Outros,2025-01-13,33383.312
Outros,2025-01-14,32513.295
Outros,2025-01-15,28640.799
Outros,2025-01-16,29801.885
Outros,2025-01-17,34718.68
Outros,2025-01-18,34560.53
Outros,2025-01-19,25972.79
Outros,2025-01-20,30257.463
Outros,2025-01-21,27596.13
Outros,2025-01-22,21972.838
Outros,2025-01-23,32280.395
Outros,2025-01-24,24097.076
Outros,2025-01-25,31950.252
Outros,2025-01-26,24893.06
Outros,2025-01-27,28022.701
Outros,2025-01-28,26977.346
Outros,2025-01-29,26905.799
Outros,2025-01-30,30223.656
Outros,2025-01-31,24770.61
Outros,2025-02-01,30801.418
Outros,2025-02-02,23485.25
Outros,2025-02-03,28113.533
Outros,2025-02-04,20971.781
Outros,2025-02-05,17357.838
Outros,2025-02-06,23037.668
Outros,2025-02-07,24712.52
Outros,2025-02-08,25682.314
Outros,2025-02-09,17023.523
Outros,2025-02-10,21499.441
Outros,2025-02-11,24092.557
Outros,2025-02-12,20371.977
Outros,2025-02-13,16576.805
Outros,2025-02-14,16385.469
Outros,2025-02-15,22222.312
Outros,2025-02-16,17213.629
Outros,2025-02-17,18032.168
Outros,2025-02-18,16875.055
Outros,2025-02-19,14697.383
Outros,2025-02-20,17577.326
Outros,2025-02-21,15906.25
Outros,2025-02-22,20510.277
Outros,2025-02-23,13402.611
Outros,2025-02-24,20812.113
Outros,2025-02-25,23567.68
Outros,2025-02-26,18683.082
Outros,2025-02-27,19435.604
Outros,2025-02-28,15414.678
Outros,2025-03-01,15168.461
Outros,2025-03-02,8265.385
Outros,2025-03-03,13790.225
