unique_id,ds,GRU
Alfaiataria,2025-01-01,9232.846
Alfaiataria,2025-01-02,16064.195
Alfaiataria,2025-01-03,17124.531
Alfaiataria,2025-01-04,20926.162
Alfaiataria,2025-01-05,7636.126
Alfaiataria,2025-01-06,7496.2754
Alfaiataria,2025-01-07,26051.223
Alfaiataria,2025-01-08,18194.672
Alfaiataria,2025-01-09,16466.19
Alfaiataria,2025-01-10,19271.344
Alfaiataria,2025-01-11,14467.078
Alfaiataria,2025-01-12,8532.635
Alfaiataria,2025-01-13,11472.071
Alfaiataria,2025-01-14,13270.991
Alfaiataria,2025-01-15,11551.875
Alfaiataria,2025-01-16,15889.832
Alfaiataria,2025-01-17,13644.792
Alfaiataria,2025-01-18,21951.277
Alfaiataria,2025-01-19,7941.3257
Alfaiataria,2025-01-20,8941.564
Alfaiataria,2025-01-21,8240.512
Alfaiataria,2025-01-22,11174.589
Alfaiataria,2025-01-23,13334.078
Alfaiataria,2025-01-24,16859.287
Alfaiataria,2025-01-25,16066.751
Alfaiataria,2025-01-26,9823.365
Alfaiataria,2025-01-27,9680.194
Alfaiataria,2025-01-28,13103.917
Alfaiataria,2025-01-29,19924.176
Alfaiataria,2025-01-30,11253.958
Alfaiataria,2025-01-31,12711.385
Alfaiataria,2025-02-01,18597.541
Alfaiataria,2025-02-02,16320.105
Alfaiataria,2025-02-03,11381.502
Alfaiataria,2025-02-04,15076.105
Alfaiataria,2025-02-05,16794.338
Alfaiataria,2025-02-06,15131.916
Alfaiataria,2025-02-07,18172.012
Alfaiataria,2025-02-08,17904.727
Alfaiataria,2025-02-09,15611.194
Alfaiataria,2025-02-10,12178.327
Alfaiataria,2025-02-11,14856.771
Alfaiataria,2025-02-12,14719.091
Alfaiataria,2025-02-13,18750.998
Alfaiataria,2025-02-14,12568.198
Alfaiataria,2025-02-15,27885.78
Alfaiataria,2025-02-16,4592.6865
Alfaiataria,2025-02-17,15027.154
Alfaiataria,2025-02-18,12230.136
Alfaiataria,2025-02-19,11299.174
Alfaiataria,2025-02-20,10306.565
Alfaiataria,2025-02-21,7580.055
Alfaiataria,2025-02-22,7298.135
Alfaiataria,2025-02-23,5702.5986
Alfaiataria,2025-02-24,12249.87
Alfaiataria,2025-02-25,8755.435
Alfaiataria,2025-02-26,11023.098
Alfaiataria,2025-02-27,9999.078
Alfaiataria,2025-02-28,7708.3003
Alfaiataria,2025-03-01,10667.17
Alfaiataria,2025-03-02,7725.6475
Alfaiataria,2025-03-03,12013.28
Alfaiataria,2025-03-04,8090.4854
Alfaiataria,2025-03-05,9468.381
Alfaiataria,2025-03-06,14879.571
Alfaiataria,2025-03-07,17558.309
Alfaiataria,2025-03-08,26028.746
Alfaiataria,2025-03-09,10063.668
Alfaiataria,2025-03-10,17530.996
Alfaiataria,2025-03-11,14898.213
Alfaiataria,2025-03-12,20375.254
Alfaiataria,2025-03-13,12872.616
Alfaiataria,2025-03-14,14860.807
Alfaiataria,2025-03-15,18794.227
Alfaiataria,2025-03-16,12086.432
Alfaiataria,2025-03-17,13508.861
Alfaiataria,2025-03-18,9718.663
Alfaiataria,2025-03-19,14336.613
Alfaiataria,2025-03-20,16047.039
