unique_id,ds,GRU
Jeans e Sarja,2025-01-01,3384.2324
Jeans e Sarja,2025-01-02,12083.947
Jeans e Sarja,2025-01-03,124201.41
Jeans e Sarja,2025-01-04,114120.7
Jeans e Sarja,2025-01-05,61089.54
Jeans e Sarja,2025-01-06,70781.984
Jeans e Sarja,2025-01-07,73948.53
Jeans e Sarja,2025-01-08,73734.75
Jeans e Sarja,2025-01-09,71364.22
Jeans e Sarja,2025-01-10,72145.33
Jeans e Sarja,2025-01-11,100754.92
Jeans e Sarja,2025-01-12,52385.867
Jeans e Sarja,2025-01-13,70255.56
Jeans e Sarja,2025-01-14,66073.11
Jeans e Sarja,2025-01-15,60146.105
Jeans e Sarja,2025-01-16,55070.21
Jeans e Sarja,2025-01-17,60483.332
Jeans e Sarja,2025-01-18,77581.125
Jeans e Sarja,2025-01-19,43176.438
Jeans e Sarja,2025-01-20,48178.53
Jeans e Sarja,2025-01-21,44891.79
Jeans e Sarja,2025-01-22,39757.906
Jeans e Sarja,2025-01-23,41004.062
Jeans e Sarja,2025-01-24,55916.54
Jeans e Sarja,2025-01-25,61029.51
Jeans e Sarja,2025-01-26,30803.791
Jeans e Sarja,2025-01-27,43594.99
Jeans e Sarja,2025-01-28,38791.742
Jeans e Sarja,2025-01-29,36306.383
Jeans e Sarja,2025-01-30,35924.227
Jeans e Sarja,2025-01-31,42271.996
Jeans e Sarja,2025-02-01,58985.19
Jeans e Sarja,2025-02-02,32600.305
Jeans e Sarja,2025-02-03,36058.76
Jeans e Sarja,2025-02-04,30929.305
Jeans e Sarja,2025-02-05,30406.938
Jeans e Sarja,2025-02-06,29891.703
Jeans e Sarja,2025-02-07,32824.5
Jeans e Sarja,2025-02-08,35982.61
Jeans e Sarja,2025-02-09,29836.402
Jeans e Sarja,2025-02-10,34121.277
Jeans e Sarja,2025-02-11,38193.42
Jeans e Sarja,2025-02-12,35293.176
Jeans e Sarja,2025-02-13,34449.836
Jeans e Sarja,2025-02-14,35261.195
Jeans e Sarja,2025-02-15,40926.273
Jeans e Sarja,2025-02-16,27674.898
Jeans e Sarja,2025-02-17,28467.844
Jeans e Sarja,2025-02-18,26356.068
Jeans e Sarja,2025-02-19,32751.121
Jeans e Sarja,2025-02-20,34801.28
Jeans e Sarja,2025-02-21,35080.4
Jeans e Sarja,2025-02-22,33320.88
Jeans e Sarja,2025-02-23,24385.852
Jeans e Sarja,2025-02-24,15908.941
Jeans e Sarja,2025-02-25,18788.234
Jeans e Sarja,2025-02-26,22014.568
Jeans e Sarja,2025-02-27,25721.732
Jeans e Sarja,2025-02-28,30815.266
Jeans e Sarja,2025-03-01,30631.035
Jeans e Sarja,2025-03-02,14026.288
Jeans e Sarja,2025-03-03,16922.955
Jeans e Sarja,2025-03-04,16204.405
Jeans e Sarja,2025-03-05,15317.333
Jeans e Sarja,2025-03-06,15254.833
Jeans e Sarja,2025-03-07,22838.225
Jeans e Sarja,2025-03-08,21812.94
Jeans e Sarja,2025-03-09,16106.44
Jeans e Sarja,2025-03-10,10352.826
Jeans e Sarja,2025-03-11,14491.034
Jeans e Sarja,2025-03-12,17694.67
Jeans e Sarja,2025-03-13,20513.705
Jeans e Sarja,2025-03-14,22830.828
Jeans e Sarja,2025-03-15,29467.133
Jeans e Sarja,2025-03-16,13605.385
Jeans e Sarja,2025-03-17,15837.218
Jeans e Sarja,2025-03-18,19501.654
Jeans e Sarja,2025-03-19,21509.43
Jeans e Sarja,2025-03-20,23780.89
Jeans e Sarja,2025-03-21,28034.064
Jeans e Sarja,2025-03-22,43854.465
Jeans e Sarja,2025-03-23,16245.358
Jeans e Sarja,2025-03-24,11979.393
Jeans e Sarja,2025-03-25,16121.64
Jeans e Sarja,2025-03-26,19199.107
Jeans e Sarja,2025-03-27,21678.926
Jeans e Sarja,2025-03-28,26342.186
Jeans e Sarja,2025-03-29,27780.283
Jeans e Sarja,2025-03-30,19980.57
Jeans e Sarja,2025-03-31,25507.125
Jeans e Sarja,2025-04-01,21613.809
Jeans e Sarja,2025-04-02,23747.082
Jeans e Sarja,2025-04-03,23644.938
Jeans e Sarja,2025-04-04,28670.3
Jeans e Sarja,2025-04-05,75653.2
Jeans e Sarja,2025-04-06,20167.328
Jeans e Sarja,2025-04-07,22235.295
Jeans e Sarja,2025-04-08,26597.19
Jeans e Sarja,2025-04-09,25730.244
Jeans e Sarja,2025-04-10,24538.092
Jeans e Sarja,2025-04-11,26608.729
Jeans e Sarja,2025-04-12,35032.566
Jeans e Sarja,2025-04-13,21545.834
Jeans e Sarja,2025-04-14,20330.537
Jeans e Sarja,2025-04-15,24097.717
Jeans e Sarja,2025-04-16,24037.662
Jeans e Sarja,2025-04-17,25081.67
Jeans e Sarja,2025-04-18,15833.672
Jeans e Sarja,2025-04-19,53446.1
Jeans e Sarja,2025-04-20,24372.4
Jeans e Sarja,2025-04-21,19228.535
Jeans e Sarja,2025-04-22,22225.91
Jeans e Sarja,2025-04-23,21797.246
Jeans e Sarja,2025-04-24,23072.465
Jeans e Sarja,2025-04-25,27469.617
Jeans e Sarja,2025-04-26,45060.43
Jeans e Sarja,2025-04-27,16404.281
Jeans e Sarja,2025-04-28,27404.426
Jeans e Sarja,2025-04-29,33655.137
Jeans e Sarja,2025-04-30,32662.496
Jeans e Sarja,2025-05-01,27197.465
Jeans e Sarja,2025-05-02,28469.83
Jeans e Sarja,2025-05-03,26125.926
Jeans e Sarja,2025-05-04,20519.812
Jeans e Sarja,2025-05-05,22973.914
Jeans e Sarja,2025-05-06,23350.469
