unique_id,ds,GRU
Malha,2025-01-01,30994.375
Malha,2025-01-02,55909.57
Malha,2025-01-03,175276.83
Malha,2025-01-04,192714.97
Malha,2025-01-05,145127.14
Malha,2025-01-06,93947.34
Malha,2025-01-07,95515.89
Malha,2025-01-08,102443.516
Malha,2025-01-09,101211.49
Malha,2025-01-10,84015.09
Malha,2025-01-11,86697.05
Malha,2025-01-12,65967.03
Malha,2025-01-13,67371.3
Malha,2025-01-14,60855.22
Malha,2025-01-15,54863.8
Malha,2025-01-16,54574.25
Malha,2025-01-17,59477.055
Malha,2025-01-18,64433.805
Malha,2025-01-19,33787.645
Malha,2025-01-20,46598.25
Malha,2025-01-21,40242.49
Malha,2025-01-22,40124.8
Malha,2025-01-23,43551.184
Malha,2025-01-24,48040.94
Malha,2025-01-25,63028.453
Malha,2025-01-26,30121.805
Malha,2025-01-27,41206.57
Malha,2025-01-28,37629.082
Malha,2025-01-29,42981.633
Malha,2025-01-30,42277.95
Malha,2025-01-31,42629.17
Malha,2025-02-01,50606.195
Malha,2025-02-02,28409.27
Malha,2025-02-03,29047.35
Malha,2025-02-04,25518.268
Malha,2025-02-05,30485.434
Malha,2025-02-06,33415.28
Malha,2025-02-07,37425.87
Malha,2025-02-08,45737.527
Malha,2025-02-09,23972.06
Malha,2025-02-10,30785.658
Malha,2025-02-11,23805.037
Malha,2025-02-12,26993.82
Malha,2025-02-13,29999.424
Malha,2025-02-14,30935.625
Malha,2025-02-15,34151.734
Malha,2025-02-16,26459.277
Malha,2025-02-17,41410.594
Malha,2025-02-18,34337.84
Malha,2025-02-19,36784.88
Malha,2025-02-20,34245.574
Malha,2025-02-21,31227.89
Malha,2025-02-22,36273.008
Malha,2025-02-23,20122.63
Malha,2025-02-24,25910.938
Malha,2025-02-25,24545.2
Malha,2025-02-26,28765.855
Malha,2025-02-27,28510.656
Malha,2025-02-28,27111.385
Malha,2025-03-01,39841.35
Malha,2025-03-02,22106.797
Malha,2025-03-03,26749.162
Malha,2025-03-04,29135.55
Malha,2025-03-05,33234.066
Malha,2025-03-06,36028.85
Malha,2025-03-07,28792.023
Malha,2025-03-08,41938.86
Malha,2025-03-09,17891.566
Malha,2025-03-10,15928.289
Malha,2025-03-11,20101.49
Malha,2025-03-12,25651.91
Malha,2025-03-13,27313.06
Malha,2025-03-14,30983.693
Malha,2025-03-15,54091.9
Malha,2025-03-16,20683.814
Malha,2025-03-17,23233.057
Malha,2025-03-18,26741.527
Malha,2025-03-19,28801.512
Malha,2025-03-20,34944.887
Malha,2025-03-21,39537.324
Malha,2025-03-22,51048.66
Malha,2025-03-23,21681.352
Malha,2025-03-24,22319.064
Malha,2025-03-25,22984.03
Malha,2025-03-26,24940.133
Malha,2025-03-27,28546.188
Malha,2025-03-28,31527.746
Malha,2025-03-29,46264.812
Malha,2025-03-30,19454.023
Malha,2025-03-31,26426.344
Malha,2025-04-01,24541.047
Malha,2025-04-02,34422.363
