unique_id,ds,GRU
Outros,2025-01-01,1452.9365
Outros,2025-01-02,3968.498
Outros,2025-01-03,9505.269
Outros,2025-01-04,17832.934
Outros,2025-01-05,9214.779
Outros,2025-01-06,13125.073
Outros,2025-01-07,11390.457
Outros,2025-01-08,9757.45
Outros,2025-01-09,7861.1865
Outros,2025-01-10,8051.553
Outros,2025-01-11,12336.075
Outros,2025-01-12,8776.038
Outros,2025-01-13,11758.208
Outros,2025-01-14,9621.363
Outros,2025-01-15,7585.1064
Outros,2025-01-16,6004.5586
Outros,2025-01-17,6836.928
Outros,2025-01-18,11255.0625
Outros,2025-01-19,8005.6074
Outros,2025-01-20,10188.172
Outros,2025-01-21,8903.371
Outros,2025-01-22,8619.365
Outros,2025-01-23,7712.724
Outros,2025-01-24,7812.6475
Outros,2025-01-25,9920.488
Outros,2025-01-26,11187.301
Outros,2025-01-27,14533.3125
Outros,2025-01-28,12227.859
Outros,2025-01-29,12422.28
Outros,2025-01-30,12174.807
Outros,2025-01-31,12574.155
Outros,2025-02-01,14823.81
Outros,2025-02-02,11266.19
Outros,2025-02-03,11818.823
Outros,2025-02-04,10548.633
Outros,2025-02-05,10228.607
Outros,2025-02-06,10195.674
Outros,2025-02-07,10727.695
Outros,2025-02-08,8326.666
Outros,2025-02-09,6649.081
Outros,2025-02-10,7870.1914
Outros,2025-02-11,8719.317
Outros,2025-02-12,7488.044
Outros,2025-02-13,7165.602
Outros,2025-02-14,7208.385
Outros,2025-02-15,7858.3687
Outros,2025-02-16,7145.7925
Outros,2025-02-17,7253.423
Outros,2025-02-18,8126.658
Outros,2025-02-19,9199.926
Outros,2025-02-20,7900.1274
Outros,2025-02-21,8440.582
Outros,2025-02-22,10108.106
Outros,2025-02-23,8231.746
Outros,2025-02-24,9948.171
Outros,2025-02-25,9741.27
Outros,2025-02-26,9566.139
Outros,2025-02-27,8850.365
Outros,2025-02-28,8925.424
Outros,2025-03-01,10517.109
Outros,2025-03-02,8516.158
Outros,2025-03-03,10508.212
Outros,2025-03-04,9326.246
Outros,2025-03-05,9552.4375
Outros,2025-03-06,9417.594
Outros,2025-03-07,8307.529
Outros,2025-03-08,9482.775
Outros,2025-03-09,6395.5215
Outros,2025-03-10,8549.537
Outros,2025-03-11,8297.955
Outros,2025-03-12,8151.5796
Outros,2025-03-13,7760.8374
Outros,2025-03-14,7649.3677
Outros,2025-03-15,7503.6367
Outros,2025-03-16,12555.537
Outros,2025-03-17,11982.529
Outros,2025-03-18,11950.036
Outros,2025-03-19,11214.006
Outros,2025-03-20,10672.774
Outros,2025-03-21,11513.089
Outros,2025-03-22,13731.427
Outros,2025-03-23,8759.145
Outros,2025-03-24,11093.741
Outros,2025-03-25,10046.174
Outros,2025-03-26,9506.329
Outros,2025-03-27,9725.704
Outros,2025-03-28,9863.566
Outros,2025-03-29,17197.559
Outros,2025-03-30,11130.148
Outros,2025-03-31,13935.819
Outros,2025-04-01,11738.998
Outros,2025-04-02,10326.959
Outros,2025-04-03,9278.512
Outros,2025-04-04,11415.624
Outros,2025-04-05,12995.116
Outros,2025-04-06,10145.451
Outros,2025-04-07,10795.462
Outros,2025-04-08,12766.387
Outros,2025-04-09,13958.039
Outros,2025-04-10,15334.984
Outros,2025-04-11,15216.479
Outros,2025-04-12,16423.766
Outros,2025-04-13,11661.086
Outros,2025-04-14,10766.08
Outros,2025-04-15,11053.518
Outros,2025-04-16,12273.883
Outros,2025-04-17,14816.872
Outros,2025-04-18,11120.746
Outros,2025-04-19,19318.42
Outros,2025-04-20,18346.758
Outros,2025-04-21,15303.431
Outros,2025-04-22,13816.2
Outros,2025-04-23,12915.651
Outros,2025-04-24,15937.411
Outros,2025-04-25,18439.936
Outros,2025-04-26,20353.828
Outros,2025-04-27,20499.883
Outros,2025-04-28,24295.445
Outros,2025-04-29,25030.809
Outros,2025-04-30,24521.643
Outros,2025-05-01,22288.055
