unique_id,ds,GRU
Tecido Plano,2025-01-01,34889.008
Tecido Plano,2025-01-02,53759.71
Tecido Plano,2025-01-03,170820.66
Tecido Plano,2025-01-04,238660.61
Tecido Plano,2025-01-05,225928.11
Tecido Plano,2025-01-06,192532.44
Tecido Plano,2025-01-07,181761.17
Tecido Plano,2025-01-08,179323.6
Tecido Plano,2025-01-09,187806.97
Tecido Plano,2025-01-10,202692.53
Tecido Plano,2025-01-11,229849.39
Tecido Plano,2025-01-12,119597.83
Tecido Plano,2025-01-13,139956.72
Tecido Plano,2025-01-14,133593.69
Tecido Plano,2025-01-15,133072.61
Tecido Plano,2025-01-16,137549.19
Tecido Plano,2025-01-17,143641.8
Tecido Plano,2025-01-18,165815.28
Tecido Plano,2025-01-19,104837.03
Tecido Plano,2025-01-20,120921.21
Tecido Plano,2025-01-21,109967.09
Tecido Plano,2025-01-22,109646.61
Tecido Plano,2025-01-23,115157.55
Tecido Plano,2025-01-24,124688.08
Tecido Plano,2025-01-25,156913.02
Tecido Plano,2025-01-26,106471.22
Tecido Plano,2025-01-27,117960.234
Tecido Plano,2025-01-28,106421.586
Tecido Plano,2025-01-29,110840.55
Tecido Plano,2025-01-30,115278.56
Tecido Plano,2025-01-31,120841.0
Tecido Plano,2025-02-01,135424.08
Tecido Plano,2025-02-02,79974.164
Tecido Plano,2025-02-03,90303.89
Tecido Plano,2025-02-04,77231.86
Tecido Plano,2025-02-05,73284.76
Tecido Plano,2025-02-06,76499.336
Tecido Plano,2025-02-07,87621.516
Tecido Plano,2025-02-08,102026.08
Tecido Plano,2025-02-09,69437.39
Tecido Plano,2025-02-10,59183.875
Tecido Plano,2025-02-11,68368.305
Tecido Plano,2025-02-12,71067.01
Tecido Plano,2025-02-13,75733.62
Tecido Plano,2025-02-14,80381.96
Tecido Plano,2025-02-15,100448.13
Tecido Plano,2025-02-16,69086.69
Tecido Plano,2025-02-17,72081.9
Tecido Plano,2025-02-18,66811.24
Tecido Plano,2025-02-19,65567.18
Tecido Plano,2025-02-20,74854.42
Tecido Plano,2025-02-21,80718.555
Tecido Plano,2025-02-22,91170.8
Tecido Plano,2025-02-23,51540.645
Tecido Plano,2025-02-24,59189.555
Tecido Plano,2025-02-25,67340.57
Tecido Plano,2025-02-26,67903.86
Tecido Plano,2025-02-27,73784.75
Tecido Plano,2025-02-28,101235.234
Tecido Plano,2025-03-01,183489.38
Tecido Plano,2025-03-02,50776.34
Tecido Plano,2025-03-03,44661.33
Tecido Plano,2025-03-04,56691.83
Tecido Plano,2025-03-05,57147.703
Tecido Plano,2025-03-06,60643.15
Tecido Plano,2025-03-07,58102.824
Tecido Plano,2025-03-08,69771.33
Tecido Plano,2025-03-09,52767.555
Tecido Plano,2025-03-10,50675.133
Tecido Plano,2025-03-11,60671.742
Tecido Plano,2025-03-12,63145.914
Tecido Plano,2025-03-13,63027.395
Tecido Plano,2025-03-14,64610.12
Tecido Plano,2025-03-15,87020.805
Tecido Plano,2025-03-16,47243.98
Tecido Plano,2025-03-17,53688.23
Tecido Plano,2025-03-18,61937.973
Tecido Plano,2025-03-19,61821.1
Tecido Plano,2025-03-20,62248.99
Tecido Plano,2025-03-21,63083.754
Tecido Plano,2025-03-22,74606.195
Tecido Plano,2025-03-23,53507.9
Tecido Plano,2025-03-24,55459.785
Tecido Plano,2025-03-25,59278.44
Tecido Plano,2025-03-26,63118.6
Tecido Plano,2025-03-27,63466.625
Tecido Plano,2025-03-28,64282.86
Tecido Plano,2025-03-29,74426.34
Tecido Plano,2025-03-30,59957.125
Tecido Plano,2025-03-31,52798.453
Tecido Plano,2025-04-01,59403.027
Tecido Plano,2025-04-02,61569.973
Tecido Plano,2025-04-03,60370.617
Tecido Plano,2025-04-04,71996.38
Tecido Plano,2025-04-05,102949.24
Tecido Plano,2025-04-06,58461.887
Tecido Plano,2025-04-07,64294.066
Tecido Plano,2025-04-08,64484.973
Tecido Plano,2025-04-09,63628.418
Tecido Plano,2025-04-10,67569.78
Tecido Plano,2025-04-11,74683.48
Tecido Plano,2025-04-12,97389.766
