unique_id,ds,GRU
Jeans e Sarja,2025-01-01,183.69531
Jeans e Sarja,2025-01-02,31722.762
Jeans e Sarja,2025-01-03,33083.055
Jeans e Sarja,2025-01-04,36503.83
Jeans e Sarja,2025-01-05,39145.156
Jeans e Sarja,2025-01-06,41992.215
Jeans e Sarja,2025-01-07,37713.82
Jeans e Sarja,2025-01-08,38976.316
Jeans e Sarja,2025-01-09,42711.684
Jeans e Sarja,2025-01-10,47831.496
Jeans e Sarja,2025-01-11,60848.465
Jeans e Sarja,2025-01-12,35579.6
Jeans e Sarja,2025-01-13,42292.3
Jeans e Sarja,2025-01-14,45158.07
Jeans e Sarja,2025-01-15,44219.883
Jeans e Sarja,2025-01-16,46539.977
Jeans e Sarja,2025-01-17,44211.402
Jeans e Sarja,2025-01-18,60859.04
Jeans e Sarja,2025-01-19,37944.17
Jeans e Sarja,2025-01-20,40032.293
Jeans e Sarja,2025-01-21,47078.875
Jeans e Sarja,2025-01-22,47187.855
Jeans e Sarja,2025-01-23,41724.61
Jeans e Sarja,2025-01-24,47807.5
Jeans e Sarja,2025-01-25,68230.28
Jeans e Sarja,2025-01-26,46683.07
Jeans e Sarja,2025-01-27,40974.027
Jeans e Sarja,2025-01-28,45163.203
Jeans e Sarja,2025-01-29,43869.76
Jeans e Sarja,2025-01-30,36869.51
Jeans e Sarja,2025-01-31,56119.297
Jeans e Sarja,2025-02-01,81061.28
Jeans e Sarja,2025-02-02,38853.492
Jeans e Sarja,2025-02-03,39501.062
Jeans e Sarja,2025-02-04,46011.508
Jeans e Sarja,2025-02-05,41636.38
Jeans e Sarja,2025-02-06,40806.78
Jeans e Sarja,2025-02-07,82999.33
Jeans e Sarja,2025-02-08,125396.11
Jeans e Sarja,2025-02-09,51614.83
Jeans e Sarja,2025-02-10,51595.17
Jeans e Sarja,2025-02-11,41873.258
Jeans e Sarja,2025-02-12,25808.01
Jeans e Sarja,2025-02-13,26585.895
Jeans e Sarja,2025-02-14,47484.22
Jeans e Sarja,2025-02-15,52678.715
Jeans e Sarja,2025-02-16,18696.115
Jeans e Sarja,2025-02-17,27105.328
Jeans e Sarja,2025-02-18,24542.492
Jeans e Sarja,2025-02-19,25422.594
Jeans e Sarja,2025-02-20,33467.668
Jeans e Sarja,2025-02-21,37557.33
Jeans e Sarja,2025-02-22,40726.74
Jeans e Sarja,2025-02-23,29867.232
Jeans e Sarja,2025-02-24,25585.05
Jeans e Sarja,2025-02-25,23461.771
Jeans e Sarja,2025-02-26,24472.34
Jeans e Sarja,2025-02-27,23107.668
Jeans e Sarja,2025-02-28,20504.129
Jeans e Sarja,2025-03-01,27870.508
Jeans e Sarja,2025-03-02,13986.33
Jeans e Sarja,2025-03-03,15578.094
Jeans e Sarja,2025-03-04,16070.633
Jeans e Sarja,2025-03-05,22203.21
Jeans e Sarja,2025-03-06,27190.805
Jeans e Sarja,2025-03-07,24099.7
Jeans e Sarja,2025-03-08,40807.14
Jeans e Sarja,2025-03-09,24706.76
Jeans e Sarja,2025-03-10,14344.996
Jeans e Sarja,2025-03-11,15266.037
Jeans e Sarja,2025-03-12,19764.568
Jeans e Sarja,2025-03-13,18785.203
Jeans e Sarja,2025-03-14,24662.844
Jeans e Sarja,2025-03-15,44654.113
Jeans e Sarja,2025-03-16,17394.418
Jeans e Sarja,2025-03-17,9990.758
Jeans e Sarja,2025-03-18,11035.633
Jeans e Sarja,2025-03-19,12012.219
Jeans e Sarja,2025-03-20,13213.232
Jeans e Sarja,2025-03-21,15515.059
Jeans e Sarja,2025-03-22,29861.586
Jeans e Sarja,2025-03-23,14973.598
Jeans e Sarja,2025-03-24,11796.045
Jeans e Sarja,2025-03-25,14430.963
Jeans e Sarja,2025-03-26,17689.271
Jeans e Sarja,2025-03-27,18746.64
Jeans e Sarja,2025-03-28,14663.406
Jeans e Sarja,2025-03-29,24387.336
Jeans e Sarja,2025-03-30,18093.344
Jeans e Sarja,2025-03-31,17509.889
Jeans e Sarja,2025-04-01,16303.672
Jeans e Sarja,2025-04-02,20012.318
Jeans e Sarja,2025-04-03,21590.242
Jeans e Sarja,2025-04-04,26156.96
Jeans e Sarja,2025-04-05,38318.72
Jeans e Sarja,2025-04-06,23058.545
Jeans e Sarja,2025-04-07,13268.531
Jeans e Sarja,2025-04-08,18160.426
Jeans e Sarja,2025-04-09,22696.238
Jeans e Sarja,2025-04-10,23793.414
Jeans e Sarja,2025-04-11,27649.281
Jeans e Sarja,2025-04-12,39178.7
Jeans e Sarja,2025-04-13,21986.033
Jeans e Sarja,2025-04-14,16224.451
Jeans e Sarja,2025-04-15,20307.406
Jeans e Sarja,2025-04-16,26837.037
Jeans e Sarja,2025-04-17,29532.836
Jeans e Sarja,2025-04-18,17263.357
Jeans e Sarja,2025-04-19,41901.42
Jeans e Sarja,2025-04-20,15591.35
Jeans e Sarja,2025-04-21,19310.543
Jeans e Sarja,2025-04-22,20363.846
Jeans e Sarja,2025-04-23,26853.004
Jeans e Sarja,2025-04-24,26874.328
Jeans e Sarja,2025-04-25,30137.98
Jeans e Sarja,2025-04-26,46251.68
Jeans e Sarja,2025-04-27,25684.953
Jeans e Sarja,2025-04-28,21529.781
Jeans e Sarja,2025-04-29,22528.682
Jeans e Sarja,2025-04-30,27675.307
Jeans e Sarja,2025-05-01,22444.4
Jeans e Sarja,2025-05-02,33213.15
Jeans e Sarja,2025-05-03,43931.367
Jeans e Sarja,2025-05-04,19123.63
Jeans e Sarja,2025-05-05,18438.453
Jeans e Sarja,2025-05-06,15825.164
Jeans e Sarja,2025-05-07,20131.477
Jeans e Sarja,2025-05-08,22222.559
Jeans e Sarja,2025-05-09,21310.412
Jeans e Sarja,2025-05-10,45152.562
Jeans e Sarja,2025-05-11,15992.662
Jeans e Sarja,2025-05-12,11848.723
Jeans e Sarja,2025-05-13,13911.988
Jeans e Sarja,2025-05-14,17837.646
Jeans e Sarja,2025-05-15,17251.889
Jeans e Sarja,2025-05-16,21349.156
Jeans e Sarja,2025-05-17,34618.58
Jeans e Sarja,2025-05-18,20798.49
Jeans e Sarja,2025-05-19,12072.846
Jeans e Sarja,2025-05-20,15102.996
Jeans e Sarja,2025-05-21,18462.299
Jeans e Sarja,2025-05-22,18632.555
Jeans e Sarja,2025-05-23,21094.508
Jeans e Sarja,2025-05-24,30928.346
Jeans e Sarja,2025-05-25,20283.36
Jeans e Sarja,2025-05-26,10274.84
Jeans e Sarja,2025-05-27,13178.385
Jeans e Sarja,2025-05-28,19661.46
Jeans e Sarja,2025-05-29,23650.23
Jeans e Sarja,2025-05-30,28078.432
Jeans e Sarja,2025-05-31,28806.754
Jeans e Sarja,2025-06-01,11899.549
Jeans e Sarja,2025-06-02,13550.744
Jeans e Sarja,2025-06-03,13029.369
Jeans e Sarja,2025-06-04,15532.779
Jeans e Sarja,2025-06-05,18197.436
Jeans e Sarja,2025-06-06,19778.979
Jeans e Sarja,2025-06-07,27911.293
Jeans e Sarja,2025-06-08,27061.96
Jeans e Sarja,2025-06-09,35053.54
Jeans e Sarja,2025-06-10,41355.684
Jeans e Sarja,2025-06-11,38154.805
Jeans e Sarja,2025-06-12,50524.203
Jeans e Sarja,2025-06-13,52236.15
Jeans e Sarja,2025-06-14,25621.879
Jeans e Sarja,2025-06-15,14738.314
Jeans e Sarja,2025-06-16,23281.7
Jeans e Sarja,2025-06-17,24177.828
Jeans e Sarja,2025-06-18,21855.684
Jeans e Sarja,2025-06-19,23077.82
Jeans e Sarja,2025-06-20,27775.744
Jeans e Sarja,2025-06-21,36583.883
Jeans e Sarja,2025-06-22,17110.928
Jeans e Sarja,2025-06-23,21587.598
Jeans e Sarja,2025-06-24,20077.402
Jeans e Sarja,2025-06-25,19463.217
Jeans e Sarja,2025-06-26,23359.666
Jeans e Sarja,2025-06-27,26874.902
Jeans e Sarja,2025-06-28,27621.297
Jeans e Sarja,2025-06-29,14930.322
Jeans e Sarja,2025-06-30,21328.666
Jeans e Sarja,2025-07-01,18020.252
Jeans e Sarja,2025-07-02,18042.7
Jeans e Sarja,2025-07-03,20514.115
Jeans e Sarja,2025-07-04,23485.291
Jeans e Sarja,2025-07-05,29069.043
Jeans e Sarja,2025-07-06,16657.113
Jeans e Sarja,2025-07-07,24911.39
Jeans e Sarja,2025-07-08,20436.037
Jeans e Sarja,2025-07-09,23006.086
Jeans e Sarja,2025-07-10,24908.918
Jeans e Sarja,2025-07-11,29916.607
Jeans e Sarja,2025-07-12,38868.277
Jeans e Sarja,2025-07-13,20446.234
Jeans e Sarja,2025-07-14,32838.95
Jeans e Sarja,2025-07-15,30585.152
Jeans e Sarja,2025-07-16,33167.695
Jeans e Sarja,2025-07-17,30460.982
Jeans e Sarja,2025-07-18,37069.453
Jeans e Sarja,2025-07-19,40730.934
Jeans e Sarja,2025-07-20,23137.121
Jeans e Sarja,2025-07-21,35771.266
Jeans e Sarja,2025-07-22,38595.465
Jeans e Sarja,2025-07-23,40164.79
Jeans e Sarja,2025-07-24,34582.723
Jeans e Sarja,2025-07-25,38979.54
Jeans e Sarja,2025-07-26,44178.875
Jeans e Sarja,2025-07-27,28804.277
Jeans e Sarja,2025-07-28,31289.113
Jeans e Sarja,2025-07-29,32251.684
Jeans e Sarja,2025-07-30,29644.584
Jeans e Sarja,2025-07-31,29221.418
Jeans e Sarja,2025-08-01,35289.91
Jeans e Sarja,2025-08-02,45405.508
Jeans e Sarja,2025-08-03,23893.684
Jeans e Sarja,2025-08-04,23847.926
Jeans e Sarja,2025-08-05,27423.172
Jeans e Sarja,2025-08-06,33189.965
Jeans e Sarja,2025-08-07,34813.637
Jeans e Sarja,2025-08-08,39882.367
Jeans e Sarja,2025-08-09,43324.98
Jeans e Sarja,2025-08-10,20504.867
Jeans e Sarja,2025-08-11,23658.074
Jeans e Sarja,2025-08-12,21539.535
Jeans e Sarja,2025-08-13,24435.936
Jeans e Sarja,2025-08-14,24709.402
Jeans e Sarja,2025-08-15,36418.605
Jeans e Sarja,2025-08-16,42447.81
Jeans e Sarja,2025-08-17,23631.273
Jeans e Sarja,2025-08-18,19506.012
Jeans e Sarja,2025-08-19,22288.764
Jeans e Sarja,2025-08-20,26894.695
Jeans e Sarja,2025-08-21,26635.893
Jeans e Sarja,2025-08-22,37893.52
Jeans e Sarja,2025-08-23,52612.105
Jeans e Sarja,2025-08-24,23232.67
Jeans e Sarja,2025-08-25,20592.78
Jeans e Sarja,2025-08-26,20317.71
Jeans e Sarja,2025-08-27,21352.469
Jeans e Sarja,2025-08-28,23506.832
Jeans e Sarja,2025-08-29,36858.086
Jeans e Sarja,2025-08-30,49158.99
Jeans e Sarja,2025-08-31,23325.053
Jeans e Sarja,2025-09-01,21253.791
Jeans e Sarja,2025-09-02,19317.174
Jeans e Sarja,2025-09-03,19847.752
Jeans e Sarja,2025-09-04,22565.969
Jeans e Sarja,2025-09-05,35138.83
Jeans e Sarja,2025-09-06,44583.973
Jeans e Sarja,2025-09-07,23848.803
Jeans e Sarja,2025-09-08,21101.309
Jeans e Sarja,2025-09-09,22721.902
Jeans e Sarja,2025-09-10,25926.297
Jeans e Sarja,2025-09-11,32430.092
Jeans e Sarja,2025-09-12,36622.367
Jeans e Sarja,2025-09-13,43714.047
Jeans e Sarja,2025-09-14,25776.883
Jeans e Sarja,2025-09-15,24780.299
Jeans e Sarja,2025-09-16,25325.004
Jeans e Sarja,2025-09-17,24666.11
Jeans e Sarja,2025-09-18,27586.86
Jeans e Sarja,2025-09-19,31169.754
Jeans e Sarja,2025-09-20,36711.1
Jeans e Sarja,2025-09-21,22839.863
Jeans e Sarja,2025-09-22,20366.78
Jeans e Sarja,2025-09-23,17802.273
Jeans e Sarja,2025-09-24,21068.36
Jeans e Sarja,2025-09-25,22537.137
Jeans e Sarja,2025-09-26,26522.973
Jeans e Sarja,2025-09-27,32235.395
Jeans e Sarja,2025-09-28,21499.443
Jeans e Sarja,2025-09-29,16947.88
Jeans e Sarja,2025-09-30,16332.301
Jeans e Sarja,2025-10-01,20292.604
Jeans e Sarja,2025-10-02,20762.012
Jeans e Sarja,2025-10-03,28119.402
Jeans e Sarja,2025-10-04,39669.39
Jeans e Sarja,2025-10-05,20910.45
Jeans e Sarja,2025-10-06,20527.578
Jeans e Sarja,2025-10-07,27847.295
Jeans e Sarja,2025-10-08,30103.436
Jeans e Sarja,2025-10-09,30386.238
Jeans e Sarja,2025-10-10,32878.297
Jeans e Sarja,2025-10-11,43354.3
Jeans e Sarja,2025-10-12,34623.85
Jeans e Sarja,2025-10-13,24744.16
Jeans e Sarja,2025-10-14,19365.549
Jeans e Sarja,2025-10-15,25045.367
Jeans e Sarja,2025-10-16,33714.69
Jeans e Sarja,2025-10-17,36948.67
Jeans e Sarja,2025-10-18,53829.188
Jeans e Sarja,2025-10-19,26288.865
Jeans e Sarja,2025-10-20,21971.152
Jeans e Sarja,2025-10-21,22764.61
Jeans e Sarja,2025-10-22,30569.97
Jeans e Sarja,2025-10-23,30759.441
Jeans e Sarja,2025-10-24,30999.957
Jeans e Sarja,2025-10-25,44407.01
Jeans e Sarja,2025-10-26,23709.54
Jeans e Sarja,2025-10-27,25133.023
Jeans e Sarja,2025-10-28,26639.74
Jeans e Sarja,2025-10-29,29542.365
Jeans e Sarja,2025-10-30,20474.764
Jeans e Sarja,2025-10-31,26819.229
Jeans e Sarja,2025-11-01,29031.344
Jeans e Sarja,2025-11-02,24933.412
Jeans e Sarja,2025-11-03,20478.584
Jeans e Sarja,2025-11-04,23337.836
Jeans e Sarja,2025-11-05,26615.566
Jeans e Sarja,2025-11-06,28743.695
Jeans e Sarja,2025-11-07,28557.383
Jeans e Sarja,2025-11-08,30699.625
Jeans e Sarja,2025-11-09,23945.334
Jeans e Sarja,2025-11-10,25207.984
Jeans e Sarja,2025-11-11,25545.809
Jeans e Sarja,2025-11-12,24941.867
Jeans e Sarja,2025-11-13,25293.033
Jeans e Sarja,2025-11-14,48310.684
Jeans e Sarja,2025-11-15,22242.152
Jeans e Sarja,2025-11-16,14541.879
Jeans e Sarja,2025-11-17,16618.508
Jeans e Sarja,2025-11-18,22095.578
Jeans e Sarja,2025-11-19,31113.871
Jeans e Sarja,2025-11-20,40654.844
Jeans e Sarja,2025-11-21,61423.5
Jeans e Sarja,2025-11-22,59784.938
Jeans e Sarja,2025-11-23,26243.371
Jeans e Sarja,2025-11-24,34446.543
Jeans e Sarja,2025-11-25,25514.168
Jeans e Sarja,2025-11-26,25216.594
Jeans e Sarja,2025-11-27,33259.883
Jeans e Sarja,2025-11-28,74138.31
Jeans e Sarja,2025-11-29,69850.21
Jeans e Sarja,2025-11-30,43296.863
Jeans e Sarja,2025-12-01,35140.05
Jeans e Sarja,2025-12-02,33711.773
Jeans e Sarja,2025-12-03,33312.273
Jeans e Sarja,2025-12-04,31269.799
Jeans e Sarja,2025-12-05,36086.38
Jeans e Sarja,2025-12-06,46879.125
Jeans e Sarja,2025-12-07,32365.66
Jeans e Sarja,2025-12-08,31846.352
Jeans e Sarja,2025-12-09,39450.4
Jeans e Sarja,2025-12-10,42651.875
Jeans e Sarja,2025-12-11,39745.594
Jeans e Sarja,2025-12-12,40969.934
Jeans e Sarja,2025-12-13,51838.195
Jeans e Sarja,2025-12-14,35597.273
Jeans e Sarja,2025-12-15,43691.582
Jeans e Sarja,2025-12-16,52600.125
Jeans e Sarja,2025-12-17,55561.824
Jeans e Sarja,2025-12-18,42097.902
Jeans e Sarja,2025-12-19,57986.82
Jeans e Sarja,2025-12-20,63536.945
Jeans e Sarja,2025-12-21,48513.504
Jeans e Sarja,2025-12-22,64550.727
Jeans e Sarja,2025-12-23,60556.285
Jeans e Sarja,2025-12-24,26814.127
Jeans e Sarja,2025-12-25,11046.045
Jeans e Sarja,2025-12-26,54647.625
Jeans e Sarja,2025-12-27,49372.29
Jeans e Sarja,2025-12-28,37466.176
Jeans e Sarja,2025-12-29,50486.703
Jeans e Sarja,2025-12-30,38027.723
Jeans e Sarja,2025-12-31,19515.912
