unique_id,ds,GRU
Malha e Moletom,2025-01-01,8460.234
Malha e Moletom,2025-01-02,49224.008
Malha e Moletom,2025-01-03,43794.71
Malha e Moletom,2025-01-04,47267.336
Malha e Moletom,2025-01-05,35573.383
Malha e Moletom,2025-01-06,36968.133
Malha e Moletom,2025-01-07,39477.125
Malha e Moletom,2025-01-08,44101.613
Malha e Moletom,2025-01-09,45790.355
Malha e Moletom,2025-01-10,52714.938
Malha e Moletom,2025-01-11,79145.45
Malha e Moletom,2025-01-12,39056.99
Malha e Moletom,2025-01-13,39854.734
Malha e Moletom,2025-01-14,45800.008
Malha e Moletom,2025-01-15,38390.547
Malha e Moletom,2025-01-16,33204.527
Malha e Moletom,2025-01-17,38781.92
Malha e Moletom,2025-01-18,42163.86
Malha e Moletom,2025-01-19,30261.99
Malha e Moletom,2025-01-20,32282.191
Malha e Moletom,2025-01-21,31753.012
Malha e Moletom,2025-01-22,33352.766
Malha e Moletom,2025-01-23,34897.203
Malha e Moletom,2025-01-24,43886.953
Malha e Moletom,2025-01-25,51845.95
Malha e Moletom,2025-01-26,33423.727
Malha e Moletom,2025-01-27,32506.488
Malha e Moletom,2025-01-28,33711.984
Malha e Moletom,2025-01-29,36722.82
Malha e Moletom,2025-01-30,36226.145
Malha e Moletom,2025-01-31,42195.133
Malha e Moletom,2025-02-01,49446.445
Malha e Moletom,2025-02-02,28729.078
Malha e Moletom,2025-02-03,31651.89
Malha e Moletom,2025-02-04,31728.93
Malha e Moletom,2025-02-05,32960.793
Malha e Moletom,2025-02-06,25778.389
Malha e Moletom,2025-02-07,20918.621
Malha e Moletom,2025-02-08,25205.402
Malha e Moletom,2025-02-09,21097.99
Malha e Moletom,2025-02-10,23384.086
Malha e Moletom,2025-02-11,26397.664
Malha e Moletom,2025-02-12,22967.574
Malha e Moletom,2025-02-13,21422.918
Malha e Moletom,2025-02-14,28484.727
Malha e Moletom,2025-02-15,31275.066
Malha e Moletom,2025-02-16,23435.719
Malha e Moletom,2025-02-17,28974.438
Malha e Moletom,2025-02-18,32796.035
Malha e Moletom,2025-02-19,36098.11
Malha e Moletom,2025-02-20,38298.02
Malha e Moletom,2025-02-21,40718.37
Malha e Moletom,2025-02-22,39028.48
Malha e Moletom,2025-02-23,30698.562
Malha e Moletom,2025-02-24,31921.254
Malha e Moletom,2025-02-25,31193.664
Malha e Moletom,2025-02-26,28774.594
Malha e Moletom,2025-02-27,28507.207
Malha e Moletom,2025-02-28,34722.78
Malha e Moletom,2025-03-01,27281.912
Malha e Moletom,2025-03-02,19220.088
Malha e Moletom,2025-03-03,26104.395
Malha e Moletom,2025-03-04,20946.57
Malha e Moletom,2025-03-05,22800.645
Malha e Moletom,2025-03-06,22427.396
Malha e Moletom,2025-03-07,26678.707
Malha e Moletom,2025-03-08,35199.97
Malha e Moletom,2025-03-09,23849.688
Malha e Moletom,2025-03-10,20405.037
Malha e Moletom,2025-03-11,20319.914
Malha e Moletom,2025-03-12,22070.643
Malha e Moletom,2025-03-13,23057.012
Malha e Moletom,2025-03-14,30251.727
Malha e Moletom,2025-03-15,52747.42
Malha e Moletom,2025-03-16,32743.262
Malha e Moletom,2025-03-17,27022.91
Malha e Moletom,2025-03-18,30257.512
Malha e Moletom,2025-03-19,30809.193
Malha e Moletom,2025-03-20,33411.32
