unique_id,ds,GRU
Moda,2025-01-01,50651.973
Moda,2025-01-02,99764.73
Moda,2025-01-03,70148.69
Moda,2025-01-04,88063.08
Moda,2025-01-05,91605.32
Moda,2025-01-06,91239.234
Moda,2025-01-07,96883.91
Moda,2025-01-08,104665.91
Moda,2025-01-09,112661.086
Moda,2025-01-10,150029.16
Moda,2025-01-11,192104.88
Moda,2025-01-12,82121.734
Moda,2025-01-13,92565.26
Moda,2025-01-14,86726.92
Moda,2025-01-15,77131.06
Moda,2025-01-16,78689.52
Moda,2025-01-17,82414.62
Moda,2025-01-18,90668.61
Moda,2025-01-19,52842.957
Moda,2025-01-20,60428.01
Moda,2025-01-21,64540.934
Moda,2025-01-22,73564.08
Moda,2025-01-23,84842.39
Moda,2025-01-24,101988.195
Moda,2025-01-25,129138.266
Moda,2025-01-26,69739.16
Moda,2025-01-27,93592.42
Moda,2025-01-28,95099.28
Moda,2025-01-29,98357.56
Moda,2025-01-30,101827.43
Moda,2025-01-31,113706.445
Moda,2025-02-01,136164.28
Moda,2025-02-02,76906.625
Moda,2025-02-03,87805.266
Moda,2025-02-04,93756.23
Moda,2025-02-05,107317.17
Moda,2025-02-06,102847.62
Moda,2025-02-07,135333.42
Moda,2025-02-08,177842.88
Moda,2025-02-09,98518.59
Moda,2025-02-10,117439.41
Moda,2025-02-11,102663.266
Moda,2025-02-12,100219.29
Moda,2025-02-13,106033.45
Moda,2025-02-14,102718.4
Moda,2025-02-15,150272.05
Moda,2025-02-16,77635.89
Moda,2025-02-17,72200.73
Moda,2025-02-18,76333.31
Moda,2025-02-19,86115.04
Moda,2025-02-20,93007.45
Moda,2025-02-21,121804.29
Moda,2025-02-22,161738.12
Moda,2025-02-23,83066.92
Moda,2025-02-24,79160.48
Moda,2025-02-25,102432.164
Moda,2025-02-26,108720.79
Moda,2025-02-27,100957.78
Moda,2025-02-28,129421.34
Moda,2025-03-01,137547.66
Moda,2025-03-02,73857.914
Moda,2025-03-03,66503.266
Moda,2025-03-04,72331.15
Moda,2025-03-05,93288.13
Moda,2025-03-06,112378.86
Moda,2025-03-07,135568.62
Moda,2025-03-08,192407.39
Moda,2025-03-09,112336.93
Moda,2025-03-10,86249.31
Moda,2025-03-11,106177.74
Moda,2025-03-12,115496.23
Moda,2025-03-13,122744.92
Moda,2025-03-14,131264.25
Moda,2025-03-15,180050.14
Moda,2025-03-16,97604.586
Moda,2025-03-17,73672.68
Moda,2025-03-18,90866.56
Moda,2025-03-19,99767.18
Moda,2025-03-20,115605.805
Moda,2025-03-21,127856.7
Moda,2025-03-22,174680.95
Moda,2025-03-23,107312.836
Moda,2025-03-24,72664.83
Moda,2025-03-25,89730.52
Moda,2025-03-26,105639.33
Moda,2025-03-27,111659.484
Moda,2025-03-28,133894.0
Moda,2025-03-29,197806.94
Moda,2025-03-30,80385.914
Moda,2025-03-31,61965.43
Moda,2025-04-01,79841.28
Moda,2025-04-02,88957.8
Moda,2025-04-03,119889.484
Moda,2025-04-04,144503.34
Moda,2025-04-05,150841.25
