unique_id,ds,GRU
Outros,2025-01-01,-1125.4609
Outros,2025-01-02,17788.617
Outros,2025-01-03,10626.215
Outros,2025-01-04,10109.615
Outros,2025-01-05,13830.008
Outros,2025-01-06,21900.572
Outros,2025-01-07,28308.44
Outros,2025-01-08,38472.273
Outros,2025-01-09,37074.74
Outros,2025-01-10,38894.734
Outros,2025-01-11,35027.93
Outros,2025-01-12,14080.041
Outros,2025-01-13,20583.742
Outros,2025-01-14,20693.797
Outros,2025-01-15,19253.871
Outros,2025-01-16,19265.033
Outros,2025-01-17,23792.88
Outros,2025-01-18,28695.818
Outros,2025-01-19,20789.586
Outros,2025-01-20,19522.904
Outros,2025-01-21,21785.012
Outros,2025-01-22,22563.8
Outros,2025-01-23,22944.426
Outros,2025-01-24,28366.643
Outros,2025-01-25,32537.082
Outros,2025-01-26,21778.86
Outros,2025-01-27,18785.021
Outros,2025-01-28,20428.209
Outros,2025-01-29,20945.984
Outros,2025-01-30,20626.863
Outros,2025-01-31,26403.875
Outros,2025-02-01,29408.898
Outros,2025-02-02,13717.046
Outros,2025-02-03,15312.352
Outros,2025-02-04,15033.736
Outros,2025-02-05,15775.456
Outros,2025-02-06,16147.097
Outros,2025-02-07,18833.594
Outros,2025-02-08,20997.523
Outros,2025-02-09,14680.046
Outros,2025-02-10,16477.432
Outros,2025-02-11,20195.25
Outros,2025-02-12,12301.737
Outros,2025-02-13,7779.4688
Outros,2025-02-14,26125.146
Outros,2025-02-15,33299.113
Outros,2025-02-16,12118.947
Outros,2025-02-17,8760.162
Outros,2025-02-18,9627.895
Outros,2025-02-19,13993.426
Outros,2025-02-20,16544.54
Outros,2025-02-21,25642.129
Outros,2025-02-22,26665.469
Outros,2025-02-23,11713.26
Outros,2025-02-24,12294.533
Outros,2025-02-25,11938.119
Outros,2025-02-26,11086.606
Outros,2025-02-27,13025.125
Outros,2025-02-28,15265.162
Outros,2025-03-01,18125.02
Outros,2025-03-02,9175.648
Outros,2025-03-03,7716.074
Outros,2025-03-04,8692.131
Outros,2025-03-05,13511.858
Outros,2025-03-06,19114.785
Outros,2025-03-07,19561.088
Outros,2025-03-08,27974.379
Outros,2025-03-09,14998.072
Outros,2025-03-10,8944.818
Outros,2025-03-11,9237.729
Outros,2025-03-12,11731.792
Outros,2025-03-13,17739.285
Outros,2025-03-14,24533.252
Outros,2025-03-15,37688.01
Outros,2025-03-16,18284.723
Outros,2025-03-17,9739.998
Outros,2025-03-18,10620.773
Outros,2025-03-19,13766.388
Outros,2025-03-20,18595.506
Outros,2025-03-21,22130.455
Outros,2025-03-22,32246.465
Outros,2025-03-23,19418.688
Outros,2025-03-24,9915.041
Outros,2025-03-25,10789.213
Outros,2025-03-26,11939.092
Outros,2025-03-27,15788.359
Outros,2025-03-28,17621.059
Outros,2025-03-29,25566.346
Outros,2025-03-30,11978.093
Outros,2025-03-31,11598.3125
Outros,2025-04-01,12207.713
Outros,2025-04-02,13598.595
Outros,2025-04-03,13191.11
Outros,2025-04-04,19657.994
Outros,2025-04-05,28898.361
Outros,2025-04-06,17057.936
Outros,2025-04-07,10547.137
Outros,2025-04-08,14328.953
Outros,2025-04-09,13391.377
Outros,2025-04-10,13139.857
Outros,2025-04-11,15738.724
Outros,2025-04-12,24710.812
Outros,2025-04-13,13822.1
Outros,2025-04-14,13249.024
Outros,2025-04-15,13336.134
Outros,2025-04-16,12530.618
Outros,2025-04-17,13164.135
Outros,2025-04-18,8719.047
Outros,2025-04-19,15592.22
Outros,2025-04-20,3052.664
Outros,2025-04-21,8975.602
Outros,2025-04-22,8867.416
Outros,2025-04-23,9857.223
Outros,2025-04-24,12438.017
Outros,2025-04-25,15130.81
Outros,2025-04-26,21892.469
Outros,2025-04-27,11498.5625
Outros,2025-04-28,9384.0625
Outros,2025-04-29,10278.631
Outros,2025-04-30,10029.117
Outros,2025-05-01,7061.166
Outros,2025-05-02,7176.3477
Outros,2025-05-03,15136.938
Outros,2025-05-04,5992.084
Outros,2025-05-05,6675.615
Outros,2025-05-06,8672.92
Outros,2025-05-07,12504.18
Outros,2025-05-08,12952.769
Outros,2025-05-09,22420.902
