unique_id,ds,GRU
Jeans e Sarja,2025-01-01,8693.215
Jeans e Sarja,2025-01-02,30937.012
Jeans e Sarja,2025-01-03,34862.293
Jeans e Sarja,2025-01-04,36148.59
Jeans e Sarja,2025-01-05,29071.834
Jeans e Sarja,2025-01-06,27368.475
Jeans e Sarja,2025-01-07,29692.035
Jeans e Sarja,2025-01-08,29435.55
Jeans e Sarja,2025-01-09,30839.338
Jeans e Sarja,2025-01-10,31203.398
Jeans e Sarja,2025-01-11,48531.973
Jeans e Sarja,2025-01-12,40793.516
Jeans e Sarja,2025-01-13,29974.387
Jeans e Sarja,2025-01-14,25249.043
Jeans e Sarja,2025-01-15,25158.053
Jeans e Sarja,2025-01-16,24428.887
Jeans e Sarja,2025-01-17,29851.328
Jeans e Sarja,2025-01-18,52938.08
Jeans e Sarja,2025-01-19,29228.0
Jeans e Sarja,2025-01-20,23658.53
Jeans e Sarja,2025-01-21,21226.809
Jeans e Sarja,2025-01-22,22343.969
Jeans e Sarja,2025-01-23,21293.736
Jeans e Sarja,2025-01-24,28960.363
Jeans e Sarja,2025-01-25,48685.895
Jeans e Sarja,2025-01-26,32493.82
Jeans e Sarja,2025-01-27,28151.965
Jeans e Sarja,2025-01-28,27259.37
Jeans e Sarja,2025-01-29,29119.21
Jeans e Sarja,2025-01-30,26596.266
Jeans e Sarja,2025-01-31,32234.496
Jeans e Sarja,2025-02-01,44393.44
Jeans e Sarja,2025-02-02,32673.773
Jeans e Sarja,2025-02-03,31738.145
Jeans e Sarja,2025-02-04,31239.062
Jeans e Sarja,2025-02-05,31875.66
Jeans e Sarja,2025-02-06,26828.762
Jeans e Sarja,2025-02-07,27900.258
Jeans e Sarja,2025-02-08,36953.31
Jeans e Sarja,2025-02-09,31963.678
Jeans e Sarja,2025-02-10,27123.55
Jeans e Sarja,2025-02-11,24454.613
Jeans e Sarja,2025-02-12,22939.115
Jeans e Sarja,2025-02-13,23327.562
Jeans e Sarja,2025-02-14,31938.58
Jeans e Sarja,2025-02-15,36035.598
Jeans e Sarja,2025-02-16,19987.42
Jeans e Sarja,2025-02-17,23701.96
Jeans e Sarja,2025-02-18,20615.594
Jeans e Sarja,2025-02-19,18998.521
Jeans e Sarja,2025-02-20,21510.812
Jeans e Sarja,2025-02-21,18625.756
Jeans e Sarja,2025-02-22,24090.06
Jeans e Sarja,2025-02-23,13371.58
Jeans e Sarja,2025-02-24,11634.605
Jeans e Sarja,2025-02-25,12259.48
Jeans e Sarja,2025-02-26,10957.42
Jeans e Sarja,2025-02-27,9022.51
Jeans e Sarja,2025-02-28,15591.08
Jeans e Sarja,2025-03-01,14417.055
Jeans e Sarja,2025-03-02,5300.8906
Jeans e Sarja,2025-03-03,12287.402
Jeans e Sarja,2025-03-04,8993.998
Jeans e Sarja,2025-03-05,6015.092
Jeans e Sarja,2025-03-06,4353.801
Jeans e Sarja,2025-03-07,7152.6875
Jeans e Sarja,2025-03-08,11582.711
Jeans e Sarja,2025-03-09,8909.879
Jeans e Sarja,2025-03-10,8676.205
Jeans e Sarja,2025-03-11,7603.672
Jeans e Sarja,2025-03-12,7369.051
Jeans e Sarja,2025-03-13,9950.566
Jeans e Sarja,2025-03-14,12217.713
Jeans e Sarja,2025-03-15,23405.977
Jeans e Sarja,2025-03-16,16316.49
Jeans e Sarja,2025-03-17,15437.363
Jeans e Sarja,2025-03-18,13663.061
Jeans e Sarja,2025-03-19,12901.873
Jeans e Sarja,2025-03-20,11720.074
Jeans e Sarja,2025-03-21,14256.002
Jeans e Sarja,2025-03-22,28477.229
Jeans e Sarja,2025-03-23,19601.588
Jeans e Sarja,2025-03-24,17722.814
Jeans e Sarja,2025-03-25,14599.48
Jeans e Sarja,2025-03-26,11847.67
Jeans e Sarja,2025-03-27,10374.051
Jeans e Sarja,2025-03-28,12425.242
Jeans e Sarja,2025-03-29,23637.422
Jeans e Sarja,2025-03-30,13334.193
Jeans e Sarja,2025-03-31,7589.3105
Jeans e Sarja,2025-04-01,6399.707
Jeans e Sarja,2025-04-02,7230.4316
Jeans e Sarja,2025-04-03,8732.727
Jeans e Sarja,2025-04-04,10025.484
Jeans e Sarja,2025-04-05,14514.068
Jeans e Sarja,2025-04-06,9445.729
Jeans e Sarja,2025-04-07,6710.8203
Jeans e Sarja,2025-04-08,2786.1016
Jeans e Sarja,2025-04-09,1864.8984
Jeans e Sarja,2025-04-10,5947.258
Jeans e Sarja,2025-04-11,14898.877
Jeans e Sarja,2025-04-12,22642.47
Jeans e Sarja,2025-04-13,9966.717
Jeans e Sarja,2025-04-14,10053.836
