unique_id,ds,GRU
Malha e Moletom,2025-01-01,30153.613
Malha e Moletom,2025-01-02,71211.016
Malha e Moletom,2025-01-03,95061.086
Malha e Moletom,2025-01-04,115796.91
Malha e Moletom,2025-01-05,104487.016
Malha e Moletom,2025-01-06,79473.07
Malha e Moletom,2025-01-07,73207.18
Malha e Moletom,2025-01-08,74395.21
Malha e Moletom,2025-01-09,88143.05
Malha e Moletom,2025-01-10,120973.734
Malha e Moletom,2025-01-11,152924.92
Malha e Moletom,2025-01-12,84042.234
Malha e Moletom,2025-01-13,65614.75
Malha e Moletom,2025-01-14,71573.836
Malha e Moletom,2025-01-15,69550.9
Malha e Moletom,2025-01-16,74899.49
Malha e Moletom,2025-01-17,93730.42
Malha e Moletom,2025-01-18,132172.53
Malha e Moletom,2025-01-19,84820.0
Malha e Moletom,2025-01-20,66648.625
Malha e Moletom,2025-01-21,72239.914
Malha e Moletom,2025-01-22,72285.19
Malha e Moletom,2025-01-23,80719.6
Malha e Moletom,2025-01-24,101088.734
Malha e Moletom,2025-01-25,135719.36
Malha e Moletom,2025-01-26,85150.1
Malha e Moletom,2025-01-27,67008.39
Malha e Moletom,2025-01-28,70466.35
Malha e Moletom,2025-01-29,68875.414
Malha e Moletom,2025-01-30,76633.5
Malha e Moletom,2025-01-31,101449.016
Malha e Moletom,2025-02-01,126806.81
Malha e Moletom,2025-02-02,89649.836
Malha e Moletom,2025-02-03,70563.77
Malha e Moletom,2025-02-04,63860.5
Malha e Moletom,2025-02-05,59095.1
Malha e Moletom,2025-02-06,61279.508
Malha e Moletom,2025-02-07,84252.086
Malha e Moletom,2025-02-08,111685.37
Malha e Moletom,2025-02-09,92648.94
Malha e Moletom,2025-02-10,70088.61
Malha e Moletom,2025-02-11,57985.547
Malha e Moletom,2025-02-12,48250.895
Malha e Moletom,2025-02-13,45159.28
Malha e Moletom,2025-02-14,61023.633
Malha e Moletom,2025-02-15,65500.16
Malha e Moletom,2025-02-16,42512.55
Malha e Moletom,2025-02-17,38810.164
Malha e Moletom,2025-02-18,31919.72
Malha e Moletom,2025-02-19,34486.21
Malha e Moletom,2025-02-20,42232.05
Malha e Moletom,2025-02-21,53419.754
Malha e Moletom,2025-02-22,61888.52
Malha e Moletom,2025-02-23,33980.312
Malha e Moletom,2025-02-24,27860.26
Malha e Moletom,2025-02-25,27661.088
Malha e Moletom,2025-02-26,29628.24
Malha e Moletom,2025-02-27,31173.385
Malha e Moletom,2025-02-28,34482.227
Malha e Moletom,2025-03-01,38950.008
Malha e Moletom,2025-03-02,25575.348
Malha e Moletom,2025-03-03,24132.867
Malha e Moletom,2025-03-04,24136.906
Malha e Moletom,2025-03-05,27488.826
Malha e Moletom,2025-03-06,34101.496
Malha e Moletom,2025-03-07,27249.822
Malha e Moletom,2025-03-08,34934.523
Malha e Moletom,2025-03-09,25140.592
Malha e Moletom,2025-03-10,19929.477
Malha e Moletom,2025-03-11,21440.082
Malha e Moletom,2025-03-12,22763.934
Malha e Moletom,2025-03-13,23997.23
Malha e Moletom,2025-03-14,26455.691
Malha e Moletom,2025-03-15,35840.77
Malha e Moletom,2025-03-16,29394.9
Malha e Moletom,2025-03-17,21797.336
Malha e Moletom,2025-03-18,26097.807
Malha e Moletom,2025-03-19,24856.64
Malha e Moletom,2025-03-20,25510.014
Malha e Moletom,2025-03-21,30413.172
Malha e Moletom,2025-03-22,41338.0
Malha e Moletom,2025-03-23,29532.133
Malha e Moletom,2025-03-24,23826.535
Malha e Moletom,2025-03-25,24008.469
Malha e Moletom,2025-03-26,25449.432
Malha e Moletom,2025-03-27,27139.617
Malha e Moletom,2025-03-28,29915.18
Malha e Moletom,2025-03-29,45073.938
Malha e Moletom,2025-03-30,24722.926
Malha e Moletom,2025-03-31,24941.227
Malha e Moletom,2025-04-01,23560.05
Malha e Moletom,2025-04-02,24770.95
Malha e Moletom,2025-04-03,26278.297
Malha e Moletom,2025-04-04,28929.076
Malha e Moletom,2025-04-05,31131.723
Malha e Moletom,2025-04-06,25951.812
Malha e Moletom,2025-04-07,20778.594
Malha e Moletom,2025-04-08,20723.848
Malha e Moletom,2025-04-09,19690.55
Malha e Moletom,2025-04-10,21396.922
Malha e Moletom,2025-04-11,26789.951
Malha e Moletom,2025-04-12,35818.555
Malha e Moletom,2025-04-13,23813.297
Malha e Moletom,2025-04-14,22068.758
Malha e Moletom,2025-04-15,24231.246
Malha e Moletom,2025-04-16,21286.648
Malha e Moletom,2025-04-17,21421.496
Malha e Moletom,2025-04-18,20207.059
Malha e Moletom,2025-04-19,25347.957
Malha e Moletom,2025-04-20,19340.246
Malha e Moletom,2025-04-21,20134.848
Malha e Moletom,2025-04-22,20461.992
Malha e Moletom,2025-04-23,17375.707
Malha e Moletom,2025-04-24,17843.348
Malha e Moletom,2025-04-25,20654.074
Malha e Moletom,2025-04-26,25900.846
Malha e Moletom,2025-04-27,20440.691
Malha e Moletom,2025-04-28,18687.14
