unique_id,ds,GRU
Moda,2025-01-01,13365.834
Moda,2025-01-02,47085.258
Moda,2025-01-03,49918.49
Moda,2025-01-04,55754.797
Moda,2025-01-05,41346.227
Moda,2025-01-06,38457.223
Moda,2025-01-07,47100.613
Moda,2025-01-08,45531.43
Moda,2025-01-09,48197.812
Moda,2025-01-10,43425.086
Moda,2025-01-11,75896.97
Moda,2025-01-12,40075.727
Moda,2025-01-13,37016.63
Moda,2025-01-14,41298.76
Moda,2025-01-15,41883.664
Moda,2025-01-16,46295.688
Moda,2025-01-17,45623.082
Moda,2025-01-18,61757.977
Moda,2025-01-19,43927.375
Moda,2025-01-20,30361.027
Moda,2025-01-21,30034.088
Moda,2025-01-22,32693.48
Moda,2025-01-23,38495.7
Moda,2025-01-24,44719.56
Moda,2025-01-25,86212.484
Moda,2025-01-26,44044.57
Moda,2025-01-27,35313.93
Moda,2025-01-28,40329.586
Moda,2025-01-29,40826.17
Moda,2025-01-30,43310.86
Moda,2025-01-31,44883.98
Moda,2025-02-01,57055.656
Moda,2025-02-02,39657.652
Moda,2025-02-03,30492.855
Moda,2025-02-04,32152.94
Moda,2025-02-05,34571.234
Moda,2025-02-06,33957.836
Moda,2025-02-07,51598.176
Moda,2025-02-08,70533.06
Moda,2025-02-09,55258.67
Moda,2025-02-10,52361.164
Moda,2025-02-11,49766.164
Moda,2025-02-12,27171.512
Moda,2025-02-13,19110.707
Moda,2025-02-14,36757.133
Moda,2025-02-15,48778.58
Moda,2025-02-16,27177.594
Moda,2025-02-17,33304.71
Moda,2025-02-18,32193.672
Moda,2025-02-19,33676.93
Moda,2025-02-20,36249.715
Moda,2025-02-21,38692.05
Moda,2025-02-22,39567.22
Moda,2025-02-23,22960.562
Moda,2025-02-24,18884.484
Moda,2025-02-25,21827.775
Moda,2025-02-26,22547.352
Moda,2025-02-27,20247.615
Moda,2025-02-28,20465.684
Moda,2025-03-01,27311.133
Moda,2025-03-02,17432.396
Moda,2025-03-03,26863.441
Moda,2025-03-04,27152.242
Moda,2025-03-05,28249.473
Moda,2025-03-06,26136.195
Moda,2025-03-07,11404.307
Moda,2025-03-08,15078.793
Moda,2025-03-09,12364.367
Moda,2025-03-10,12405.352
Moda,2025-03-11,13805.404
Moda,2025-03-12,11039.404
Moda,2025-03-13,7124.6035
Moda,2025-03-14,6900.2715
Moda,2025-03-15,9251.23
Moda,2025-03-16,6875.7324
Moda,2025-03-17,6442.795
Moda,2025-03-18,8896.52
Moda,2025-03-19,7508.4395
Moda,2025-03-20,9464.402
Moda,2025-03-21,11093.037
Moda,2025-03-22,11036.176
Moda,2025-03-23,12870.99
Moda,2025-03-24,13805.961
Moda,2025-03-25,14310.713
Moda,2025-03-26,12520.859
Moda,2025-03-27,10250.078
Moda,2025-03-28,9211.043
Moda,2025-03-29,9037.021
Moda,2025-03-30,10126.979
Moda,2025-03-31,13031.236
Moda,2025-04-01,12571.9
Moda,2025-04-02,12092.354
Moda,2025-04-03,12581.18
Moda,2025-04-04,15742.146
Moda,2025-04-05,17392.094
Moda,2025-04-06,14927.436
Moda,2025-04-07,15981.293
Moda,2025-04-08,11259.871
Moda,2025-04-09,10098.553
Moda,2025-04-10,10388.393
Moda,2025-04-11,20681.842
Moda,2025-04-12,30222.266
Moda,2025-04-13,10898.471
Moda,2025-04-14,13503.52
Moda,2025-04-15,13263.912
Moda,2025-04-16,20943.148
Moda,2025-04-17,23508.463
Moda,2025-04-18,20232.21
Moda,2025-04-19,32349.16
Moda,2025-04-20,7962.9004
Moda,2025-04-21,21542.54
Moda,2025-04-22,17796.627
Moda,2025-04-23,22294.0
Moda,2025-04-24,23983.371
Moda,2025-04-25,25074.21
Moda,2025-04-26,29955.469
Moda,2025-04-27,14394.031
Moda,2025-04-28,18066.537
Moda,2025-04-29,18539.984
Moda,2025-04-30,21006.844
Moda,2025-05-01,19539.83
Moda,2025-05-02,11738.711
Moda,2025-05-03,30183.975
Moda,2025-05-04,13194.896
Moda,2025-05-05,16385.518
Moda,2025-05-06,12645.145
Moda,2025-05-07,9658.191
Moda,2025-05-08,14523.033
Moda,2025-05-09,21561.836
Moda,2025-05-10,40218.918
Moda,2025-05-11,15435.68
Moda,2025-05-12,13340.123
Moda,2025-05-13,17647.514
Moda,2025-05-14,17627.297
Moda,2025-05-15,18001.197
Moda,2025-05-16,26767.627
Moda,2025-05-17,34388.89
Moda,2025-05-18,20227.645
Moda,2025-05-19,20120.348
Moda,2025-05-20,21012.23
Moda,2025-05-21,24662.934
Moda,2025-05-22,18098.17
Moda,2025-05-23,40342.527
Moda,2025-05-24,59876.586
Moda,2025-05-25,15669.389
Moda,2025-05-26,33405.473
Moda,2025-05-27,29798.463
Moda,2025-05-28,30167.76
Moda,2025-05-29,39996.156
Moda,2025-05-30,51623.953
Moda,2025-05-31,38734.535
Moda,2025-06-01,29550.66
Moda,2025-06-02,46242.293
Moda,2025-06-03,41675.758
Moda,2025-06-04,46092.883
Moda,2025-06-05,56996.047
Moda,2025-06-06,55780.566
Moda,2025-06-07,52574.406
Moda,2025-06-08,37587.215
Moda,2025-06-09,49471.332
Moda,2025-06-10,69832.35
Moda,2025-06-11,80492.75
Moda,2025-06-12,82648.58
Moda,2025-06-13,112579.45
Moda,2025-06-14,68815.48
Moda,2025-06-15,46045.57
Moda,2025-06-16,61573.59
Moda,2025-06-17,70425.766
Moda,2025-06-18,78525.484
Moda,2025-06-19,87969.52
Moda,2025-06-20,85572.8
Moda,2025-06-21,92918.38
Moda,2025-06-22,42739.98
Moda,2025-06-23,47293.15
Moda,2025-06-24,58856.35
Moda,2025-06-25,67433.64
Moda,2025-06-26,79159.59
Moda,2025-06-27,94058.49
Moda,2025-06-28,119680.69
Moda,2025-06-29,53563.695
Moda,2025-06-30,64164.51
Moda,2025-07-01,71346.16
Moda,2025-07-02,61635.848
Moda,2025-07-03,59519.375
Moda,2025-07-04,65597.47
Moda,2025-07-05,108908.64
Moda,2025-07-06,49130.76
Moda,2025-07-07,48399.945
Moda,2025-07-08,59190.54
Moda,2025-07-09,50365.754
Moda,2025-07-10,53368.56
Moda,2025-07-11,65030.195
Moda,2025-07-12,94995.94
Moda,2025-07-13,44036.656
Moda,2025-07-14,43857.895
Moda,2025-07-15,52043.41
Moda,2025-07-16,47687.934
Moda,2025-07-17,43203.1
Moda,2025-07-18,52040.914
Moda,2025-07-19,86743.97
Moda,2025-07-20,39794.324
Moda,2025-07-21,34680.875
Moda,2025-07-22,32822.293
Moda,2025-07-23,29557.38
Moda,2025-07-24,30248.365
Moda,2025-07-25,31674.094
Moda,2025-07-26,53623.926
Moda,2025-07-27,25305.605
Moda,2025-07-28,26400.834
Moda,2025-07-29,28886.566
Moda,2025-07-30,30785.465
Moda,2025-07-31,25909.133
Moda,2025-08-01,35581.656
Moda,2025-08-02,56215.47
Moda,2025-08-03,16562.896
Moda,2025-08-04,22352.5
Moda,2025-08-05,24126.025
Moda,2025-08-06,35572.32
Moda,2025-08-07,44201.145
Moda,2025-08-08,67575.09
Moda,2025-08-09,85287.78
Moda,2025-08-10,28496.941
Moda,2025-08-11,19653.69
Moda,2025-08-12,29482.799
Moda,2025-08-13,16281.244
Moda,2025-08-14,15222.809
Moda,2025-08-15,44077.973
Moda,2025-08-16,55055.49
Moda,2025-08-17,15445.342
Moda,2025-08-18,10745.922
Moda,2025-08-19,17983.707
Moda,2025-08-20,20614.213
Moda,2025-08-21,24638.69
Moda,2025-08-22,34955.844
Moda,2025-08-23,48518.406
Moda,2025-08-24,19491.734
Moda,2025-08-25,11476.781
Moda,2025-08-26,17281.145
Moda,2025-08-27,21315.51
Moda,2025-08-28,18835.9
Moda,2025-08-29,29301.469
Moda,2025-08-30,51664.73
Moda,2025-08-31,14400.504
Moda,2025-09-01,11419.24
Moda,2025-09-02,14971.014
Moda,2025-09-03,19054.363
Moda,2025-09-04,19056.975
Moda,2025-09-05,17767.568
Moda,2025-09-06,25214.791
Moda,2025-09-07,10409.723
Moda,2025-09-08,11072.451
Moda,2025-09-09,17896.209
Moda,2025-09-10,17737.582
Moda,2025-09-11,21667.305
Moda,2025-09-12,35829.703
Moda,2025-09-13,38876.97
Moda,2025-09-14,26609.904
Moda,2025-09-15,15673.359
