unique_id,ds,GRU
Outros,2025-01-01,4879.701
Outros,2025-01-02,16218.247
Outros,2025-01-03,16183.714
Outros,2025-01-04,20496.785
Outros,2025-01-05,17204.312
Outros,2025-01-06,17152.027
Outros,2025-01-07,17941.92
Outros,2025-01-08,21005.408
Outros,2025-01-09,22572.154
Outros,2025-01-10,27228.717
Outros,2025-01-11,30963.895
Outros,2025-01-12,14146.126
Outros,2025-01-13,11720.289
Outros,2025-01-14,11140.826
Outros,2025-01-15,12653.289
Outros,2025-01-16,14503.426
Outros,2025-01-17,17989.146
Outros,2025-01-18,22750.957
Outros,2025-01-19,11646.861
Outros,2025-01-20,13551.777
Outros,2025-01-21,14275.134
Outros,2025-01-22,15020.119
Outros,2025-01-23,15703.246
Outros,2025-01-24,16278.354
Outros,2025-01-25,20765.652
Outros,2025-01-26,13652.609
Outros,2025-01-27,13749.8125
Outros,2025-01-28,15268.428
Outros,2025-01-29,15347.865
Outros,2025-01-30,15678.779
Outros,2025-01-31,14744.42
Outros,2025-02-01,18188.367
Outros,2025-02-02,13609.918
Outros,2025-02-03,12954.23
Outros,2025-02-04,13542.596
Outros,2025-02-05,13905.487
Outros,2025-02-06,13892.821
Outros,2025-02-07,13294.879
Outros,2025-02-08,11530.173
Outros,2025-02-09,11869.469
Outros,2025-02-10,10137.096
Outros,2025-02-11,9849.448
Outros,2025-02-12,9271.536
Outros,2025-02-13,7520.9824
Outros,2025-02-14,9937.307
Outros,2025-02-15,18692.87
Outros,2025-02-16,10330.323
Outros,2025-02-17,13296.97
Outros,2025-02-18,10924.18
Outros,2025-02-19,9623.485
Outros,2025-02-20,12942.259
Outros,2025-02-21,11265.395
Outros,2025-02-22,18081.973
Outros,2025-02-23,7056.59
Outros,2025-02-24,9197.925
Outros,2025-02-25,8291.334
Outros,2025-02-26,10366.5
Outros,2025-02-27,12200.719
Outros,2025-02-28,14147.884
Outros,2025-03-01,13546.432
Outros,2025-03-02,4326.34
Outros,2025-03-03,9813.393
Outros,2025-03-04,8675.588
Outros,2025-03-05,7410.8213
Outros,2025-03-06,7514.0967
Outros,2025-03-07,11636.375
Outros,2025-03-08,15746.005
Outros,2025-03-09,6699.085
Outros,2025-03-10,6355.8555
Outros,2025-03-11,6228.621
Outros,2025-03-12,6372.6143
Outros,2025-03-13,8604.394
Outros,2025-03-14,13256.816
Outros,2025-03-15,17734.018
Outros,2025-03-16,7637.249
Outros,2025-03-17,6092.041
Outros,2025-03-18,5546.8096
Outros,2025-03-19,5567.166
Outros,2025-03-20,7212.5947
Outros,2025-03-21,11855.239
Outros,2025-03-22,18057.953
Outros,2025-03-23,8645.908
Outros,2025-03-24,5859.541
Outros,2025-03-25,5872.125
Outros,2025-03-26,6525.464
Outros,2025-03-27,9755.255
Outros,2025-03-28,10843.853
Outros,2025-03-29,17974.436
Outros,2025-03-30,7345.8174
Outros,2025-03-31,7843.9834
Outros,2025-04-01,7007.7197
Outros,2025-04-02,6380.283
Outros,2025-04-03,8262.509
Outros,2025-04-04,14557.607
Outros,2025-04-05,19626.666
Outros,2025-04-06,9359.104
Outros,2025-04-07,8102.5654
Outros,2025-04-08,6097.5312
Outros,2025-04-09,6275.342
Outros,2025-04-10,9817.764
Outros,2025-04-11,14945.408
Outros,2025-04-12,16387.654
Outros,2025-04-13,9873.609
Outros,2025-04-14,6276.3555
Outros,2025-04-15,8440.698
Outros,2025-04-16,10382.726
Outros,2025-04-17,12710.534
Outros,2025-04-18,9734.312
Outros,2025-04-19,19508.611
Outros,2025-04-20,5220.088
Outros,2025-04-21,5414.496
Outros,2025-04-22,7219.0684
Outros,2025-04-23,8592.033
Outros,2025-04-24,10020.505
Outros,2025-04-25,13129.789
Outros,2025-04-26,18041.29
Outros,2025-04-27,8409.531
Outros,2025-04-28,5342.1953
Outros,2025-04-29,7538.26
Outros,2025-04-30,9466.666
Outros,2025-05-01,6026.377
Outros,2025-05-02,7908.5127
Outros,2025-05-03,16337.127
Outros,2025-05-04,6325.3037
Outros,2025-05-05,6998.1543
Outros,2025-05-06,5167.6973
Outros,2025-05-07,7350.0557
Outros,2025-05-08,7366.6562
Outros,2025-05-09,10379.23
Outros,2025-05-10,17227.365
Outros,2025-05-11,7664.916
Outros,2025-05-12,9061.953
Outros,2025-05-13,6611.913
Outros,2025-05-14,7521.0684
Outros,2025-05-15,11044.098
Outros,2025-05-16,17441.176
Outros,2025-05-17,25588.07
Outros,2025-05-18,12512.893
Outros,2025-05-19,8390.434
Outros,2025-05-20,9243.904
Outros,2025-05-21,11907.762
Outros,2025-05-22,11720.799
Outros,2025-05-23,15009.146
Outros,2025-05-24,24962.34
Outros,2025-05-25,13102.816
Outros,2025-05-26,10338.423
Outros,2025-05-27,10963.501
Outros,2025-05-28,12586.523
Outros,2025-05-29,15495.405
Outros,2025-05-30,19964.652
Outros,2025-05-31,20578.725
Outros,2025-06-01,11872.518
