unique_id,ds,GRU
Acessorio,2025-01-01,8428.805
Acessorio,2025-01-02,29271.605
Acessorio,2025-01-03,131987.08
Acessorio,2025-01-04,144005.66
Acessorio,2025-01-05,51550.586
Acessorio,2025-01-06,81595.5
Acessorio,2025-01-07,94370.375
Acessorio,2025-01-08,103920.055
Acessorio,2025-01-09,96354.52
Acessorio,2025-01-10,107040.734
Acessorio,2025-01-11,106888.56
Acessorio,2025-01-12,39973.652
Acessorio,2025-01-13,93773.8
Acessorio,2025-01-14,108643.14
Acessorio,2025-01-15,101835.66
Acessorio,2025-01-16,112404.8
Acessorio,2025-01-17,130534.55
Acessorio,2025-01-18,96528.234
Acessorio,2025-01-19,26004.86
Acessorio,2025-01-20,60234.2
Acessorio,2025-01-21,64370.926
Acessorio,2025-01-22,58915.75
Acessorio,2025-01-23,55207.516
Acessorio,2025-01-24,51811.977
Acessorio,2025-01-25,65451.26
Acessorio,2025-01-26,33355.62
Acessorio,2025-01-27,56282.29
Acessorio,2025-01-28,58889.586
Acessorio,2025-01-29,70191.17
Acessorio,2025-01-30,72036.086
Acessorio,2025-01-31,83612.63
Acessorio,2025-02-01,68577.875
Acessorio,2025-02-02,27492.996
Acessorio,2025-02-03,55268.473
Acessorio,2025-02-04,50039.656
Acessorio,2025-02-05,53259.23
Acessorio,2025-02-06,55856.766
Acessorio,2025-02-07,60489.176
Acessorio,2025-02-08,75222.875
Acessorio,2025-02-09,36866.656
Acessorio,2025-02-10,64454.562
Acessorio,2025-02-11,59760.754
Acessorio,2025-02-12,50737.66
Acessorio,2025-02-13,42399.883
Acessorio,2025-02-14,50201.492
Acessorio,2025-02-15,61062.41
Acessorio,2025-02-16,21814.586
Acessorio,2025-02-17,32744.748
Acessorio,2025-02-18,29833.496
Acessorio,2025-02-19,39862.19
Acessorio,2025-02-20,45260.258
Acessorio,2025-02-21,50115.24
Acessorio,2025-02-22,48846.633
Acessorio,2025-02-23,21309.32
Acessorio,2025-02-24,39636.434
Acessorio,2025-02-25,38206.594
Acessorio,2025-02-26,39952.992
Acessorio,2025-02-27,45955.016
Acessorio,2025-02-28,59103.7
Acessorio,2025-03-01,38497.508
Acessorio,2025-03-02,14303.098
Acessorio,2025-03-03,28921.426
Acessorio,2025-03-04,18745.473
Acessorio,2025-03-05,35760.78
Acessorio,2025-03-06,45897.797
Acessorio,2025-03-07,54505.402
Acessorio,2025-03-08,47749.72
Acessorio,2025-03-09,18764.105
Acessorio,2025-03-10,44109.867
Acessorio,2025-03-11,38641.984
Acessorio,2025-03-12,44507.406
Acessorio,2025-03-13,49979.156
Acessorio,2025-03-14,54036.73
Acessorio,2025-03-15,48636.816
Acessorio,2025-03-16,20030.785
Acessorio,2025-03-17,43736.863
Acessorio,2025-03-18,42452.36
Acessorio,2025-03-19,49909.45
Acessorio,2025-03-20,55497.016
Acessorio,2025-03-21,62259.72
Acessorio,2025-03-22,52838.23
Acessorio,2025-03-23,24149.45
Acessorio,2025-03-24,48415.918
Acessorio,2025-03-25,51622.883
Acessorio,2025-03-26,58565.39
Acessorio,2025-03-27,59022.09
Acessorio,2025-03-28,74879.1
Acessorio,2025-03-29,55017.36
Acessorio,2025-03-30,30075.156
Acessorio,2025-03-31,55439.78
Acessorio,2025-04-01,51540.844
Acessorio,2025-04-02,51951.44
Acessorio,2025-04-03,57192.492
Acessorio,2025-04-04,70219.41
