unique_id,ds,GRU
Alfaiataria,2025-01-01,104560.914
Alfaiataria,2025-01-02,182211.19
Alfaiataria,2025-01-03,267547.06
Alfaiataria,2025-01-04,369839.44
Alfaiataria,2025-01-05,69189.7
Alfaiataria,2025-01-06,250564.47
Alfaiataria,2025-01-07,661612.25
Alfaiataria,2025-01-08,901904.94
Alfaiataria,2025-01-09,539615.6
Alfaiataria,2025-01-10,574642.5
Alfaiataria,2025-01-11,536665.56
Alfaiataria,2025-01-12,227300.83
Alfaiataria,2025-01-13,380662.56
Alfaiataria,2025-01-14,387979.78
Alfaiataria,2025-01-15,338887.5
Alfaiataria,2025-01-16,345490.7
Alfaiataria,2025-01-17,341903.38
Alfaiataria,2025-01-18,384412.5
Alfaiataria,2025-01-19,176700.95
Alfaiataria,2025-01-20,282645.7
Alfaiataria,2025-01-21,269327.0
Alfaiataria,2025-01-22,353089.25
Alfaiataria,2025-01-23,389310.7
Alfaiataria,2025-01-24,437238.56
Alfaiataria,2025-01-25,475135.06
Alfaiataria,2025-01-26,194984.98
Alfaiataria,2025-01-27,397730.56
Alfaiataria,2025-01-28,312807.53
Alfaiataria,2025-01-29,297746.34
Alfaiataria,2025-01-30,260507.0
Alfaiataria,2025-01-31,304295.25
Alfaiataria,2025-02-01,300903.8
Alfaiataria,2025-02-02,168945.92
Alfaiataria,2025-02-03,243699.5
Alfaiataria,2025-02-04,233662.72
Alfaiataria,2025-02-05,302235.72
Alfaiataria,2025-02-06,338500.38
Alfaiataria,2025-02-07,354519.44
Alfaiataria,2025-02-08,435747.75
Alfaiataria,2025-02-09,211867.9
Alfaiataria,2025-02-10,268983.97
Alfaiataria,2025-02-11,260920.16
Alfaiataria,2025-02-12,325847.3
Alfaiataria,2025-02-13,265162.97
Alfaiataria,2025-02-14,249737.03
Alfaiataria,2025-02-15,249189.66
Alfaiataria,2025-02-16,106799.31
Alfaiataria,2025-02-17,144793.1
Alfaiataria,2025-02-18,126670.516
Alfaiataria,2025-02-19,168788.12
Alfaiataria,2025-02-20,260541.61
Alfaiataria,2025-02-21,307212.0
Alfaiataria,2025-02-22,332252.06
Alfaiataria,2025-02-23,155463.34
Alfaiataria,2025-02-24,215204.94
Alfaiataria,2025-02-25,207180.53
