mes_ano,John John Fem,John John Masc,Total
2025-01,6726125.5,4901883.0,11628008.0
2025-02,6130261.5,4314336.0,10444598.0
2025-03,5386977.5,4313980.5,9700958.0
2025-04,5315883.5,4317286.5,9633170.0
2025-05,5736708.0,4603681.0,10340389.0
2025-06,5756336.0,4638057.0,10394393.0
2025-07,4850076.5,4027460.5,8877537.0
2025-08,4934807.0,3035074.2,7969881.0
2025-09,4828355.0,2844373.0,7672728.0
2025-10,5487192.0,3190652.5,8677844.0
2025-11,5292778.0,3819933.0,9112711.0
2025-12,7657956.0,8220162.5,15878118.0
