unique_id,ds,GRU
Le Lis Beaute,2025-01-01,22289.523
Le Lis Beaute,2025-01-02,32411.006
Le Lis Beaute,2025-01-03,35091.227
Le Lis Beaute,2025-01-04,36475.043
Le Lis Beaute,2025-01-05,23285.867
Le Lis Beaute,2025-01-06,31192.678
Le Lis Beaute,2025-01-07,33897.35
Le Lis Beaute,2025-01-08,35070.742
Le Lis Beaute,2025-01-09,36047.484
Le Lis Beaute,2025-01-10,35421.742
Le Lis Beaute,2025-01-11,35244.39
Le Lis Beaute,2025-01-12,22486.316
Le Lis Beaute,2025-01-13,28661.648
Le Lis Beaute,2025-01-14,29833.56
Le Lis Beaute,2025-01-15,31455.99
Le Lis Beaute,2025-01-16,32407.277
Le Lis Beaute,2025-01-17,34347.58
Le Lis Beaute,2025-01-18,36305.64
Le Lis Beaute,2025-01-19,21508.275
Le Lis Beaute,2025-01-20,26629.793
Le Lis Beaute,2025-01-21,26428.686
Le Lis Beaute,2025-01-22,27927.225
Le Lis Beaute,2025-01-23,29652.24
Le Lis Beaute,2025-01-24,31448.676
Le Lis Beaute,2025-01-25,33171.96
Le Lis Beaute,2025-01-26,18156.3
Le Lis Beaute,2025-01-27,24803.38
Le Lis Beaute,2025-01-28,26460.42
Le Lis Beaute,2025-01-29,27730.328
Le Lis Beaute,2025-01-30,28808.324
Le Lis Beaute,2025-01-31,30994.783
Le Lis Beaute,2025-02-01,32548.297
Le Lis Beaute,2025-02-02,18130.602
Le Lis Beaute,2025-02-03,23484.242
Le Lis Beaute,2025-02-04,24191.484
Le Lis Beaute,2025-02-05,26001.506
Le Lis Beaute,2025-02-06,28241.604
Le Lis Beaute,2025-02-07,32481.764
Le Lis Beaute,2025-02-08,31744.805
Le Lis Beaute,2025-02-09,18494.904
Le Lis Beaute,2025-02-10,25640.326
Le Lis Beaute,2025-02-11,24989.441
Le Lis Beaute,2025-02-12,23873.06
Le Lis Beaute,2025-02-13,24185.617
Le Lis Beaute,2025-02-14,27457.188
Le Lis Beaute,2025-02-15,32261.658
Le Lis Beaute,2025-02-16,17703.156
Le Lis Beaute,2025-02-17,20181.5
Le Lis Beaute,2025-02-18,21808.344
Le Lis Beaute,2025-02-19,24461.557
Le Lis Beaute,2025-02-20,27780.412
Le Lis Beaute,2025-02-21,35630.375
Le Lis Beaute,2025-02-22,39906.547
Le Lis Beaute,2025-02-23,17567.693
Le Lis Beaute,2025-02-24,20324.84
Le Lis Beaute,2025-02-25,21183.342
Le Lis Beaute,2025-02-26,23535.98
Le Lis Beaute,2025-02-27,25433.998
Le Lis Beaute,2025-02-28,28150.922
Le Lis Beaute,2025-03-01,19131.867
Le Lis Beaute,2025-03-02,11701.607
Le Lis Beaute,2025-03-03,14682.17
Le Lis Beaute,2025-03-04,15869.78
Le Lis Beaute,2025-03-05,16954.434
Le Lis Beaute,2025-03-06,18131.371
Le Lis Beaute,2025-03-07,26109.406
Le Lis Beaute,2025-03-08,28161.324
Le Lis Beaute,2025-03-09,15635.764
Le Lis Beaute,2025-03-10,18097.215
Le Lis Beaute,2025-03-11,18882.482
Le Lis Beaute,2025-03-12,20866.82
Le Lis Beaute,2025-03-13,22694.31
Le Lis Beaute,2025-03-14,26884.645
Le Lis Beaute,2025-03-15,29895.055
Le Lis Beaute,2025-03-16,15238.343
Le Lis Beaute,2025-03-17,18880.98
Le Lis Beaute,2025-03-18,20013.875
Le Lis Beaute,2025-03-19,22182.223
Le Lis Beaute,2025-03-20,24904.062
Le Lis Beaute,2025-03-21,29068.598
Le Lis Beaute,2025-03-22,32099.76
Le Lis Beaute,2025-03-23,16220.7
Le Lis Beaute,2025-03-24,19129.87
Le Lis Beaute,2025-03-25,20543.361
Le Lis Beaute,2025-03-26,22703.115
Le Lis Beaute,2025-03-27,24702.877
Le Lis Beaute,2025-03-28,28333.236
Le Lis Beaute,2025-03-29,33274.15
Le Lis Beaute,2025-03-30,19205.129
Le Lis Beaute,2025-03-31,18901.197
Le Lis Beaute,2025-04-01,22004.346
Le Lis Beaute,2025-04-02,23259.938
Le Lis Beaute,2025-04-03,25596.006
Le Lis Beaute,2025-04-04,30389.64
Le Lis Beaute,2025-04-05,35476.266
Le Lis Beaute,2025-04-06,17863.732
Le Lis Beaute,2025-04-07,19988.762
Le Lis Beaute,2025-04-08,21717.604
Le Lis Beaute,2025-04-09,23862.16
Le Lis Beaute,2025-04-10,26276.77
Le Lis Beaute,2025-04-11,31587.443
Le Lis Beaute,2025-04-12,37023.84
Le Lis Beaute,2025-04-13,19455.807
Le Lis Beaute,2025-04-14,20080.688
Le Lis Beaute,2025-04-15,22292.645
Le Lis Beaute,2025-04-16,24091.79
Le Lis Beaute,2025-04-17,25287.174
Le Lis Beaute,2025-04-18,14141.544
Le Lis Beaute,2025-04-19,31463.832
Le Lis Beaute,2025-04-20,11574.841
Le Lis Beaute,2025-04-21,19367.72
