mes_ano,Le Lis Beaute,Le Lis Blanc Deux,Le Lis Casa,Le Lis Noir,Total
2025-01,925645.44,52496960.0,2339679.8,1.9622962,55762284.0
2025-02,717395.2,35330876.0,1596064.8,-3.0505185,37644332.0
2025-03,669099.75,34934084.0,1446067.4,1.2065856,37049252.0
2025-04,707156.4,43192936.0,1475668.2,-2.81804,45375756.0
2025-05,771635.75,50037916.0,1538079.2,-6.648796,52347624.0
2025-06,654428.3,59607012.0,2484954.8,-13.104553,62746384.0
2025-07,656844.0,48358692.0,2280535.5,-10.596139,51296060.0
2025-08,666568.3,46740984.0,1788942.8,-10.316831,49196484.0
2025-09,902896.2,60603772.0,2608808.0,-6.5237317,64115468.0
2025-10,975606.0,57348904.0,1890620.6,12.798582,60215144.0
2025-11,1043215.1,64178440.0,2570008.5,7.2296305,67791670.0
2025-12,1829252.8,53241080.0,3735685.8,-4.777511,58806012.0
