ID_COLECAO,MARCA,COLECAO,DATA_INICIO_LIQUIDACAO,FONTE,DATA_CARGA
JJ:134,JJ,134,2012-02-02,Plan,2024-10-09T05:31:52Z
JJ:143,JJ,143,2012-07-19,Plan,2024-10-09T05:31:52Z
JJ:1501,JJ,1501,2015-06-16,Plan,2024-10-09T05:31:52Z
JJ:1502,JJ,1502,2016-01-04,Plan,2024-10-09T05:31:52Z
JJ:152,JJ,152,2013-01-08,Plan,2024-10-09T05:31:52Z
JJ:1601,JJ,1601,2016-06-15,Plan,2024-10-09T05:31:52Z
JJ:1602,JJ,1602,2017-01-05,Plan,2024-10-09T05:31:52Z
JJ:161,JJ,161,2013-06-17,Plan,2024-10-09T05:31:52Z
JJ:170,JJ,170,2014-01-08,Plan,2024-10-09T05:31:52Z
JJ:1701,JJ,1701,2017-06-13,Plan,2024-10-09T05:31:52Z
JJ:1702,JJ,1702,2018-01-04,Plan,2024-10-09T05:31:52Z
JJ:1801,JJ,1801,2018-06-13,Plan,2024-10-09T05:31:52Z
JJ:1802,JJ,1802,2018-12-26,Plan,2024-10-09T05:31:52Z
JJ:188,JJ,188,2014-06-24,Plan,2024-10-09T05:31:52Z
JJ:1901,JJ,1901,2019-06-13,Plan,2024-10-09T05:31:52Z
JJ:1902,JJ,1902,2020-01-08,Plan,2024-10-09T05:31:52Z
JJ:197,JJ,197,2015-01-20,Plan,2024-10-09T05:31:52Z
JJ:2001,JJ,2001,2020-06-13,Plan,2024-10-09T05:31:52Z
JJ:2002,JJ,2002,2021-01-06,Plan,2024-10-09T05:31:52Z
JJ:2101,JJ,2101,2021-06-21,Plan,2024-10-09T05:31:52Z
JJ:2102,JJ,2102,2022-01-06,Plan,2024-10-09T05:31:52Z
JJ:2201,JJ,2201,2022-06-30,Plan,2024-10-09T05:31:52Z
JJ:2202,JJ,2202,2023-01-03,Plan,2024-10-09T05:31:52Z
JJ:2301,JJ,2301,2023-06-14,Plan,2024-10-09T05:31:52Z
JJ:2302,JJ,2302,2024-01-03,Plan,2024-10-09T05:31:52Z
JJ:2401,JJ,2401,2024-06-10,Plan,2024-10-09T05:31:52Z
