ID_COLECAO,MARCA,COLECAO,DATA_INICIO_LIQUIDACAO,FONTE,DATA_CARGA
LL:134,LL,134,2012-01-13,Plan,2024-10-03T05:31:41Z
LL:143,LL,143,2012-07-24,Plan,2024-10-03T05:31:41Z
LL:1501,LL,1501,2015-06-16,Plan,2024-10-03T05:31:41Z
LL:1502,LL,1502,2016-01-06,Plan,2024-10-03T05:31:41Z
LL:152,LL,152,2013-01-08,Plan,2024-10-03T05:31:41Z
LL:1601,LL,1601,2016-06-07,Plan,2024-10-03T05:31:41Z
LL:1602,LL,1602,2017-01-11,Plan,2024-10-03T05:31:41Z
LL:161,LL,161,2013-06-12,Plan,2024-10-03T05:31:41Z
LL:170,LL,170,2014-01-08,Plan,2024-10-03T05:31:41Z
LL:1701,LL,1701,2017-06-07,Plan,2024-10-03T05:31:41Z
LL:1702,LL,1702,2018-01-10,Plan,2024-10-03T05:31:41Z
LL:1801,LL,1801,2018-06-07,Plan,2024-10-03T05:31:41Z
LL:1802,LL,1802,2019-01-08,Plan,2024-10-03T05:31:41Z
LL:188,LL,188,2014-06-24,Plan,2024-10-03T05:31:41Z
LL:1901,LL,1901,2019-06-05,Plan,2024-10-03T05:31:41Z
LL:1902,LL,1902,2020-01-08,Plan,2024-10-03T05:31:41Z
LL:197,LL,197,2015-01-13,Plan,2024-10-03T05:31:41Z
LL:2001,LL,2001,2020-06-10,Plan,2024-10-03T05:31:41Z
LL:2002,LL,2002,2021-01-06,Plan,2024-10-03T05:31:41Z
LL:2101,LL,2101,2021-06-14,Plan,2024-10-03T05:31:41Z
LL:2102,LL,2102,2022-01-03,Plan,2024-10-03T05:31:41Z
LL:211,LL,211,2021-06-14,Plan,2024-10-03T05:31:41Z
LL:212,LL,212,2021-11-26,Plan,2024-10-03T05:31:41Z
LL:213,LL,213,2022-01-05,Plan,2024-10-03T05:31:41Z
LL:2201,LL,2201,2022-06-20,Plan,2024-10-03T05:31:41Z
LL:2202,LL,2202,2023-01-06,Plan,2024-10-03T05:31:41Z
LL:221,LL,221,2022-06-14,Plan,2024-10-03T05:31:41Z
LL:222,LL,222,2022-11-25,Plan,2024-10-03T05:31:41Z
LL:223,LL,223,2023-01-06,Plan,2024-10-03T05:31:41Z
LL:2301,LL,2301,2023-06-20,Plan,2024-10-03T05:31:41Z
LL:2302,LL,2302,2024-01-05,Plan,2024-10-03T05:31:41Z
LL:231,LL,231,2023-06-20,Plan,2024-10-03T05:31:41Z
LL:232,LL,232,2023-11-15,Plan,2024-10-03T05:31:41Z
LL:233,LL,233,2024-01-05,Plan,2024-10-03T05:31:41Z
LL:2401,LL,2401,2024-06-18,Plan,2024-10-03T05:31:41Z
LL:241,LL,241,2024-06-21,Plan,2024-10-03T05:31:41Z
