ds,unique_id,y,QLF,ROL,CPV,black_friday,carnaval,confraternizacao_universal,copa_do_mundo,covid,dia_das_maes,dia_de_finados,dia_dos_namorados,dia_dos_pais,dia_do_trabalhador,eleicoes,halloween,independencia_do_brasil,natal,nossa_senhora_aparecida,pascoa,proclamacao_da_republica,sexta_feira_santa,dayofweek,monthofyear
2020-01-02,BB,47847.92,50.0,35885.94,7672.17266,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-01-03,BB,40576.92,43.0,30432.69,5704.34125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-04,BB,38767.75,37.0,29075.8125,5960.67773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-01-05,BB,11470.619999999999,17.0,8602.965,1954.0822600000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-01-06,BB,45189.54,52.0,33892.155,6535.75212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-07,BB,278594.65,621.0,208945.9875,76191.93419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-01-08,BB,312425.24,726.0,234318.93,86795.64477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-01-09,BB,323292.29,719.0,242469.2175,86976.46691999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-01-10,BB,273358.94,557.0,205019.205,72222.39660000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-11,BB,266439.59,587.0,199829.6925,71233.38578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-01-12,BB,99775.1,204.0,74831.325,26814.68636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-01-13,BB,151661.18,336.0,113745.885,41463.852249999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-14,BB,173790.28,378.0,130342.71,44193.3221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-01-15,BB,168174.38,355.0,126130.785,43553.70194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-01-16,BB,200891.4,379.0,150668.55,46226.26256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-01-17,BB,167483.05,326.0,125612.2875,42869.74293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-18,BB,178901.6,359.0,134176.2,44486.01179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-01-19,BB,67634.82,136.0,50726.115,14796.85835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-01-20,BB,150754.37,292.0,113065.7775,37173.87448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-21,BB,158071.0,312.0,118553.25,39390.41764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-01-22,BB,136622.53,276.0,102466.8975,36506.27775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-01-23,BB,160742.29,362.0,120556.7175,40187.552729999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-01-24,BB,221386.57,358.0,166039.9275,49372.54038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-25,BB,232054.55,403.0,174040.9125,54988.86071,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-01-26,BB,59217.5,107.0,44413.125,15050.73509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-01-27,BB,124005.45,222.0,93004.0875,29072.19355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-28,BB,198610.23,359.0,148957.6725,47761.30506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-01-29,BB,192036.12,296.0,144027.09,44948.53888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-01-30,BB,173763.48,316.0,130322.61,40049.35148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-01-31,BB,274496.08,382.0,205872.06,59666.45618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-02-01,BB,119911.0,241.0,89933.25,28069.60214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2020-02-02,BB,52081.41,97.0,39061.0575,10904.14657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2020-02-03,BB,151561.33,259.0,113670.9975,33951.0365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-04,BB,94461.54,182.0,70846.155,21884.53664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-02-05,BB,137038.13,242.0,102778.5975,31537.486839999998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-02-06,BB,193723.56,366.0,145292.67,43330.15382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2020-02-07,BB,191216.66,462.0,143412.495,53673.36195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2020-02-08,BB,197535.38,428.0,148151.535,53586.98644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2020-02-09,BB,70840.2,169.0,53130.15,21939.12076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2020-02-10,BB,109844.75,338.0,82383.5625,34646.94864,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-11,BB,162665.58,259.0,121999.185,36282.99233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-02-12,BB,157037.65,228.0,117778.2375,27241.58569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-02-13,BB,181823.57,230.0,136367.6775,29127.12838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2020-02-14,BB,122203.07,157.0,91652.3025,18986.15047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2020-02-15,BB,226359.64,291.0,169769.73,36028.91319,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2020-02-16,BB,27844.9,46.0,20883.675,3982.79893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2020-02-17,BB,74195.8,119.0,55646.85,13053.9362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-18,BB,118710.53,187.0,89032.8975,18074.64189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-02-19,BB,158367.93,210.0,118775.9475,24467.73712,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-02-20,BB,226914.68,223.0,170186.01,34755.1722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2020-02-21,BB,153600.46,186.0,115200.345,25077.545069999996,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2020-02-22,BB,114303.68,128.0,85727.76,16477.55478,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2020-02-23,BB,54344.3,67.0,40758.225,7774.39367,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2020-02-24,BB,65616.2,84.0,49212.15,10440.73194,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-02-25,BB,45579.0,56.0,34184.25,6814.236929999999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-02-26,BB,99317.39,128.0,74488.0425,16469.936980000002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-02-27,BB,131054.19,147.0,98290.6425,20525.45291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2020-02-28,BB,141521.75,185.0,106141.3125,23012.13787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
2020-02-29,BB,251174.03,267.0,188380.5225,40099.69726,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2020-03-01,BB,90162.8,99.0,67622.1,13192.12332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2020-03-02,BB,62311.43,98.0,46733.5725,10093.29097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-03,BB,116889.37,135.0,87667.0275,16453.77531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-03-04,BB,134650.86000000002,153.0,100988.145,19524.80551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2020-03-05,BB,142447.78,146.0,106835.835,19096.24923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-03-06,BB,135483.87,178.0,101612.9025,19172.67185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
2020-03-07,BB,279154.6,267.0,209365.95,41431.37509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2020-03-08,BB,53027.65,56.0,39770.7375,7398.23379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2020-03-09,BB,93602.09,105.0,70201.5675,14114.07694,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-10,BB,95156.39,108.0,71367.2925,13717.10555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-03-11,BB,86617.6,96.0,64963.2,12078.73838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2020-03-12,BB,85517.11,111.0,64137.8325,11273.85011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-03-13,BB,104219.1,136.0,78164.325,13440.35131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
2020-03-14,BB,73179.7,91.0,54884.775,10131.63894,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2020-03-15,BB,20778.0,26.0,15583.5,2708.53098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2020-03-16,BB,63159.49,82.0,47369.6175,9138.54791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-17,BB,46959.3,49.0,35219.475,5819.93753,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-03-18,BB,34866.3,43.0,26149.725,4178.07408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2020-03-19,BB,77741.4,101.0,58306.05,10806.33565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-03-20,BB,80143.21,94.0,60107.4075,11939.29957,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
2020-03-21,BB,1598.0,1.0,1198.5,424.95390000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2020-03-22,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2020-03-23,BB,9125.369999999999,7.0,6844.0275,850.95584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-24,BB,10486.07,12.0,7864.5525,1451.3876499999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-03-25,BB,3594.0,3.0,2695.5,480.79179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2020-03-26,BB,11251.0,14.0,8438.25,1557.05094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020-03-27,BB,24865.0,26.0,18648.75,4092.7845600000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
2020-03-28,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2020-03-29,BB,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
2020-03-30,BB,6384.0,8.0,4788.0,834.86287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-31,BB,32294.2,32.0,24220.65,5060.04383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-04-01,BB,2250.78,3.0,1688.085,386.00783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2020-04-02,BB,3290.4,5.0,2467.8,443.39558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020-04-03,BB,4340.0599999999995,4.0,3255.045,716.59899,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020-04-04,BB,7533.1,9.0,5649.825,1370.43713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
