ds,GRU_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays3_early_stop-1_val_check100_scalerrobust_seed1
2024-10-02,1352629.2
2024-10-03,1423332.8
2024-10-04,1413504.2
2024-10-05,1396967.0
2024-10-06,2194794.5
2024-10-07,1288884.4
2024-10-08,1294607.1
2024-10-09,1356185.0
2024-10-10,1404814.1
2024-10-11,1422512.2
2024-10-12,1741722.0
2024-10-13,1453611.6
2024-10-14,1313932.8
2024-10-15,1409023.1
2024-10-16,1412256.6
2024-10-17,1398371.1
2024-10-18,1425431.5
2024-10-19,1417396.8
2024-10-20,1399595.9
2024-10-21,1333997.1
2024-10-22,1349737.5
2024-10-23,1393748.2
2024-10-24,1347873.8
2024-10-25,1443806.2
2024-10-26,1410641.6
2024-10-27,2238233.5
2024-10-28,1362500.9
2024-10-29,1322203.0
2024-10-30,1712580.2
2024-10-31,1724648.9
2024-11-01,1707921.2
2024-11-02,1440999.2
2024-11-03,1394782.5
2024-11-04,1356951.5
2024-11-05,1375106.1
2024-11-06,1392246.9
2024-11-07,1443345.9
2024-11-08,1465116.0
2024-11-09,1476132.2
2024-11-10,1502776.9
2024-11-11,1403635.4
2024-11-12,1401425.4
2024-11-13,1501146.6
2024-11-14,1463004.9
2024-11-15,1775370.5
2024-11-16,1550502.6
2024-11-17,1459888.1
2024-11-18,1490493.8
2024-11-19,1377524.4
2024-11-20,1435463.0
2024-11-21,1499850.2
2024-11-22,1461499.5
2024-11-23,1423988.5
2024-11-24,1503573.2
2024-11-25,1488958.1
2024-11-26,1471438.6
2024-11-27,1437203.5
2024-11-28,1706477.8
2024-11-29,1646615.1
2024-11-30,1672182.9
2024-12-01,1444470.6
2024-12-02,1435796.5
2024-12-03,1459299.5
2024-12-04,1428687.2
2024-12-05,1462592.2
2024-12-06,1494401.9
2024-12-07,1482396.5
2024-12-08,1540087.8
2024-12-09,1472203.2
2024-12-10,1471134.4
2024-12-11,1520922.2
2024-12-12,1536241.5
2024-12-13,1588923.0
2024-12-14,1485476.6
2024-12-15,1571165.5
2024-12-16,1473020.4
2024-12-17,1506589.9
2024-12-18,1513123.4
2024-12-19,1473578.0
2024-12-20,1494355.6
2024-12-21,1587868.0
2024-12-22,1586605.1
2024-12-23,1456609.2
2024-12-24,1471713.9
2024-12-25,1515314.0
2024-12-26,1432606.4
2024-12-27,1443104.5
2024-12-28,1514454.2
2024-12-29,1489074.2
2024-12-30,1324493.2
2024-12-31,1350389.6
2025-01-01,1284535.6
2025-01-02,1391179.5
2025-01-03,1373072.8
2025-01-04,1323143.1
2025-01-05,1350066.0
2025-01-06,1358266.2
2025-01-07,1341566.2
2025-01-08,1477306.4
2025-01-09,1438281.2
2025-01-10,1468348.6
2025-01-11,1423992.5
2025-01-12,1420277.6
2025-01-13,1422403.8
2025-01-14,1459210.1
2025-01-15,1431878.4
2025-01-16,1471292.1
2025-01-17,1446155.9
2025-01-18,1437064.2
2025-01-19,1421256.2
2025-01-20,1457038.5
2025-01-21,1416485.5
2025-01-22,1462489.6
2025-01-23,1487209.0
2025-01-24,1498676.6
2025-01-25,1420608.1
2025-01-26,1407232.4
2025-01-27,1402711.4
2025-01-28,1390612.8
2025-01-29,1409222.2
2025-01-30,1453669.6
2025-01-31,1417251.9
2025-02-01,1405190.1
2025-02-02,1399314.6
2025-02-03,1315060.4
2025-02-04,1279987.2
2025-02-05,1333581.6
2025-02-06,1328463.8
2025-02-07,1397746.4
2025-02-08,1360725.0
2025-02-09,1322200.1
2025-02-10,1301604.2
2025-02-11,1311471.5
2025-02-12,1390302.0
2025-02-13,1354990.8
2025-02-14,1385141.9
2025-02-15,1390204.1
2025-02-16,1379251.2
2025-02-17,1303102.5
2025-02-18,1307534.0
2025-02-19,1299290.6
2025-02-20,1347020.4
2025-02-21,1332242.4
2025-02-22,1315024.5
2025-02-23,1336862.2
2025-02-24,1289750.1
2025-02-25,1282914.4
2025-02-26,1323698.0
2025-02-27,1347113.2
2025-02-28,1293840.5
