ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2024-10-02,1341522.4
2024-10-03,1411019.4
2024-10-04,1447924.8
2024-10-05,1395994.2
2024-10-06,2573597.5
2024-10-07,1321467.5
2024-10-08,1280327.6
2024-10-09,1324574.6
2024-10-10,1342757.2
2024-10-11,1401997.8
2024-10-12,2032521.0
2024-10-13,1473493.9
2024-10-14,1308821.8
2024-10-15,1252492.2
2024-10-16,1288493.4
2024-10-17,1431216.9
2024-10-18,1430145.6
2024-10-19,1464085.4
2024-10-20,1506612.9
2024-10-21,1293286.4
2024-10-22,1288271.1
2024-10-23,1342905.0
2024-10-24,1321741.9
2024-10-25,1380194.2
2024-10-26,1505880.0
2024-10-27,2607726.5
2024-10-28,1294901.2
2024-10-29,1334596.2
2024-10-30,1483339.0
2024-10-31,1436567.8
2024-11-01,1520214.2
2024-11-02,2490541.0
2024-11-03,1386258.9
2024-11-04,1297931.0
2024-11-05,1300085.6
2024-11-06,1408737.8
2024-11-07,1339051.1
2024-11-08,1397965.5
2024-11-09,1392474.5
2024-11-10,1504110.8
2024-11-11,1328753.5
2024-11-12,1329900.6
2024-11-13,1500037.0
2024-11-14,1494301.1
2024-11-15,1839870.0
2024-11-16,1513604.5
2024-11-17,1497756.8
2024-11-18,1473925.0
2024-11-19,1408549.6
2024-11-20,1563165.1
2024-11-21,1493898.4
2024-11-22,1540095.4
2024-11-23,1510973.0
2024-11-24,1487414.1
2024-11-25,1459524.9
2024-11-26,1481476.0
2024-11-27,1493365.2
2024-11-28,1800493.2
2024-11-29,1789670.4
2024-11-30,1835573.2
2024-12-01,1545316.9
2024-12-02,1418887.1
2024-12-03,1422320.5
2024-12-04,1490765.0
2024-12-05,1451838.0
2024-12-06,1551683.5
2024-12-07,1552949.0
2024-12-08,1488344.9
2024-12-09,1442075.5
2024-12-10,1550785.6
2024-12-11,1514074.2
2024-12-12,1463260.1
2024-12-13,1547539.8
2024-12-14,1577726.8
2024-12-15,1555028.8
2024-12-16,1497613.2
2024-12-17,1484684.8
2024-12-18,1587619.4
2024-12-19,1682365.9
2024-12-20,1579496.0
2024-12-21,1648357.2
2024-12-22,1623627.6
2024-12-23,1621668.0
2024-12-24,1663142.4
2024-12-25,1561069.1
2024-12-26,1507744.1
2024-12-27,1519052.2
2024-12-28,1511690.6
2024-12-29,1490550.6
2024-12-30,1356592.2
2024-12-31,1508254.9
2025-01-01,1554760.0
2025-01-02,1539624.8
2025-01-03,1471079.0
2025-01-04,1499846.8
2025-01-05,1453114.2
2025-01-06,1423933.1
2025-01-07,1425297.9
2025-01-08,1499493.4
2025-01-09,1495913.8
2025-01-10,1665780.8
2025-01-11,1665418.9
2025-01-12,1608195.9
