ds,"NHITS_steps1_lr0.001_batch32_activationReLU_blocks[1, 1, 1]_mlp_units[[512, 512], [512, 512], [512, 512]]_pool_kernel[2, 2, 1]_freq_downsample[4, 2, 1]_poolingMaxPool1d_dropout0.0_scalerrobust_window_batch1024_step1_seed1"
2024-10-02,1755918.2
2024-10-03,1780948.9
2024-10-04,1489891.5
2024-10-05,1253243.6
2024-10-06,1014763.7
2024-10-07,1029682.6
2024-10-08,1404735.0
2024-10-09,1641666.4
2024-10-10,1562835.8
2024-10-11,1724517.9
2024-10-12,1551162.5
2024-10-13,1658733.5
2024-10-14,1365193.9
2024-10-15,1424552.4
2024-10-16,1598627.0
2024-10-17,1529353.2
2024-10-18,1691247.1
2024-10-19,1587886.0
2024-10-20,1556640.8
2024-10-21,1469191.2
2024-10-22,1686562.0
2024-10-23,1935063.0
2024-10-24,1849924.8
2024-10-25,1735010.8
2024-10-26,1320484.0
2024-10-27,1291601.8
2024-10-28,986568.8
2024-10-29,1336777.6
2024-10-30,1596522.1
2024-10-31,1946563.5
2024-11-01,1644417.4
2024-11-02,1263999.4
2024-11-03,1334185.0
2024-11-04,1430404.1
2024-11-05,1591706.5
2024-11-06,1810566.0
2024-11-07,1769175.2
2024-11-08,1864658.4
2024-11-09,1791752.5
2024-11-10,1375285.9
2024-11-11,1173331.9
2024-11-12,1645151.2
2024-11-13,1884515.5
2024-11-14,1946651.0
2024-11-15,2011214.8
2024-11-16,1756424.5
2024-11-17,1847015.8
2024-11-18,1794066.0
2024-11-19,1774211.8
2024-11-20,1973808.8
2024-11-21,2015347.8
2024-11-22,1879845.5
2024-11-23,1812003.8
2024-11-24,1765499.5
2024-11-25,1822405.9
2024-11-26,1776870.0
2024-11-27,1910298.6
2024-11-28,1854682.5
2024-11-29,1858690.5
2024-11-30,1811906.6
2024-12-01,1756560.0
2024-12-02,1820794.6
2024-12-03,1965631.0
2024-12-04,2054042.2
2024-12-05,1887385.2
2024-12-06,1373346.4
2024-12-07,1833980.9
2024-12-08,1792669.8
2024-12-09,1540125.0
2024-12-10,1698416.4
2024-12-11,2179022.0
2024-12-12,1763333.0
2024-12-13,1729239.8
2024-12-14,1674355.9
2024-12-15,1698148.8
2024-12-16,1667082.0
2024-12-17,1756259.5
2024-12-18,1719963.0
2024-12-19,1921574.4
2024-12-20,1845981.2
2024-12-21,1794331.0
2024-12-22,1612212.8
2024-12-23,1826420.1
2024-12-24,1652511.5
2024-12-25,1869771.8
2024-12-26,1705813.8
2024-12-27,1544792.4
2024-12-28,1594553.1
2024-12-29,1455336.1
2024-12-30,1543349.5
2024-12-31,1474100.8
2025-01-01,1730363.5
2025-01-02,1670843.8
2025-01-03,1754421.1
2025-01-04,1555948.2
2025-01-05,1234825.1
2025-01-06,1572843.5
2025-01-07,1732725.4
2025-01-08,1918282.8
2025-01-09,1666274.0
2025-01-10,2130398.5
2025-01-11,1723409.2
2025-01-12,1742671.1
2025-01-13,1950221.5
2025-01-14,1719271.8
2025-01-15,1691910.2
2025-01-16,1782546.2
2025-01-17,1907878.5
2025-01-18,1746913.0
2025-01-19,1660922.1
2025-01-20,1705243.5
2025-01-21,1726955.6
2025-01-22,1881205.8
2025-01-23,1948962.9
2025-01-24,1978171.6
2025-01-25,1770037.1
2025-01-26,1849023.0
2025-01-27,1856913.0
2025-01-28,1800351.0
2025-01-29,1713590.2
2025-01-30,1856027.5
2025-01-31,1619150.0
2025-02-01,1504650.5
2025-02-02,1294969.2
2025-02-03,1524728.4
2025-02-04,1521235.2
2025-02-05,1759461.6
2025-02-06,1869689.2
2025-02-07,2094907.5
2025-02-08,1679807.0
2025-02-09,1755749.9
2025-02-10,1662792.4
2025-02-11,1787514.9
2025-02-12,1764167.0
2025-02-13,1626188.6
2025-02-14,1635279.9
2025-02-15,1302994.2
2025-02-16,1078001.2
2025-02-17,1070789.9
2025-02-18,1362064.9
2025-02-19,1590455.1
2025-02-20,1489740.5
2025-02-21,1491048.2
2025-02-22,1241812.2
2025-02-23,1388280.0
2025-02-24,1347448.5
2025-02-25,1591301.5
2025-02-26,1669868.1
2025-02-27,1626917.6
2025-02-28,1700590.6
2025-03-01,1780667.6
2025-03-02,1365551.4
2025-03-03,1781349.0
2025-03-04,1663382.0
2025-03-05,1424370.5
2025-03-06,1498742.8
2025-03-07,1456777.1
2025-03-08,1460743.6
2025-03-09,1387676.5
2025-03-10,1526513.8
2025-03-11,1801127.2
2025-03-12,1740445.1
2025-03-13,2024843.2
2025-03-14,1772545.5
2025-03-15,1531188.1
2025-03-16,1371496.4
2025-03-17,1415870.9
2025-03-18,1487494.1
2025-03-19,1567343.1
2025-03-20,1716668.0
2025-03-21,1508878.1
2025-03-22,1292988.6
2025-03-23,1661263.5
2025-03-24,1508858.9
2025-03-25,1864770.1
2025-03-26,1947854.8
2025-03-27,1868945.2
2025-03-28,1673119.2
2025-03-29,1552118.4
2025-03-30,1481241.8
2025-03-31,1627921.2
2025-04-01,1644075.5
2025-04-02,1765639.6
2025-04-03,1703776.2
2025-04-04,1748080.9
2025-04-05,1677141.5
2025-04-06,1610069.0
2025-04-07,1582232.9
2025-04-08,1677908.2
2025-04-09,1626421.5
2025-04-10,1649654.0
2025-04-11,1827343.0
2025-04-12,1464329.1
2025-04-13,1579102.4
2025-04-14,1602915.0
2025-04-15,1825013.8
2025-04-16,1753617.5
2025-04-17,1574984.1
2025-04-18,1847944.9
2025-04-19,1393413.1
2025-04-20,1799651.8
2025-04-21,1827722.5
2025-04-22,1664522.5
2025-04-23,1706325.0
2025-04-24,1807325.8
2025-04-25,1804305.5
2025-04-26,2019647.2
2025-04-27,1683173.4
2025-04-28,1620364.5
2025-04-29,1386955.1
2025-04-30,1760568.4
2025-05-01,1582807.8
2025-05-02,1649591.0
2025-05-03,1719444.6
2025-05-04,1818374.1
2025-05-05,1862150.4
2025-05-06,1761256.5
2025-05-07,1738762.9
2025-05-08,1940321.0
2025-05-09,1887193.9
2025-05-10,1583484.0
2025-05-11,1630637.9
2025-05-12,1686505.9
2025-05-13,1579482.1
2025-05-14,1693607.1
2025-05-15,1916537.5
2025-05-16,1766102.1
2025-05-17,1819072.9
2025-05-18,1646541.5
2025-05-19,1861363.0
2025-05-20,1728697.5
2025-05-21,1802797.1
2025-05-22,1815050.8
2025-05-23,1837977.8
2025-05-24,1529101.4
2025-05-25,1686404.2
2025-05-26,1833813.8
2025-05-27,1785302.1
2025-05-28,1733576.2
2025-05-29,1776942.5
2025-05-30,1390325.4
2025-05-31,1639869.9
2025-06-01,1248280.1
2025-06-02,1387044.9
2025-06-03,1447020.5
2025-06-04,1753135.2
2025-06-05,1776252.6
2025-06-06,1492748.8
2025-06-07,1695663.2
2025-06-08,1843895.1
2025-06-09,1744417.2
2025-06-10,1662441.2
2025-06-11,1674679.5
2025-06-12,1622262.8
2025-06-13,1500933.5
2025-06-14,1737525.8
2025-06-15,1662776.5
2025-06-16,1837622.9
2025-06-17,1681489.4
2025-06-18,1875778.8
2025-06-19,1856608.6
2025-06-20,1724939.8
2025-06-21,1757094.5
2025-06-22,1751615.9
2025-06-23,1638333.9
2025-06-24,1756922.0
2025-06-25,1879668.5
2025-06-26,1711368.4
2025-06-27,1728604.5
2025-06-28,1692425.4
2025-06-29,1596216.2
2025-06-30,1765455.5
2025-07-01,1858719.5
2025-07-02,1392977.4
2025-07-03,1680283.5
2025-07-04,1347083.8
2025-07-05,1583207.2
2025-07-06,1467971.0
2025-07-07,1968336.5
2025-07-08,1927933.5
2025-07-09,2011646.5
