max_steps,learning_rate,batch_size,encoder_hidden_size,decoder_hidden_size,encoder_n_layers,decoder_layers,context_size,MAE,MSE,RMSE,MAPE
1,0.001,32,200,200,2,2,10,564887.7122802198,614738129593.624,784052.3768177889,251.56067774603744
1,0.001,32,200,200,2,2,20,578572.6725549451,630166826170.2036,793830.4769723846,94.20660589984796
1,0.001,32,200,200,2,3,10,609976.7185508241,705460433776.1062,839916.920758301,186.35150493015985
1,0.001,32,200,200,2,3,20,587782.0003640109,667123659723.2279,816776.3829367423,206.3921029327838
1,0.001,32,200,200,3,2,10,552792.676510989,589148148021.8096,767559.8660832975,239.6498046863199
1,0.001,32,200,200,3,2,20,578382.8488804945,610967874968.2755,781644.340456883,223.78906455674593
1,0.001,32,200,200,3,3,10,602344.8326923078,699060012749.9109,836098.0879956076,168.92024084629494
1,0.001,32,200,200,3,3,20,604887.3953846154,694365840373.19,833286.1695559275,212.1830014010952
1,0.001,32,200,300,2,2,10,551766.4169230768,583756546708.1115,764039.6237814578,262.37368911281965
1,0.001,32,200,300,2,2,20,581952.4062087913,638783598030.1167,799239.3871864153,189.25920313224697
1,0.001,32,200,300,2,3,10,628966.0360439561,745728462377.7888,863555.7089023202,152.35528063290937
1,0.001,32,200,300,2,3,20,610553.9924450549,695356308060.0721,833880.2720175554,155.54671665860985
1,0.001,32,200,300,3,2,10,584802.8052197802,654708231754.6904,809140.4277099806,189.72681830952536
1,0.001,32,200,300,3,2,20,588914.7602953297,643155533806.8438,801969.783599634,201.29704873785417
1,0.001,32,200,300,3,3,10,614598.2114285714,721951501476.5963,849677.2925508815,171.87965079450078
1,0.001,32,200,300,3,3,20,614951.7484752747,709462451727.104,842295.9407043963,152.67302788707252
1,0.001,32,300,200,2,2,10,573112.0495535714,638420831873.0542,799012.4103373202,228.95323024878184
1,0.001,32,300,200,2,2,20,549112.0210302197,584772432430.1039,764704.1469941848,169.13464487149054
1,0.001,32,300,200,2,3,10,609494.0839697802,707183304611.8319,840941.9151236499,163.48066051929447
1,0.001,32,300,200,2,3,20,606855.5049725275,702480981733.3922,838141.3852885396,138.2838284984763
1,0.001,32,300,200,3,2,10,541710.6979945055,583381465972.5604,763794.1253849498,295.33016905151476
1,0.001,32,300,200,3,2,20,597817.308489011,660515248159.5508,812720.8919177301,191.42719517243734
1,0.001,32,300,200,3,3,10,602534.8760851648,697844029011.4012,835370.5938153445,181.73681518425855
1,0.001,32,300,200,3,3,20,563858.596565934,618712772998.6588,786582.9727362898,209.55744776829252
1,0.001,32,300,300,2,2,10,608877.3113530219,692498874402.9087,832165.1725486405,189.66290245508927
1,0.001,32,300,300,2,2,20,588024.2001785715,637841715321.5791,798649.9329002533,162.479635349362
1,0.001,32,300,300,2,3,10,617140.7094574176,718068053237.7882,847388.9621878421,163.7685799903143
1,0.001,32,300,300,2,3,20,625702.1012362636,725491213709.0996,851757.72007602,160.92669079845513
1,0.001,32,300,300,3,2,10,578155.2619024725,655710885886.8562,809759.7704794034,191.5156330805564
1,0.001,32,300,300,3,2,20,596883.1624107143,680810968198.5294,825112.7003013161,135.8738765892103
1,0.001,32,300,300,3,3,10,620566.2167513736,717140333195.5038,846841.3860903963,173.89815314243043
1,0.001,32,300,300,3,3,20,604229.6642582418,688912061582.153,830007.2659815412,164.04989543465638
1,0.001,64,200,200,2,2,10,564887.7122802198,614738129593.624,784052.3768177889,251.56067774603744
