ds,GRU_steps2000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1333474.6
2024-10-02,1478506.5
2024-10-03,1432804.1
2024-10-04,1623423.8
2024-10-05,1767053.0
2024-10-06,415632.3
2024-10-07,1305554.5
2024-10-08,1266221.4
2024-10-09,1302964.4
2024-10-10,1389757.9
2024-10-11,1298677.1
2024-10-12,1408123.8
2024-10-13,586885.44
2024-10-14,1026839.56
2024-10-15,1256011.4
2024-10-16,1764039.5
2024-10-17,1337346.2
2024-10-18,1898439.5
2024-10-19,1977650.2
2024-10-20,1125243.1
2024-10-21,928977.9
2024-10-22,1250510.4
2024-10-23,1261017.2
2024-10-24,1500276.5
2024-10-25,1592321.8
2024-10-26,1146721.2
2024-10-27,522605.06
2024-10-28,1176523.4
2024-10-29,917015.1
2024-10-30,1374698.0
2024-10-31,1379431.9
2024-11-01,1764000.1
2024-11-02,1256459.1
2024-11-03,1247300.4
2024-11-04,905072.0
2024-11-05,918507.4
2024-11-06,2325265.5
2024-11-07,2423893.0
2024-11-08,1506654.6
2024-11-09,2359638.5
2024-11-10,837826.75
2024-11-11,1569258.5
2024-11-12,1477835.9
2024-11-13,1422779.2
2024-11-14,1410422.9
2024-11-15,1116155.2
2024-11-16,1137309.2
2024-11-17,978721.3
2024-11-18,1695438.5
2024-11-19,1298667.2
2024-11-20,1322350.8
2024-11-21,1112147.9
2024-11-22,2003481.0
2024-11-23,1787881.1
2024-11-24,2024672.1
2024-11-25,1534140.4
2024-11-26,1845902.8
2024-11-27,1695313.9
2024-11-28,1731833.8
2024-11-29,2394765.5
2024-11-30,2506256.0
2024-12-01,1200190.9
2024-12-02,835910.6
2024-12-03,1105950.2
2024-12-04,1131239.0
2024-12-05,1316569.8
2024-12-06,1233125.0
2024-12-07,1870167.0
2024-12-08,1255714.8
2024-12-09,1400022.6
2024-12-10,1166073.4
2024-12-11,1489573.9
2024-12-12,1516504.2
2024-12-13,2072051.8
2024-12-14,2275159.5
2024-12-15,1319959.1
2024-12-16,2302102.0
2024-12-17,2057528.2
2024-12-18,2159907.8
2024-12-19,1882623.0
2024-12-20,2320612.2
2024-12-21,2437053.8
2024-12-22,2285119.0
2024-12-23,2607670.8
2024-12-24,1757857.5
2024-12-25,2315977.5
2024-12-26,1579107.5
2024-12-27,1667686.8
2024-12-28,1266573.1
2024-12-29,473620.2
2024-12-30,1303815.6
2024-12-31,-337484.88
2025-01-01,-62058.375
2025-01-02,1155150.0
2025-01-03,3650277.0
2025-01-04,1680962.0
2025-01-05,1044628.9
2025-01-06,3894126.2
2025-01-07,2263694.8
2025-01-08,2709496.0
2025-01-09,2034887.5
2025-01-10,4257758.0
2025-01-11,1900535.0
2025-01-12,1801533.9
2025-01-13,2192650.5
2025-01-14,2401111.5
2025-01-15,2799663.0
2025-01-16,1487016.9
2025-01-17,1544556.6
2025-01-18,1440405.2
2025-01-19,1326687.0
2025-01-20,1301878.9
2025-01-21,1243273.2
2025-01-22,1416474.4
2025-01-23,1327699.8
2025-01-24,2024554.5
2025-01-25,1784939.1
2025-01-26,496206.3
2025-01-27,1236303.4
2025-01-28,1777420.0
2025-01-29,1545359.0
2025-01-30,2093055.2
2025-01-31,2185658.0
2025-02-01,1588603.8
2025-02-02,745974.44
2025-02-03,1042910.56
2025-02-04,2071739.8
2025-02-05,2288512.5
2025-02-06,1664066.0
2025-02-07,2355862.2
2025-02-08,1818694.2
2025-02-09,985423.9
2025-02-10,1103513.4
2025-02-11,1252699.8
2025-02-12,1253657.2
2025-02-13,1408715.9
2025-02-14,1364530.8
2025-02-15,1613677.0
2025-02-16,951880.44
2025-02-17,1212875.6
2025-02-18,1242245.0
2025-02-19,884396.56
2025-02-20,1172108.9
2025-02-21,1095987.1
2025-02-22,1587788.2
2025-02-23,602611.75
2025-02-24,799441.4
2025-02-25,1621354.5
2025-02-26,912406.25
2025-02-27,1000733.94
2025-02-28,2041492.9
2025-03-01,827664.1
2025-03-02,373126.94
2025-03-03,592819.44
2025-03-04,249308.88
2025-03-05,565544.44
2025-03-06,641500.2
2025-03-07,1116229.2
2025-03-08,2229346.8
2025-03-09,483732.38
2025-03-10,1190378.2
2025-03-11,1153781.0
2025-03-12,1606232.0
2025-03-13,1635534.2
2025-03-14,1792595.2
2025-03-15,2115422.0
2025-03-16,757553.4
2025-03-17,694018.44
2025-03-18,1195630.8
2025-03-19,1173549.4
2025-03-20,1011882.9
2025-03-21,1519572.4
2025-03-22,1268194.1
2025-03-23,613319.25
2025-03-24,835289.6
2025-03-25,1095077.0
2025-03-26,1551814.8
2025-03-27,2059246.8
2025-03-28,2557076.5
2025-03-29,2067316.2
2025-03-30,666694.9
2025-03-31,1111034.4
2025-04-01,842061.4
2025-04-02,1021423.6
2025-04-03,781289.5
2025-04-04,1246340.5
2025-04-05,1105633.6
2025-04-06,403377.2
2025-04-07,494425.62
2025-04-08,835378.5
2025-04-09,1192734.1
2025-04-10,1236019.1
2025-04-11,1304146.8
2025-04-12,1520055.6
2025-04-13,632380.94
2025-04-14,1006836.5
2025-04-15,781561.7
2025-04-16,888270.06
2025-04-17,1276181.6
2025-04-18,317509.0
2025-04-19,1367266.8
2025-04-20,194577.38
2025-04-21,570895.2
2025-04-22,1001170.25
2025-04-23,1039746.2
2025-04-24,1343995.1
2025-04-25,1305566.9
2025-04-26,1256338.5
2025-04-27,601955.3
2025-04-28,842625.25
2025-04-29,966038.4
2025-04-30,1567678.5
2025-05-01,468482.25
2025-05-02,1414330.9
2025-05-03,1209699.0
2025-05-04,412517.7
2025-05-05,821950.75
2025-05-06,1384745.0
2025-05-07,1598792.1
2025-05-08,2211231.2
2025-05-09,3002692.5
2025-05-10,2616708.5
2025-05-11,387559.88
2025-05-12,1045561.0
2025-05-13,1024866.2
2025-05-14,1831960.5
2025-05-15,1072768.4
2025-05-16,2101807.5
2025-05-17,1028145.5
2025-05-18,942661.6
2025-05-19,1014064.5
2025-05-20,1156451.8
2025-05-21,1482572.0
2025-05-22,1254247.5
2025-05-23,1333304.6
2025-05-24,1644016.0
2025-05-25,551708.1
2025-05-26,898739.44
2025-05-27,1692651.0
2025-05-28,1304508.6
2025-05-29,1205818.1
2025-05-30,1060210.5
2025-05-31,1857259.4
2025-06-01,923974.1
2025-06-02,636641.8
2025-06-03,1698563.8
2025-06-04,1462435.8
2025-06-05,1073972.1
2025-06-06,2693186.5
2025-06-07,1918606.0
2025-06-08,689559.0
2025-06-09,2092797.6
2025-06-10,2243103.5
2025-06-11,3582428.2
2025-06-12,1608258.2
2025-06-13,2243181.0
2025-06-14,2528306.5
2025-06-15,1031024.1
2025-06-16,1503560.8
2025-06-17,1285063.6
2025-06-18,1290866.2
2025-06-19,1495659.0
2025-06-20,1470745.5
2025-06-21,1965418.2
2025-06-22,647741.75
2025-06-23,1561075.2
2025-06-24,1338387.0
2025-06-25,1584663.2
2025-06-26,1128352.2
2025-06-27,1835934.5
2025-06-28,1646917.2
2025-06-29,543651.06
2025-06-30,1238133.5
2025-07-01,1315136.2
2025-07-02,1893565.1
2025-07-03,2421843.0
2025-07-04,1743724.0
2025-07-05,2071971.9
2025-07-06,853416.3
2025-07-07,1705541.8
2025-07-08,1680029.8
2025-07-09,1038745.94
2025-07-10,989435.1
2025-07-11,1426329.8
2025-07-12,1414796.2
2025-07-13,727224.4
2025-07-14,1108906.9
2025-07-15,1306534.8
2025-07-16,1059582.1
2025-07-17,844533.75
2025-07-18,1395594.0
2025-07-19,1258309.4
2025-07-20,682568.44
2025-07-21,1167325.8
2025-07-22,1178603.1
2025-07-23,1248910.2
2025-07-24,1252527.5
2025-07-25,1407456.0
2025-07-26,1378244.0
2025-07-27,707923.5
2025-07-28,1418133.1
2025-07-29,1315001.4
2025-07-30,1029841.1
2025-07-31,1276739.1
2025-08-01,1308726.8
2025-08-02,1391755.1
2025-08-03,477834.8
2025-08-04,646334.3
2025-08-05,776410.7
2025-08-06,926671.4
2025-08-07,937299.2
2025-08-08,1294289.5
2025-08-09,1426887.2
2025-08-10,448902.56
2025-08-11,702175.06
2025-08-12,958067.5
2025-08-13,1355064.4
2025-08-14,1328860.5
2025-08-15,1649295.8
2025-08-16,1758627.8
2025-08-17,628726.9
2025-08-18,768566.4
2025-08-19,1412398.2
2025-08-20,1075519.2
2025-08-21,1310472.9
2025-08-22,1721307.1
2025-08-23,1350981.8
2025-08-24,472676.25
2025-08-25,1128272.8
2025-08-26,795882.5
2025-08-27,1160771.1
2025-08-28,1216199.1
2025-08-29,990424.0
2025-08-30,1520333.1
2025-08-31,523815.3
2025-09-01,726163.44
2025-09-02,889764.44
2025-09-03,1220341.0
2025-09-04,1073077.6
