ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2024-10-01,1271056.8
2024-10-02,1227192.2
2024-10-03,1300002.6
2024-10-04,1337366.9
2024-10-05,1377686.2
2024-10-06,1376142.1
2024-10-07,1130693.9
2024-10-08,1190160.2
2024-10-09,1178636.9
2024-10-10,1244035.1
2024-10-11,1268942.0
2024-10-12,1262804.5
2024-10-13,1162816.5
2024-10-14,1199572.5
2024-10-15,1222898.8
2024-10-16,1186352.5
2024-10-17,1152262.9
2024-10-18,1312337.9
2024-10-19,1287456.4
2024-10-20,1243625.2
2024-10-21,1154864.9
2024-10-22,1254411.8
2024-10-23,1200320.0
2024-10-24,1332356.6
2024-10-25,1338133.1
2024-10-26,1399854.5
2024-10-27,1350780.6
2024-10-28,1252932.5
2024-10-29,1205410.8
2024-10-30,1199002.5
2024-10-31,1211433.9
2024-11-01,1273321.1
2024-11-02,1318629.2
2024-11-03,1248656.8
2024-11-04,1217851.2
2024-11-05,1208028.8
2024-11-06,1324918.5
2024-11-07,1346562.6
2024-11-08,1261209.4
2024-11-09,1431977.4
2024-11-10,1345832.5
2024-11-11,1336006.6
2024-11-12,1288536.9
2024-11-13,1525518.6
2024-11-14,1336926.9
2024-11-15,1009698.4
2024-11-16,1492875.9
2024-11-17,1439581.5
2024-11-18,1384171.8
2024-11-19,1352414.0
2024-11-20,1302161.8
2024-11-21,1456959.4
2024-11-22,1447227.0
2024-11-23,1497376.8
2024-11-24,1367771.9
2024-11-25,1398029.8
2024-11-26,1372889.4
2024-11-27,1341796.8
2024-11-28,1426787.6
2024-11-29,1472214.5
2024-11-30,1382578.2
2024-12-01,1485669.8
2024-12-02,1367931.5
2024-12-03,1487923.0
2024-12-04,1515028.0
2024-12-05,1362007.6
2024-12-06,1525160.2
2024-12-07,1504638.9
2024-12-08,1358940.1
2024-12-09,1379414.6
2024-12-10,1388304.9
2024-12-11,1445853.2
2024-12-12,1485284.8
2024-12-13,1458888.0
2024-12-14,1477479.0
2024-12-15,1455437.0
2024-12-16,1427765.5
2024-12-17,1502787.5
2024-12-18,1577663.0
2024-12-19,1487569.5
2024-12-20,1632771.0
2024-12-21,1528921.5
2024-12-22,1514011.8
2024-12-23,1505366.6
2024-12-24,1506674.1
2024-12-25,1519615.8
2024-12-26,1336487.8
2024-12-27,1359199.1
2024-12-28,1419779.0
2024-12-29,1379543.1
2024-12-30,1273392.4
2024-12-31,959807.5
2025-01-01,908226.94
2025-01-02,1304552.5
2025-01-03,1270308.4
2025-01-04,1221413.5
2025-01-05,1204868.0
2025-01-06,1251272.4
2025-01-07,1289640.0
2025-01-08,1372521.9
2025-01-09,1393906.9
2025-01-10,1397532.6
2025-01-11,1425367.5
2025-01-12,1440607.0
2025-01-13,1402535.4
2025-01-14,1445508.2
2025-01-15,1353203.8
2025-01-16,1485681.2
2025-01-17,1490754.4
2025-01-18,1535006.2
2025-01-19,1427527.4
2025-01-20,1342514.2
2025-01-21,1321988.6
2025-01-22,1415074.6
2025-01-23,1443773.6
2025-01-24,1457166.9
2025-01-25,1401846.5
2025-01-26,1379479.8
2025-01-27,1282874.1
2025-01-28,1448522.0
2025-01-29,1278113.2
2025-01-30,1381141.8
2025-01-31,1394113.1
2025-02-01,1313518.6
2025-02-02,1325618.4
2025-02-03,1250756.9
2025-02-04,1229426.4
2025-02-05,1300257.1
2025-02-06,1357970.0
2025-02-07,1264943.5
2025-02-08,1280895.2
2025-02-09,1233228.5
2025-02-10,1241475.0
2025-02-11,1263688.8
2025-02-12,1265376.6
2025-02-13,1237756.8
2025-02-14,1294944.5
2025-02-15,1234797.0
2025-02-16,1225169.5
2025-02-17,1209981.8
2025-02-18,1202028.4
2025-02-19,1123975.0
2025-02-20,1217014.5
2025-02-21,1260999.8
2025-02-22,1268406.4
2025-02-23,1221221.8
2025-02-24,1254818.2
2025-02-25,1175573.1
2025-02-26,1253319.5
2025-02-27,1175853.0
2025-02-28,1305311.2
2025-03-01,1133658.8
2025-03-02,1072377.5
2025-03-03,1045258.5
2025-03-04,1088881.5
2025-03-05,1027666.25
2025-03-06,1037851.4
2025-03-07,1245473.9
2025-03-08,1243575.9
2025-03-09,1234076.0
2025-03-10,1225499.2
2025-03-11,1160815.5
2025-03-12,1187155.8
2025-03-13,1223151.2
2025-03-14,1319445.4
2025-03-15,1254751.2
2025-03-16,1207901.5
2025-03-17,1205563.8
2025-03-18,1213814.8
2025-03-19,1237180.5
2025-03-20,1249152.9
2025-03-21,1303399.1
2025-03-22,1242983.9
2025-03-23,1288119.1
2025-03-24,1129022.9
2025-03-25,1233719.6
