ds,GRU_steps2000_lr0.0001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1294966.4
2024-10-02,1570492.6
2024-10-03,1168404.1
2024-10-04,1841736.4
2024-10-05,2439127.5
2024-10-06,1025617.0
2024-10-07,1108849.8
2024-10-08,1368370.1
2024-10-09,1780508.1
2024-10-10,1526172.4
2024-10-11,1374131.5
2024-10-12,1631260.2
2024-10-13,798526.25
2024-10-14,1067427.2
2024-10-15,1549745.9
2024-10-16,2167769.8
2024-10-17,1522825.2
2024-10-18,1819525.6
2024-10-19,1673016.8
2024-10-20,1112012.2
2024-10-21,825500.1
2024-10-22,1840290.5
2024-10-23,1536657.8
2024-10-24,1462677.0
2024-10-25,1686246.9
2024-10-26,1269495.0
2024-10-27,400020.62
2024-10-28,898554.1
2024-10-29,1051200.0
2024-10-30,1352148.5
2024-10-31,1291524.0
2024-11-01,1753204.4
2024-11-02,1306300.5
2024-11-03,1421100.8
2024-11-04,1354828.2
2024-11-05,947479.4
2024-11-06,2168624.5
2024-11-07,3023394.0
2024-11-08,2031343.9
2024-11-09,2411632.0
2024-11-10,1173863.8
2024-11-11,1607537.0
2024-11-12,1149493.5
2024-11-13,1731460.0
2024-11-14,1231757.9
2024-11-15,976422.6
2024-11-16,1203017.4
2024-11-17,863360.75
2024-11-18,1511635.8
2024-11-19,1091248.8
2024-11-20,1200608.0
2024-11-21,1226723.4
2024-11-22,1681444.2
2024-11-23,2153295.5
2024-11-24,1707753.5
2024-11-25,2175790.8
2024-11-26,1611348.0
2024-11-27,1269530.5
2024-11-28,2044691.0
2024-11-29,2932218.2
2024-11-30,2350611.0
2024-12-01,994573.4
2024-12-02,1194864.0
2024-12-03,1059733.6
2024-12-04,1002251.75
2024-12-05,1318686.1
2024-12-06,822535.44
2024-12-07,1837122.5
2024-12-08,1411255.2
2024-12-09,1393557.0
2024-12-10,1283634.2
2024-12-11,1372125.8
2024-12-12,1543310.5
2024-12-13,2030486.5
2024-12-14,2445180.5
2024-12-15,956196.8
2024-12-16,2886823.0
2024-12-17,1665646.2
2024-12-18,1595440.4
2024-12-19,2179104.5
2024-12-20,2347846.0
2024-12-21,2694118.5
2024-12-22,2611673.2
2024-12-23,3696030.8
2024-12-24,1425780.2
2024-12-25,2110242.0
2024-12-26,1428167.6
2024-12-27,1738166.5
2024-12-28,1183081.4
2024-12-29,1952849.8
2024-12-30,1245742.1
2024-12-31,-186743.75
2025-01-01,-584742.25
2025-01-02,642063.6
2025-01-03,1577761.9
2025-01-04,849731.4
2025-01-05,716922.7
2025-01-06,2943667.5
2025-01-07,1749915.2
2025-01-08,3010111.5
2025-01-09,2256551.0
2025-01-10,2379723.5
2025-01-11,1729119.4
2025-01-12,327480.44
2025-01-13,1638364.2
2025-01-14,1658473.5
2025-01-15,2027842.2
2025-01-16,1907626.5
2025-01-17,2020803.0
2025-01-18,1422443.6
2025-01-19,1077800.4
2025-01-20,1048423.0
2025-01-21,1199361.6
2025-01-22,1219302.0
2025-01-23,1316375.4
2025-01-24,1573004.2
2025-01-25,1711330.0
2025-01-26,521144.88
2025-01-27,1400042.1
2025-01-28,2257194.5
2025-01-29,1624886.4
2025-01-30,2052918.5
2025-01-31,2619389.0
2025-02-01,1619420.6
2025-02-02,808935.0
2025-02-03,990519.56
2025-02-04,1306763.5
2025-02-05,1590885.0
2025-02-06,1533588.4
2025-02-07,2092754.8
2025-02-08,1096927.6
2025-02-09,945003.25
2025-02-10,1216448.9
2025-02-11,1831147.5
2025-02-12,1234672.8
2025-02-13,1615268.0
2025-02-14,1954908.5
2025-02-15,1293452.6
2025-02-16,973422.25
2025-02-17,875659.1
2025-02-18,1344450.4
2025-02-19,798088.1
2025-02-20,1072714.2
2025-02-21,1108155.5
2025-02-22,1236534.2
2025-02-23,654532.0
2025-02-24,674491.3
2025-02-25,1741851.5
2025-02-26,1207056.2
2025-02-27,1009441.0
2025-02-28,1423719.4
2025-03-01,930028.4
2025-03-02,449260.38
2025-03-03,933516.0
2025-03-04,413273.94
2025-03-05,447177.06
2025-03-06,983313.75
2025-03-07,1333928.6
2025-03-08,2029648.8
2025-03-09,546228.94
2025-03-10,1400341.5
2025-03-11,836275.3
2025-03-12,1436311.0
2025-03-13,1620532.6
2025-03-14,1644911.5
2025-03-15,1865525.8
2025-03-16,694878.2
2025-03-17,623996.94
2025-03-18,1117467.2
2025-03-19,974393.4
2025-03-20,1041360.6
2025-03-21,1375339.9
2025-03-22,1691234.1
2025-03-23,778096.94
2025-03-24,833565.1
2025-03-25,1030661.5
2025-03-26,1473608.6
2025-03-27,1895989.1
2025-03-28,2086121.4
2025-03-29,1942785.0
2025-03-30,888336.1
2025-03-31,1042865.2
2025-04-01,849658.5
2025-04-02,1156935.5
2025-04-03,834901.2
2025-04-04,1482151.0
2025-04-05,1306018.4
2025-04-06,240617.88
2025-04-07,951116.4
2025-04-08,797597.25
2025-04-09,1004983.4
2025-04-10,1146552.8
2025-04-11,1188116.6
2025-04-12,2118173.8
2025-04-13,580006.2
2025-04-14,734038.4
2025-04-15,941742.6
2025-04-16,653642.0
2025-04-17,1129750.2
2025-04-18,321609.75
2025-04-19,752321.25
2025-04-20,270670.8
2025-04-21,408866.8
2025-04-22,1347338.8
2025-04-23,588626.75
2025-04-24,890880.6
2025-04-25,1337526.4
2025-04-26,1453570.9
2025-04-27,606408.4
2025-04-28,456891.7
2025-04-29,839003.44
2025-04-30,1616702.8
2025-05-01,516416.62
2025-05-02,1103802.4
2025-05-03,927474.6
2025-05-04,535800.25
2025-05-05,1280302.9
2025-05-06,1436256.2
2025-05-07,907730.1
2025-05-08,1956803.8
2025-05-09,2851418.5
2025-05-10,2218076.5
2025-05-11,287915.0
2025-05-12,745635.1
2025-05-13,952863.6
2025-05-14,2203358.5
2025-05-15,1265720.0
2025-05-16,2223583.5
2025-05-17,1159136.8
2025-05-18,581921.94
2025-05-19,1098121.0
2025-05-20,1301537.1
2025-05-21,1247683.0
2025-05-22,1348403.1
2025-05-23,1535140.8
2025-05-24,1749207.5
2025-05-25,711129.6
2025-05-26,727022.0
2025-05-27,734927.6
2025-05-28,857763.5
2025-05-29,1116965.4
2025-05-30,1634156.0
2025-05-31,1313927.2
2025-06-01,492736.0
2025-06-02,271647.3
2025-06-03,2778731.5
2025-06-04,2097691.0
2025-06-05,1685492.8
2025-06-06,3073145.0
2025-06-07,2654829.5
2025-06-08,778226.6
2025-06-09,1999826.5
2025-06-10,2479328.5
2025-06-11,2954298.5
2025-06-12,2147139.0
2025-06-13,2335401.2
2025-06-14,2741486.0
2025-06-15,614533.0
